
# OSU MPI_Bcast (data-varying) v7.0
# Size       Avg Latency(us)
root = 0
000: 1 0.64
001: 1 0.17
002: 1 0.17
003: 1 0.16
004: 1 0.16
005: 1 0.17
006: 1 0.16
007: 1 0.17
008: 1 0.16
009: 1 0.16
010: 1 0.17
1                       0.21
000: 2 0.60
001: 2 0.14
002: 2 0.16
003: 2 0.14
004: 2 0.15
005: 2 0.15
006: 2 0.16
007: 2 0.15
008: 2 0.14
009: 2 0.14
010: 2 0.15
2                       0.19
000: 4 0.61
001: 4 0.15
002: 4 0.15
003: 4 0.15
004: 4 0.15
005: 4 0.15
006: 4 0.16
007: 4 0.15
008: 4 0.15
009: 4 0.14
010: 4 0.15
4                       0.19
000: 8 0.62
001: 8 0.14
002: 8 0.14
003: 8 0.15
004: 8 0.15
005: 8 0.14
006: 8 0.16
007: 8 0.15
008: 8 0.15
009: 8 0.14
010: 8 0.14
8                       0.19
000: 16 0.60
001: 16 0.14
002: 16 0.15
003: 16 0.14
004: 16 0.14
005: 16 0.14
006: 16 0.16
007: 16 0.14
008: 16 0.14
009: 16 0.14
010: 16 0.15
16                      0.19
000: 32 0.59
001: 32 0.14
002: 32 0.15
003: 32 0.14
004: 32 0.14
005: 32 0.15
006: 32 0.16
007: 32 0.15
008: 32 0.14
009: 32 0.14
010: 32 0.15
32                      0.19
000: 64 0.60
001: 64 0.15
002: 64 0.15
003: 64 0.15
004: 64 0.15
005: 64 0.15
006: 64 0.16
007: 64 0.15
008: 64 0.15
009: 64 0.15
010: 64 0.15
64                      0.19
000: 128 0.62
001: 128 0.18
002: 128 0.17
003: 128 0.17
004: 128 0.17
005: 128 0.17
006: 128 0.18
007: 128 0.18
008: 128 0.18
009: 128 0.18
010: 128 0.17
128                     0.21
000: 256 0.64
001: 256 0.20
002: 256 0.20
003: 256 0.20
004: 256 0.20
005: 256 0.20
006: 256 0.20
007: 256 0.20
008: 256 0.20
009: 256 0.20
010: 256 0.20
256                     0.24
000: 512 0.67
001: 512 0.24
002: 512 0.24
003: 512 0.24
004: 512 0.24
005: 512 0.24
006: 512 0.24
007: 512 0.24
008: 512 0.24
009: 512 0.24
010: 512 0.24
512                     0.28
000: 1024 0.88
001: 1024 0.36
002: 1024 0.36
003: 1024 0.36
004: 1024 0.36
005: 1024 0.36
006: 1024 0.36
007: 1024 0.36
008: 1024 0.36
009: 1024 0.36
010: 1024 0.36
1024                    0.41
000: 2048 1.00
001: 2048 0.48
002: 2048 0.49
003: 2048 0.48
004: 2048 0.48
005: 2048 0.48
006: 2048 0.48
007: 2048 0.47
008: 2048 0.49
009: 2048 0.48
010: 2048 0.48
2048                    0.53
000: 4096 1.12
001: 4096 0.62
002: 4096 0.63
003: 4096 0.62
004: 4096 0.66
005: 4096 0.63
006: 4096 0.63
007: 4096 0.66
008: 4096 0.63
009: 4096 0.62
010: 4096 0.65
4096                    0.68
000: 8192 1.59
001: 8192 1.08
002: 8192 1.08
003: 8192 1.07
004: 8192 1.08
005: 8192 1.08
006: 8192 1.07
007: 8192 1.07
008: 8192 1.09
009: 8192 1.08
010: 8192 1.07
8192                    1.12
000: 16384 2.50
001: 16384 1.93
002: 16384 1.95
003: 16384 1.95
004: 16384 1.97
005: 16384 1.96
006: 16384 1.92
007: 16384 1.96
008: 16384 1.97
009: 16384 1.96
010: 16384 1.94
16384                   2.00
000: 32768 4.23
001: 32768 3.66
002: 32768 3.65
003: 32768 3.65
004: 32768 3.65
005: 32768 3.66
006: 32768 3.63
007: 32768 3.71
008: 32768 3.66
009: 32768 3.66
010: 32768 3.66
32768                   3.71
000: 65536 6.85
001: 65536 6.35
002: 65536 6.36
003: 65536 6.37
004: 65536 6.38
005: 65536 6.34
006: 65536 6.31
007: 65536 6.36
008: 65536 6.36
009: 65536 6.36
010: 65536 6.37
65536                   6.40
000: 131072 12.47
001: 131072 11.97
002: 131072 11.95
003: 131072 11.97
004: 131072 11.96
005: 131072 11.95
006: 131072 11.92
007: 131072 11.97
008: 131072 11.96
009: 131072 11.97
010: 131072 11.97
131072                 12.01
000: 262144 23.82
001: 262144 23.31
002: 262144 23.31
003: 262144 23.33
004: 262144 23.30
005: 262144 23.31
006: 262144 23.31
007: 262144 23.32
008: 262144 23.29
009: 262144 23.31
010: 262144 23.31
262144                 23.36
000: 524288 47.85
001: 524288 47.32
002: 524288 47.33
003: 524288 47.34
004: 524288 47.35
005: 524288 47.32
006: 524288 47.32
007: 524288 47.36
008: 524288 47.32
009: 524288 47.34
010: 524288 47.33
524288                 47.38
000: 1048576 98.34
001: 1048576 97.76
002: 1048576 97.76
003: 1048576 97.76
004: 1048576 97.78
005: 1048576 97.75
006: 1048576 97.76
007: 1048576 97.77
008: 1048576 97.74
009: 1048576 97.76
010: 1048576 97.76
1048576                97.81

# OSU MPI_Bcast (data-varying) v7.0
# Size       Avg Latency(us)
root = 0
000: 1 0.61
001: 1 0.18
002: 1 0.18
003: 1 0.17
004: 1 0.17
005: 1 0.18
006: 1 0.17
007: 1 0.18
008: 1 0.18
009: 1 0.17
010: 1 0.18
1                       0.22
000: 2 0.61
001: 2 0.18
002: 2 0.17
003: 2 0.16
004: 2 0.16
005: 2 0.17
006: 2 0.17
007: 2 0.18
008: 2 0.17
009: 2 0.16
010: 2 0.17
2                       0.21
000: 4 0.61
001: 4 0.18
002: 4 0.18
003: 4 0.16
004: 4 0.17
005: 4 0.18
006: 4 0.17
007: 4 0.18
008: 4 0.17
009: 4 0.16
010: 4 0.17
4                       0.21
000: 8 0.58
001: 8 0.17
002: 8 0.17
003: 8 0.17
004: 8 0.17
005: 8 0.18
006: 8 0.17
007: 8 0.17
008: 8 0.17
009: 8 0.17
010: 8 0.17
8                       0.21
000: 16 0.58
001: 16 0.18
002: 16 0.17
003: 16 0.17
004: 16 0.17
005: 16 0.18
006: 16 0.17
007: 16 0.17
008: 16 0.17
009: 16 0.16
010: 16 0.17
16                      0.21
000: 32 0.61
001: 32 0.16
002: 32 0.16
003: 32 0.15
004: 32 0.17
005: 32 0.18
006: 32 0.16
007: 32 0.16
008: 32 0.16
009: 32 0.15
010: 32 0.16
32                      0.20
000: 64 0.63
001: 64 0.22
002: 64 0.21
003: 64 0.20
004: 64 0.20
005: 64 0.21
006: 64 0.21
007: 64 0.22
008: 64 0.21
009: 64 0.20
010: 64 0.20
64                      0.25
000: 128 0.60
001: 128 0.18
002: 128 0.18
003: 128 0.18
004: 128 0.17
005: 128 0.18
006: 128 0.18
007: 128 0.19
008: 128 0.17
009: 128 0.17
010: 128 0.18
128                     0.21
000: 256 0.65
001: 256 0.23
002: 256 0.23
003: 256 0.23
004: 256 0.23
005: 256 0.23
006: 256 0.23
007: 256 0.23
008: 256 0.22
009: 256 0.22
010: 256 0.23
256                     0.27
000: 512 0.66
001: 512 0.26
002: 512 0.25
003: 512 0.25
004: 512 0.25
005: 512 0.25
006: 512 0.25
007: 512 0.26
008: 512 0.25
009: 512 0.25
010: 512 0.25
512                     0.29
000: 1024 0.85
001: 1024 0.35
002: 1024 0.35
003: 1024 0.35
004: 1024 0.35
005: 1024 0.35
006: 1024 0.35
007: 1024 0.36
008: 1024 0.35
009: 1024 0.35
010: 1024 0.35
1024                    0.40
000: 2048 0.92
001: 2048 0.47
002: 2048 0.47
003: 2048 0.46
004: 2048 0.45
005: 2048 0.46
006: 2048 0.47
007: 2048 0.48
008: 2048 0.48
009: 2048 0.47
010: 2048 0.46
2048                    0.51
000: 4096 1.09
001: 4096 0.63
002: 4096 0.66
003: 4096 0.63
004: 4096 0.64
005: 4096 0.66
006: 4096 0.66
007: 4096 0.65
008: 4096 0.62
009: 4096 0.65
010: 4096 0.63
4096                    0.68
000: 8192 1.53
001: 8192 1.05
002: 8192 1.05
003: 8192 1.05
004: 8192 1.04
005: 8192 1.04
006: 8192 1.04
007: 8192 1.05
008: 8192 1.05
009: 8192 1.05
010: 8192 1.05
8192                    1.09
000: 16384 2.51
001: 16384 2.02
002: 16384 1.99
003: 16384 2.00
004: 16384 1.98
005: 16384 1.98
006: 16384 1.98
007: 16384 1.98
008: 16384 1.99
009: 16384 1.97
010: 16384 2.00
16384                   2.04
000: 32768 4.08
001: 32768 3.59
002: 32768 3.56
003: 32768 3.58
004: 32768 3.56
005: 32768 3.57
006: 32768 3.56
007: 32768 3.59
008: 32768 3.56
009: 32768 3.58
010: 32768 3.57
32768                   3.62
000: 65536 6.86
001: 65536 6.34
002: 65536 6.34
003: 65536 6.35
004: 65536 6.34
005: 65536 6.33
006: 65536 6.33
007: 65536 6.35
008: 65536 6.33
009: 65536 6.34
010: 65536 6.35
65536                   6.39
000: 131072 12.62
001: 131072 12.01
002: 131072 12.00
003: 131072 12.02
004: 131072 12.01
005: 131072 12.01
006: 131072 12.01
007: 131072 12.03
008: 131072 12.00
009: 131072 12.02
010: 131072 12.01
131072                 12.07
000: 262144 23.80
001: 262144 23.30
002: 262144 23.21
003: 262144 23.24
004: 262144 23.23
005: 262144 23.21
006: 262144 23.21
007: 262144 23.23
008: 262144 23.21
009: 262144 23.21
010: 262144 23.21
262144                 23.28
000: 524288 47.72
001: 524288 47.23
002: 524288 47.21
003: 524288 47.24
004: 524288 47.24
005: 524288 47.22
006: 524288 47.22
007: 524288 47.24
008: 524288 47.23
009: 524288 47.24
010: 524288 47.21
524288                 47.27
000: 1048576 96.75
001: 1048576 96.22
002: 1048576 96.20
003: 1048576 96.20
004: 1048576 96.21
005: 1048576 96.19
006: 1048576 96.21
007: 1048576 96.22
008: 1048576 96.20
009: 1048576 96.22
010: 1048576 96.20
1048576                96.25

# OSU MPI_Bcast (data-varying) v7.0
# Size       Avg Latency(us)
root = 0
000: 1 0.66
001: 1 0.18
002: 1 0.17
003: 1 0.17
004: 1 0.17
005: 1 0.17
006: 1 0.17
007: 1 0.17
008: 1 0.17
009: 1 0.17
010: 1 0.17
1                       0.22
000: 2 0.68
001: 2 0.19
002: 2 0.19
003: 2 0.18
004: 2 0.18
005: 2 0.18
006: 2 0.17
007: 2 0.18
008: 2 0.17
009: 2 0.18
010: 2 0.17
2                       0.23
000: 4 0.61
001: 4 0.16
002: 4 0.16
003: 4 0.15
004: 4 0.16
005: 4 0.15
006: 4 0.15
007: 4 0.15
008: 4 0.15
009: 4 0.15
010: 4 0.15
4                       0.19
000: 8 0.63
001: 8 0.16
002: 8 0.15
003: 8 0.15
004: 8 0.15
005: 8 0.16
006: 8 0.15
007: 8 0.16
008: 8 0.15
009: 8 0.16
010: 8 0.15
8                       0.20
000: 16 0.61
001: 16 0.16
002: 16 0.15
003: 16 0.15
004: 16 0.15
005: 16 0.15
006: 16 0.15
007: 16 0.15
008: 16 0.15
009: 16 0.15
010: 16 0.15
16                      0.19
000: 32 0.63
001: 32 0.18
002: 32 0.16
003: 32 0.16
004: 32 0.16
005: 32 0.16
006: 32 0.16
007: 32 0.17
008: 32 0.16
009: 32 0.16
010: 32 0.16
32                      0.21
000: 64 0.63
001: 64 0.18
002: 64 0.17
003: 64 0.17
004: 64 0.17
005: 64 0.17
006: 64 0.17
007: 64 0.18
008: 64 0.17
009: 64 0.16
010: 64 0.16
64                      0.21
000: 128 0.65
001: 128 0.20
002: 128 0.19
003: 128 0.19
004: 128 0.19
005: 128 0.19
006: 128 0.19
007: 128 0.19
008: 128 0.19
009: 128 0.18
010: 128 0.19
128                     0.23
000: 256 0.70
001: 256 0.23
002: 256 0.23
003: 256 0.22
004: 256 0.22
005: 256 0.24
006: 256 0.22
007: 256 0.23
008: 256 0.23
009: 256 0.23
010: 256 0.22
256                     0.27
000: 512 0.75
001: 512 0.29
002: 512 0.29
003: 512 0.28
004: 512 0.28
005: 512 0.30
006: 512 0.28
007: 512 0.29
008: 512 0.28
009: 512 0.28
010: 512 0.29
512                     0.33
000: 1024 0.87
001: 1024 0.38
002: 1024 0.38
003: 1024 0.39
004: 1024 0.38
005: 1024 0.38
006: 1024 0.38
007: 1024 0.39
008: 1024 0.38
009: 1024 0.39
010: 1024 0.38
1024                    0.43
000: 2048 1.01
001: 2048 0.51
002: 2048 0.51
003: 2048 0.52
004: 2048 0.52
005: 2048 0.50
006: 2048 0.50
007: 2048 0.50
008: 2048 0.52
009: 2048 0.51
