
# OSU MPI_Bcast (data-varying) v7.0
# Size       Avg Latency(us)
root = 0
000: 1 1.60
001: 1 0.66
002: 1 0.65
003: 1 0.66
004: 1 0.67
005: 1 0.65
006: 1 0.65
007: 1 0.64
008: 1 0.65
009: 1 0.67
010: 1 0.64
011: 1 0.67
012: 1 0.37
013: 1 0.37
014: 1 0.37
015: 1 0.38
016: 1 0.38
017: 1 0.37
018: 1 0.37
019: 1 0.37
020: 1 0.38
021: 1 0.37
1                       0.57
000: 2 1.55
001: 2 0.64
002: 2 0.63
003: 2 0.65
004: 2 0.65
005: 2 0.64
006: 2 0.66
007: 2 0.64
008: 2 0.66
009: 2 0.65
010: 2 0.62
011: 2 0.64
012: 2 0.37
013: 2 0.38
014: 2 0.38
015: 2 0.39
016: 2 0.39
017: 2 0.37
018: 2 0.38
019: 2 0.38
020: 2 0.39
021: 2 0.38
2                       0.57
000: 4 1.56
001: 4 0.65
002: 4 0.65
003: 4 0.64
004: 4 0.66
005: 4 0.64
006: 4 0.65
007: 4 0.63
008: 4 0.65
009: 4 0.66
010: 4 0.65
011: 4 0.64
012: 4 0.37
013: 4 0.37
014: 4 0.37
015: 4 0.38
016: 4 0.38
017: 4 0.38
018: 4 0.38
019: 4 0.37
020: 4 0.37
021: 4 0.38
4                       0.57
000: 8 1.58
001: 8 0.69
002: 8 0.68
003: 8 0.68
004: 8 0.71
005: 8 0.66
006: 8 0.69
007: 8 0.67
008: 8 0.70
009: 8 0.67
010: 8 0.65
011: 8 0.67
012: 8 0.37
013: 8 0.37
014: 8 0.38
015: 8 0.38
016: 8 0.38
017: 8 0.37
018: 8 0.38
019: 8 0.37
020: 8 0.38
021: 8 0.38
8                       0.58
000: 16 1.56
001: 16 0.66
002: 16 0.65
003: 16 0.65
004: 16 0.69
005: 16 0.64
006: 16 0.67
007: 16 0.65
008: 16 0.67
009: 16 0.66
010: 16 0.63
011: 16 0.67
012: 16 0.39
013: 16 0.38
014: 16 0.39
015: 16 0.39
016: 16 0.40
017: 16 0.38
018: 16 0.39
019: 16 0.39
020: 16 0.40
021: 16 0.38
16                      0.58
000: 32 1.57
001: 32 0.65
002: 32 0.66
003: 32 0.67
004: 32 0.67
005: 32 0.67
006: 32 0.67
007: 32 0.65
008: 32 0.67
009: 32 0.68
010: 32 0.66
011: 32 0.68
012: 32 0.36
013: 32 0.36
014: 32 0.37
015: 32 0.37
016: 32 0.36
017: 32 0.36
018: 32 0.37
019: 32 0.36
020: 32 0.37
021: 32 0.37
32                      0.57
000: 64 1.57
001: 64 0.65
002: 64 0.67
003: 64 0.67
004: 64 0.67
005: 64 0.66
006: 64 0.66
007: 64 0.67
008: 64 0.67
009: 64 0.67
010: 64 0.66
011: 64 0.65
012: 64 0.37
013: 64 0.37
014: 64 0.38
015: 64 0.38
016: 64 0.39
017: 64 0.37
018: 64 0.37
019: 64 0.37
020: 64 0.37
021: 64 0.38
64                      0.57
000: 128 1.66
001: 128 0.75
002: 128 0.74
003: 128 0.74
004: 128 0.76
005: 128 0.73
006: 128 0.74
007: 128 0.74
008: 128 0.75
009: 128 0.74
010: 128 0.74
011: 128 0.73
012: 128 0.47
013: 128 0.46
014: 128 0.46
015: 128 0.47
016: 128 0.47
017: 128 0.46
018: 128 0.46
019: 128 0.46
020: 128 0.46
021: 128 0.47
128                     0.66
000: 256 1.66
001: 256 0.73
002: 256 0.72
003: 256 0.74
004: 256 0.73
005: 256 0.74
006: 256 0.73
007: 256 0.73
008: 256 0.74
009: 256 0.75
010: 256 0.72
011: 256 0.74
012: 256 0.48
013: 256 0.47
014: 256 0.48
015: 256 0.49
016: 256 0.49
017: 256 0.48
018: 256 0.49
019: 256 0.49
020: 256 0.48
021: 256 0.49
256                     0.66
000: 512 1.98
001: 512 1.13
002: 512 1.12
003: 512 1.14
004: 512 1.12
005: 512 1.14
006: 512 1.14
007: 512 1.13
008: 512 1.14
009: 512 1.13
010: 512 1.14
011: 512 1.14
012: 512 0.80
013: 512 0.79
014: 512 0.79
015: 512 0.81
016: 512 0.80
017: 512 0.79
018: 512 0.79
019: 512 0.78
020: 512 0.80
021: 512 0.80
512                     1.02
000: 1024 1.91
001: 1024 1.08
002: 1024 1.08
003: 1024 1.06
004: 1024 1.07
005: 1024 1.06
006: 1024 1.14
007: 1024 1.06
008: 1024 1.08
009: 1024 1.07
010: 1024 1.07
011: 1024 1.07
012: 1024 0.69
013: 1024 0.71
014: 1024 0.70
015: 1024 0.70
016: 1024 0.70
017: 1024 0.69
018: 1024 0.69
019: 1024 0.69
020: 1024 0.68
021: 1024 0.70
1024                    0.94
000: 2048 2.03
001: 2048 1.28
002: 2048 1.28
003: 2048 1.27
004: 2048 1.29
005: 2048 1.29
006: 2048 1.28
007: 2048 1.29
008: 2048 1.29
009: 2048 1.26
010: 2048 1.27
011: 2048 1.27
012: 2048 0.81
013: 2048 0.80
014: 2048 0.78
015: 2048 0.80
016: 2048 0.81
017: 2048 0.79
018: 2048 0.79
019: 2048 0.79
020: 2048 0.78
021: 2048 0.82
2048                    1.09
000: 4096 2.31
001: 4096 1.60
002: 4096 1.59
003: 4096 1.59
004: 4096 1.60
005: 4096 1.59
006: 4096 1.60
007: 4096 1.57
008: 4096 1.58
009: 4096 1.58
010: 4096 1.58
011: 4096 1.58
012: 4096 1.04
013: 4096 1.06
014: 4096 1.05
015: 4096 1.05
016: 4096 1.06
017: 4096 1.04
018: 4096 1.06
019: 4096 1.03
020: 4096 1.05
021: 4096 1.05
4096                    1.38
000: 8192 3.03
001: 8192 2.23
002: 8192 2.25
003: 8192 2.22
004: 8192 2.23
005: 8192 2.22
006: 8192 2.23
007: 8192 2.22
008: 8192 2.21
009: 8192 2.22
010: 8192 2.24
011: 8192 2.24
012: 8192 1.67
013: 8192 1.67
014: 8192 1.66
015: 8192 1.68
016: 8192 1.68
017: 8192 1.66
018: 8192 1.67
019: 8192 1.67
020: 8192 1.67
021: 8192 1.67
8192                    2.01
000: 16384 4.46
001: 16384 3.52
002: 16384 3.62
003: 16384 3.35
004: 16384 3.54
005: 16384 3.35
006: 16384 3.59
007: 16384 3.55
008: 16384 3.60
009: 16384 3.59
010: 16384 3.53
011: 16384 3.58
012: 16384 3.09
013: 16384 3.02
014: 16384 3.01
015: 16384 3.03
016: 16384 3.02
017: 16384 2.99
018: 16384 3.01
019: 16384 3.01
020: 16384 3.01
021: 16384 3.05
16384                   3.34
000: 32768 7.31
001: 32768 6.22
002: 32768 5.94
003: 32768 6.01
004: 32768 6.01
005: 32768 6.02
006: 32768 6.19
007: 32768 5.96
008: 32768 6.11
009: 32768 5.80
010: 32768 5.86
011: 32768 6.23
012: 32768 5.83
013: 32768 5.83
014: 32768 5.84
015: 32768 5.85
016: 32768 5.82
017: 32768 5.82
018: 32768 5.83
019: 32768 5.83
020: 32768 5.83
021: 32768 5.85
32768                   6.00
000: 65536 13.09
001: 65536 11.33
002: 65536 10.95
003: 65536 10.92
004: 65536 10.95
005: 65536 11.05
006: 65536 11.43
007: 65536 11.13
008: 65536 11.57
009: 65536 11.06
010: 65536 11.23
011: 65536 11.21
012: 65536 11.20
013: 65536 11.22
014: 65536 11.23
015: 65536 11.23
016: 65536 11.22
017: 65536 11.22
018: 65536 11.20
019: 65536 11.23
020: 65536 11.22
021: 65536 11.23
65536                  11.28
000: 131072 24.80
001: 131072 21.51
002: 131072 20.94
003: 131072 21.14
004: 131072 21.65
005: 131072 20.67
006: 131072 21.90
007: 131072 20.91
008: 131072 21.51
009: 131072 21.00
010: 131072 21.51
011: 131072 21.38
012: 131072 22.45
013: 131072 22.46
014: 131072 22.45
015: 131072 22.45
016: 131072 22.46
017: 131072 22.44
018: 131072 22.45
019: 131072 22.45
020: 131072 22.46
021: 131072 22.47
131072                 21.98
000: 262144 48.33
001: 262144 42.52
002: 262144 42.26
003: 262144 43.15
004: 262144 42.87
005: 262144 42.31
006: 262144 42.05
007: 262144 42.01
008: 262144 42.85
009: 262144 42.95
010: 262144 42.46
011: 262144 43.07
012: 262144 44.09
013: 262144 44.08
014: 262144 44.09
015: 262144 44.11
016: 262144 44.11
017: 262144 44.09
018: 262144 44.11
019: 262144 44.10
020: 262144 44.10
021: 262144 44.13
262144                 43.54
000: 524288 94.45
001: 524288 80.39
002: 524288 80.80
003: 524288 79.63
004: 524288 81.44
005: 524288 79.79
006: 524288 77.17
007: 524288 81.81
008: 524288 79.35
009: 524288 79.51
010: 524288 79.01
011: 524288 78.84
012: 524288 89.09
013: 524288 89.05
014: 524288 89.07
015: 524288 89.09
016: 524288 89.07
017: 524288 89.08
018: 524288 89.07
019: 524288 89.07
020: 524288 89.08
021: 524288 89.08
524288                 84.68
000: 1048576 188.55
001: 1048576 145.38
002: 1048576 145.42
003: 1048576 149.92
004: 1048576 145.63
005: 1048576 146.23
006: 1048576 142.85
007: 1048576 142.98
008: 1048576 141.89
009: 1048576 145.09
010: 1048576 145.03
011: 1048576 145.42
012: 1048576 181.08
013: 1048576 181.02
014: 1048576 181.04
015: 1048576 181.05
016: 1048576 181.04
017: 1048576 181.03
018: 1048576 181.03
019: 1048576 181.02
020: 1048576 181.04
021: 1048576 181.03
1048576               163.40

# OSU MPI_Bcast (data-varying) v7.0
# Size       Avg Latency(us)
root = 0
000: 1 1.61
001: 1 0.71
002: 1 0.71
003: 1 0.70
004: 1 0.69
005: 1 0.71
006: 1 0.70
007: 1 0.69
008: 1 0.70
009: 1 0.69
010: 1 0.69
011: 1 0.69
012: 1 0.41
013: 1 0.41
014: 1 0.40
015: 1 0.42
016: 1 0.41
017: 1 0.41
018: 1 0.41
019: 1 0.41
020: 1 0.42
021: 1 0.42
1                       0.61
000: 2 1.76
001: 2 0.86
002: 2 0.87
003: 2 0.86
004: 2 0.84
005: 2 0.85
006: 2 0.86
007: 2 0.85
008: 2 0.88
009: 2 0.83
010: 2 0.87
011: 2 0.87
012: 2 0.53
013: 2 0.53
014: 2 0.54
015: 2 0.54
016: 2 0.53
017: 2 0.54
018: 2 0.53
019: 2 0.52
020: 2 0.54
021: 2 0.54
2                       0.75
000: 4 1.72
001: 4 0.87
002: 4 0.87
003: 4 0.86
004: 4 0.87
005: 4 0.87
006: 4 0.87
007: 4 0.86
008: 4 0.87
009: 4 0.85
010: 4 0.86
011: 4 0.86
012: 4 0.53
013: 4 0.53
014: 4 0.54
015: 4 0.54
016: 4 0.54
017: 4 0.54
