
# OSU MPI_Bcast (data-varying) v7.0
# Size       Avg Latency(us)
root = 0
1                       0.38
2                       0.49
4                       0.39
8                       0.38
16                      0.39
32                      0.43
64                      0.40
128                     0.73
256                     0.94
512                     0.93
1024                    0.90
2048                    1.15
4096                    1.47
8192                    2.28
16384                   3.37
32768                   5.98
65536                  10.68
131072                 20.18
262144                 39.61
524288                 79.20
1048576               159.95

# OSU MPI_Bcast (data-varying) v7.0
# Size       Avg Latency(us)
root = 0
1                       0.35
2                       0.46
4                       0.40
8                       0.37
16                      0.36
32                      0.40
64                      0.40
128                     0.58
256                     0.73
512                     1.03
1024                    1.04
2048                    1.27
4096                    1.50
8192                    2.34
16384                   3.76
32768                   6.60
65536                  11.89
131072                 22.43
262144                 43.25
524288                 86.01
1048576               163.44

# OSU MPI_Bcast (data-varying) v7.0
# Size       Avg Latency(us)
root = 0
1                       0.41
2                       0.52
4                       0.40
8                       0.58
16                      0.40
32                      0.42
64                      0.43
128                     0.48
256                     0.76
512                     0.94
1024                    0.95
2048                    1.17
4096                    1.41
8192                    2.21
16384                   3.41
32768                   5.97
65536                  10.50
131072                 19.57
262144                 37.63
524288                 77.05
1048576               158.06

# OSU MPI_Bcast (data-varying) v7.0
# Size       Avg Latency(us)
root = 0
1                       0.39
2                       0.51
4                       0.39
8                       0.48
16                      0.43
32                      0.43
64                      0.48
128                     0.60
256                     0.77
512                     1.07
1024                    0.90
2048                    1.16
4096                    1.46
8192                    2.27
16384                   3.34
32768                   5.85
65536                  10.68
131072                 20.29
262144                 38.47
524288                 77.74
1048576               158.73

# OSU MPI_Bcast (data-varying) v7.0
# Size       Avg Latency(us)
root = 0
1                       0.38
2                       0.53
4                       0.43
8                       0.43
16                      0.37
32                      0.40
64                      0.46
128                     0.57
256                     0.79
512                     1.03
1024                    1.05
2048                    1.24
4096                    1.45
8192                    2.30
16384                   3.61
32768                   6.65
65536                  11.88
131072                 22.31
262144                 43.57
524288                 86.37
1048576               169.30

# OSU MPI_Bcast (data-varying) v7.0
# Size       Avg Latency(us)
root = 0
1                       0.38
2                       0.45
4                       0.39
8                       0.38
16                      0.39
32                      0.41
64                      0.40
128                     0.54
256                     0.69
512                     0.99
1024                    0.93
2048                    1.15
4096                    1.47
8192                    2.18
16384                   3.43
32768                   5.82
65536                  10.52
131072                 20.17
262144                 39.63
524288                 78.83
1048576               158.65

# OSU MPI_Bcast (data-varying) v7.0
# Size       Avg Latency(us)
root = 0
1                       0.35
2                       0.47
4                       0.39
8                       0.36
16                      0.38
32                      0.42
64                      0.55
128                     0.58
256                     0.68
512                     1.09
1024                    0.92
2048                    1.17
4096                    1.37
8192                    2.23
16384                   3.60
32768                   5.90
65536                  10.68
131072                 20.16
262144                 39.35
524288                 78.10
1048576               159.83

# OSU MPI_Bcast (data-varying) v7.0
# Size       Avg Latency(us)
root = 0
1                       0.37
2                       0.44
4                       0.33
8                       0.35
16                      0.43
32                      0.41
64                      0.38
128                     0.52
256                     0.72
512                     0.90
1024                    0.96
2048                    1.15
4096                    1.44
8192                    2.23
16384                   3.34
32768                   6.00
65536                  12.02
131072                 22.69
262144                 43.04
524288                 85.85
1048576               169.79

# OSU MPI_Bcast (data-varying) v7.0
# Size       Avg Latency(us)
root = 0
1                       0.45
2                       0.46
4                       0.38
8                       0.44
16                      0.40
32                      0.41
64                      0.41
128                     0.52
256                     0.75
512                     1.00
1024                    1.03
2048                    1.24
4096                    1.64
8192                    2.36
16384                   3.66
32768                   6.76
65536                  11.71
131072                 22.30
262144                 42.84
524288                 86.27
1048576               169.95

# OSU MPI_Bcast (data-varying) v7.0
# Size       Avg Latency(us)
root = 0
1                       0.37
2                       0.49
4                       0.37
8                       0.39
16                      0.39
32                      0.42
64                      0.50
128                     0.61
256                     0.76
512                     1.07
1024                    1.11
2048                    1.25
4096                    1.57
8192                    2.41
16384                   3.81
32768                   6.62
65536                  11.89
131072                 22.06
262144                 43.38
524288                 85.70
1048576               169.43

# OSU MPI_Bcast (data-varying) v7.0
# Size       Avg Latency(us)
root = 0
1                       0.36
2                       0.47
4                       0.36
8                       0.37
16                      0.40
32                      0.42
64                      0.39
