
# OSU MPI_Bcast (data-varying) v7.0
# Size       Avg Latency(us)
000: 1 0.60
001: 1 0.17
002: 1 0.17
003: 1 0.17
004: 1 0.17
005: 1 0.17
006: 1 0.17
007: 1 0.17
008: 1 0.17
009: 1 0.17
010: 1 0.17
011: 1 0.17
012: 1 0.17
013: 1 0.17
1                       0.20
000: 2 0.63
001: 2 0.18
002: 2 0.17
003: 2 0.18
004: 2 0.18
005: 2 0.18
006: 2 0.18
007: 2 0.18
008: 2 0.18
009: 2 0.18
010: 2 0.18
011: 2 0.17
012: 2 0.17
013: 2 0.18
2                       0.21
000: 4 0.60
001: 4 0.17
002: 4 0.17
003: 4 0.17
004: 4 0.17
005: 4 0.17
006: 4 0.17
007: 4 0.17
008: 4 0.18
009: 4 0.17
010: 4 0.18
011: 4 0.17
012: 4 0.17
013: 4 0.17
4                       0.20
000: 8 0.61
001: 8 0.17
002: 8 0.17
003: 8 0.17
004: 8 0.17
005: 8 0.17
006: 8 0.17
007: 8 0.17
008: 8 0.17
009: 8 0.17
010: 8 0.17
011: 8 0.17
012: 8 0.17
013: 8 0.17
8                       0.20
000: 16 0.61
001: 16 0.17
002: 16 0.17
003: 16 0.17
004: 16 0.17
005: 16 0.17
006: 16 0.17
007: 16 0.17
008: 16 0.18
009: 16 0.17
010: 16 0.18
011: 16 0.17
012: 16 0.17
013: 16 0.17
16                      0.20
000: 32 0.60
001: 32 0.17
002: 32 0.17
003: 32 0.17
004: 32 0.17
005: 32 0.17
006: 32 0.18
007: 32 0.17
008: 32 0.18
009: 32 0.17
010: 32 0.18
011: 32 0.17
012: 32 0.17
013: 32 0.17
32                      0.20
000: 64 0.61
001: 64 0.17
002: 64 0.17
003: 64 0.18
004: 64 0.17
005: 64 0.17
006: 64 0.18
007: 64 0.17
008: 64 0.18
009: 64 0.17
010: 64 0.18
011: 64 0.17
012: 64 0.17
013: 64 0.17
64                      0.21
000: 128 0.64
001: 128 0.20
002: 128 0.20
003: 128 0.20
004: 128 0.21
005: 128 0.20
006: 128 0.20
007: 128 0.20
008: 128 0.20
009: 128 0.20
010: 128 0.21
011: 128 0.20
012: 128 0.20
013: 128 0.20
128                     0.23
000: 256 0.64
001: 256 0.22
002: 256 0.22
003: 256 0.22
004: 256 0.22
005: 256 0.22
006: 256 0.22
007: 256 0.22
008: 256 0.22
009: 256 0.22
010: 256 0.22
011: 256 0.22
012: 256 0.21
013: 256 0.22
256                     0.25
000: 512 0.69
001: 512 0.25
002: 512 0.24
003: 512 0.24
004: 512 0.25
005: 512 0.25
006: 512 0.25
007: 512 0.24
008: 512 0.25
009: 512 0.24
010: 512 0.24
011: 512 0.25
012: 512 0.24
013: 512 0.25
512                     0.28
000: 1024 0.82
001: 1024 0.35
002: 1024 0.36
003: 1024 0.35
004: 1024 0.36
005: 1024 0.35
006: 1024 0.36
007: 1024 0.35
008: 1024 0.35
009: 1024 0.37
010: 1024 0.36
011: 1024 0.35
012: 1024 0.36
013: 1024 0.36
1024                    0.39
000: 2048 0.96
001: 2048 0.49
002: 2048 0.50
003: 2048 0.49
004: 2048 0.50
005: 2048 0.49
006: 2048 0.50
007: 2048 0.49
008: 2048 0.49
009: 2048 0.49
010: 2048 0.50
011: 2048 0.49
012: 2048 0.50
013: 2048 0.50
2048                    0.53
000: 4096 1.24
001: 4096 0.76
002: 4096 0.77
003: 4096 0.77
004: 4096 0.77
005: 4096 0.77
006: 4096 0.77
007: 4096 0.76
008: 4096 0.77
009: 4096 0.77
010: 4096 0.77
011: 4096 0.77
012: 4096 0.76
013: 4096 0.76
4096                    0.80
000: 8192 1.76
001: 8192 1.31
002: 8192 1.32
003: 8192 1.31
004: 8192 1.32
005: 8192 1.31
006: 8192 1.32
007: 8192 1.31
008: 8192 1.32
009: 8192 1.31
010: 8192 1.31
011: 8192 1.31
012: 8192 1.32
013: 8192 1.32
8192                    1.35
000: 16384 2.92
001: 16384 2.42
002: 16384 2.42
003: 16384 2.41
004: 16384 2.42
005: 16384 2.41
006: 16384 2.42
007: 16384 2.41
008: 16384 2.41
009: 16384 2.41
010: 16384 2.40
011: 16384 2.41
012: 16384 2.42
013: 16384 2.42
16384                   2.45
000: 32768 5.04
001: 32768 4.59
002: 32768 4.60
003: 32768 4.59
004: 32768 4.59
005: 32768 4.58
006: 32768 4.59
007: 32768 4.59
008: 32768 4.59
009: 32768 4.60
010: 32768 4.55
011: 32768 4.59
012: 32768 4.59
013: 32768 4.59
32768                   4.62
000: 65536 6.97
001: 65536 6.46
002: 65536 6.47
003: 65536 6.46
004: 65536 6.46
005: 65536 6.46
006: 65536 6.46
007: 65536 6.45
008: 65536 6.46
009: 65536 6.46
010: 65536 6.46
011: 65536 6.46
012: 65536 6.46
013: 65536 6.46
65536                   6.50
000: 131072 10.71
001: 131072 10.22
002: 131072 10.22
003: 131072 10.21
004: 131072 10.22
005: 131072 10.22
006: 131072 10.22
007: 131072 10.21
008: 131072 10.22
009: 131072 10.22
010: 131072 10.21
011: 131072 10.22
012: 131072 10.22
013: 131072 10.22
131072                 10.25
000: 262144 17.76
001: 262144 17.31
002: 262144 17.31
003: 262144 17.32
004: 262144 17.32
005: 262144 17.31
006: 262144 17.31
007: 262144 17.30
008: 262144 17.31
009: 262144 17.31
010: 262144 17.31
011: 262144 17.31
012: 262144 17.32
013: 262144 17.32
262144                 17.34
000: 524288 31.81
001: 524288 31.36
002: 524288 31.35
003: 524288 31.36
004: 524288 31.36
005: 524288 31.36
006: 524288 31.36
007: 524288 31.35
008: 524288 31.36
009: 524288 31.36
010: 524288 31.36
011: 524288 31.36
012: 524288 31.36
013: 524288 31.37
524288                 31.39
000: 1048576 82.20
001: 1048576 81.68
002: 1048576 81.66
003: 1048576 81.66
004: 1048576 81.73
005: 1048576 81.75
006: 1048576 81.46
007: 1048576 81.61
008: 1048576 81.79
009: 1048576 81.60
010: 1048576 81.70
011: 1048576 81.64
012: 1048576 81.79
013: 1048576 81.44
1048576                81.69

# OSU MPI_Bcast (data-varying) v7.0
# Size       Avg Latency(us)
000: 1 0.63
001: 1 0.17
002: 1 0.17
003: 1 0.17
004: 1 0.18
005: 1 0.17
006: 1 0.18
007: 1 0.17
008: 1 0.17
009: 1 0.17
010: 1 0.17
011: 1 0.17
012: 1 0.18
013: 1 0.18
1                       0.21
000: 2 0.64
001: 2 0.18
002: 2 0.17
003: 2 0.17
004: 2 0.17
005: 2 0.17
006: 2 0.17
007: 2 0.17
008: 2 0.17
009: 2 0.17
010: 2 0.17
011: 2 0.17
012: 2 0.17
013: 2 0.18
2                       0.21
000: 4 0.64
001: 4 0.17
002: 4 0.17
003: 4 0.17
004: 4 0.17
005: 4 0.17
006: 4 0.18
007: 4 0.17
008: 4 0.17
009: 4 0.17
010: 4 0.17
011: 4 0.17
012: 4 0.17
013: 4 0.18
4                       0.21
000: 8 0.61
001: 8 0.17
002: 8 0.17
003: 8 0.17
004: 8 0.17
005: 8 0.17
006: 8 0.18
007: 8 0.17
008: 8 0.17
009: 8 0.17
010: 8 0.17
011: 8 0.17
012: 8 0.18
013: 8 0.18
8                       0.20
000: 16 0.63
001: 16 0.17
002: 16 0.18
003: 16 0.17
004: 16 0.18
005: 16 0.17
006: 16 0.18
007: 16 0.17
008: 16 0.17
009: 16 0.17
010: 16 0.17
011: 16 0.18
012: 16 0.18
013: 16 0.18
16                      0.21
000: 32 0.63
001: 32 0.17
002: 32 0.17
003: 32 0.17
004: 32 0.17
005: 32 0.17
006: 32 0.18
007: 32 0.17
008: 32 0.17
009: 32 0.17
010: 32 0.17
011: 32 0.17
012: 32 0.17
013: 32 0.17
32                      0.21
000: 64 0.64
001: 64 0.18
002: 64 0.18
003: 64 0.18
004: 64 0.18
005: 64 0.18
006: 64 0.18
007: 64 0.18
008: 64 0.18
009: 64 0.18
010: 64 0.18
011: 64 0.18
012: 64 0.18
013: 64 0.18
64                      0.21
000: 128 0.64
001: 128 0.20
002: 128 0.21
003: 128 0.20
004: 128 0.20
005: 128 0.20
006: 128 0.20
007: 128 0.20
008: 128 0.20
009: 128 0.20
010: 128 0.20
011: 128 0.20
012: 128 0.20
013: 128 0.21
128                     0.23
000: 256 0.66
001: 256 0.22
002: 256 0.23
003: 256 0.22
004: 256 0.22
005: 256 0.22
006: 256 0.22
007: 256 0.22
008: 256 0.22
009: 256 0.22
010: 256 0.22
011: 256 0.23
012: 256 0.23
013: 256 0.23
256                     0.25
000: 512 0.71
001: 512 0.26
002: 512 0.26
003: 512 0.26
004: 512 0.26
005: 512 0.26
006: 512 0.25
007: 512 0.26
008: 512 0.25
009: 512 0.26
010: 512 0.25
011: 512 0.26
012: 512 0.26
013: 512 0.26
512                     0.29
000: 1024 0.82
001: 1024 0.36
002: 1024 0.36
003: 1024 0.36
004: 1024 0.36
005: 1024 0.36
006: 1024 0.36
007: 1024 0.36
008: 1024 0.36
009: 1024 0.36
010: 1024 0.36
011: 1024 0.36
012: 1024 0.36
013: 1024 0.36
1024                    0.39
000: 2048 0.94
001: 2048 0.49
002: 2048 0.49
003: 2048 0.49
004: 2048 0.50
005: 2048 0.49
006: 2048 0.49
007: 2048 0.49
008: 2048 0.49
009: 2048 0.49
010: 2048 0.48
011: 2048 0.49
012: 2048 0.49
013: 2048 0.49
2048                    0.52
000: 4096 1.23
001: 4096 0.76
002: 4096 0.77
003: 4096 0.76
004: 4096 0.77
005: 4096 0.76
006: 4096 0.76
007: 4096 0.76
008: 4096 0.76
009: 4096 0.76
010: 4096 0.76
011: 4096 0.76
012: 4096 0.76
013: 4096 0.77
4096                    0.80
000: 8192 1.77
001: 8192 1.31
002: 8192 1.31
003: 8192 1.31
004: 8192 1.32
005: 8192 1.31
006: 8192 1.31
007: 8192 1.31
008: 8192 1.31
009: 8192 1.31
010: 8192 1.30
011: 8192 1.31
012: 8192 1.31
013: 8192 1.31
8192                    1.34
000: 16384 2.87
001: 16384 2.41
002: 16384 2.41
003: 16384 2.41
004: 16384 2.42
005: 16384 2.41
006: 16384 2.41
007: 16384 2.41
008: 16384 2.40
009: 16384 2.41
010: 16384 2.39
011: 16384 2.41
012: 16384 2.41
013: 16384 2.41
16384                   2.44
000: 32768 4.96
001: 32768 4.48
002: 32768 4.49
003: 32768 4.49
004: 32768 4.49
005: 32768 4.49
006: 32768 4.49
007: 32768 4.49
008: 32768 4.48
009: 32768 4.49
010: 32768 4.47
011: 32768 4.49
012: 32768 4.49
013: 32768 4.49
32768                   4.52
000: 65536 6.98
001: 65536 6.47
002: 65536 6.47
003: 65536 6.48
004: 65536 6.48
005: 65536 6.47
006: 65536 6.47
007: 65536 6.47
008: 65536 6.47
009: 65536 6.47
010: 65536 6.46
011: 65536 6.47
012: 65536 6.47
013: 65536 6.47
65536                   6.51
000: 131072 10.70
001: 131072 10.20
002: 131072 10.21
003: 131072 10.21
004: 131072 10.21
005: 131072 10.20
006: 131072 10.20
007: 131072 10.20
008: 131072 10.21
009: 131072 10.20
010: 131072 10.20
011: 131072 10.21
012: 131072 10.20
013: 131072 10.20
131072                 10.24
000: 262144 17.32
001: 262144 16.85
002: 262144 16.87
003: 262144 16.85
004: 262144 16.86
005: 262144 16.85
006: 262144 16.86
007: 262144 16.85
008: 262144 16.85
009: 262144 16.85
010: 262144 16.86
011: 262144 16.85
012: 262144 16.85
013: 262144 16.86
262144                 16.89
000: 524288 31.24
001: 524288 30.78
002: 524288 30.78
003: 524288 30.77
004: 524288 30.78
005: 524288 30.78
006: 524288 30.78
007: 524288 30.78
008: 524288 30.77
009: 524288 30.77
010: 524288 30.78
011: 524288 30.78
012: 524288 30.78
013: 524288 30.78
524288                 30.81
000: 1048576 80.55
001: 1048576 79.84
002: 1048576 79.90
003: 1048576 79.89
004: 1048576 79.82
005: 1048576 79.85
006: 1048576 79.86
007: 1048576 80.01
008: 1048576 80.00
009: 1048576 79.83
010: 1048576 80.00
011: 1048576 79.82
012: 1048576 79.97
013: 1048576 79.86
1048576                79.94

# OSU MPI_Bcast (data-varying) v7.0
# Size       Avg Latency(us)
000: 1 0.63
001: 1 0.17
002: 1 0.17
003: 1 0.17
004: 1 0.17
005: 1 0.17
006: 1 0.17
007: 1 0.17
008: 1 0.17
009: 1 0.17
010: 1 0.17
011: 1 0.17
012: 1 0.17
013: 1 0.17
1                       0.20
000: 2 0.65
