
# OSU MPI_Bcast (data-varying) v7.0
# Size       Avg Latency(us)
000: 1 0.79
001: 1 0.17
002: 1 0.17
003: 1 0.17
004: 1 0.17
005: 1 0.17
006: 1 0.16
007: 1 0.17
008: 1 0.17
009: 1 0.17
010: 1 0.17
011: 1 0.17
012: 1 0.17
013: 1 0.17
014: 1 0.16
015: 1 0.16
016: 1 0.17
017: 1 0.16
018: 1 0.17
019: 1 0.17
020: 1 0.17
1                       0.20
000: 2 0.79
001: 2 0.17
002: 2 0.17
003: 2 0.17
004: 2 0.17
005: 2 0.17
006: 2 0.16
007: 2 0.17
008: 2 0.17
009: 2 0.17
010: 2 0.17
011: 2 0.16
012: 2 0.17
013: 2 0.17
014: 2 0.16
015: 2 0.16
016: 2 0.17
017: 2 0.16
018: 2 0.17
019: 2 0.16
020: 2 0.16
2                       0.20
000: 4 0.79
001: 4 0.17
002: 4 0.17
003: 4 0.17
004: 4 0.16
005: 4 0.17
006: 4 0.16
007: 4 0.17
008: 4 0.17
009: 4 0.16
010: 4 0.17
011: 4 0.16
012: 4 0.17
013: 4 0.16
014: 4 0.16
015: 4 0.16
016: 4 0.16
017: 4 0.16
018: 4 0.17
019: 4 0.16
020: 4 0.17
4                       0.20
000: 8 0.79
001: 8 0.17
002: 8 0.17
003: 8 0.17
004: 8 0.17
005: 8 0.17
006: 8 0.17
007: 8 0.17
008: 8 0.17
009: 8 0.17
010: 8 0.17
011: 8 0.17
012: 8 0.17
013: 8 0.17
014: 8 0.16
015: 8 0.17
016: 8 0.17
017: 8 0.16
018: 8 0.16
019: 8 0.16
020: 8 0.17
8                       0.20
000: 16 0.79
001: 16 0.17
002: 16 0.17
003: 16 0.17
004: 16 0.17
005: 16 0.17
006: 16 0.16
007: 16 0.17
008: 16 0.17
009: 16 0.16
010: 16 0.17
011: 16 0.16
012: 16 0.17
013: 16 0.17
014: 16 0.16
015: 16 0.17
016: 16 0.17
017: 16 0.16
018: 16 0.17
019: 16 0.16
020: 16 0.16
16                      0.20
000: 32 0.79
001: 32 0.17
002: 32 0.16
003: 32 0.17
004: 32 0.16
005: 32 0.17
006: 32 0.17
007: 32 0.17
008: 32 0.17
009: 32 0.17
010: 32 0.17
011: 32 0.17
012: 32 0.17
013: 32 0.17
014: 32 0.16
015: 32 0.16
016: 32 0.17
017: 32 0.16
018: 32 0.16
019: 32 0.16
020: 32 0.16
32                      0.20
000: 64 0.79
001: 64 0.17
002: 64 0.17
003: 64 0.17
004: 64 0.16
005: 64 0.16
006: 64 0.16
007: 64 0.17
008: 64 0.17
009: 64 0.16
010: 64 0.17
011: 64 0.16
012: 64 0.17
013: 64 0.16
014: 64 0.16
015: 64 0.16
016: 64 0.17
017: 64 0.16
018: 64 0.16
019: 64 0.16
020: 64 0.16
64                      0.19
000: 128 0.80
001: 128 0.20
002: 128 0.19
003: 128 0.20
004: 128 0.19
005: 128 0.20
006: 128 0.19
007: 128 0.20
008: 128 0.19
009: 128 0.19
010: 128 0.20
011: 128 0.19
012: 128 0.19
013: 128 0.19
014: 128 0.19
015: 128 0.19
016: 128 0.19
017: 128 0.19
018: 128 0.19
019: 128 0.19
020: 128 0.19
128                     0.22
000: 256 0.82
001: 256 0.23
002: 256 0.22
003: 256 0.23
