
# OSU MPI_Bcast (data-varying) v7.0
# Size       Avg Latency(us)
000: 1 0.72
001: 1 0.16
002: 1 0.16
003: 1 0.16
004: 1 0.16
005: 1 0.16
006: 1 0.16
007: 1 0.16
008: 1 0.16
009: 1 0.16
010: 1 0.16
011: 1 0.16
012: 1 0.16
013: 1 0.16
014: 1 0.16
015: 1 0.16
016: 1 0.16
017: 1 0.16
018: 1 0.16
1                       0.19
000: 2 0.70
001: 2 0.16
002: 2 0.16
003: 2 0.16
004: 2 0.16
005: 2 0.16
006: 2 0.16
007: 2 0.16
008: 2 0.16
009: 2 0.16
010: 2 0.16
011: 2 0.16
012: 2 0.16
013: 2 0.16
014: 2 0.16
015: 2 0.16
016: 2 0.16
017: 2 0.16
018: 2 0.16
2                       0.19
000: 4 0.70
001: 4 0.16
002: 4 0.16
003: 4 0.16
004: 4 0.16
005: 4 0.16
006: 4 0.16
007: 4 0.16
008: 4 0.16
009: 4 0.16
010: 4 0.16
011: 4 0.17
012: 4 0.16
013: 4 0.16
014: 4 0.16
015: 4 0.17
016: 4 0.16
017: 4 0.16
018: 4 0.16
4                       0.19
000: 8 0.70
001: 8 0.16
002: 8 0.16
003: 8 0.16
004: 8 0.16
005: 8 0.16
006: 8 0.16
007: 8 0.16
008: 8 0.16
009: 8 0.16
010: 8 0.16
011: 8 0.16
012: 8 0.16
013: 8 0.16
014: 8 0.16
015: 8 0.16
016: 8 0.16
017: 8 0.16
018: 8 0.16
8                       0.19
000: 16 0.71
001: 16 0.16
002: 16 0.16
003: 16 0.16
004: 16 0.16
005: 16 0.16
006: 16 0.16
007: 16 0.16
008: 16 0.16
009: 16 0.16
010: 16 0.16
011: 16 0.16
012: 16 0.16
013: 16 0.16
014: 16 0.16
015: 16 0.16
016: 16 0.16
017: 16 0.16
018: 16 0.16
16                      0.19
000: 32 0.70
001: 32 0.16
002: 32 0.16
003: 32 0.16
004: 32 0.16
005: 32 0.16
006: 32 0.16
007: 32 0.16
008: 32 0.16
009: 32 0.16
010: 32 0.16
011: 32 0.16
012: 32 0.17
013: 32 0.16
014: 32 0.16
015: 32 0.17
016: 32 0.16
017: 32 0.16
018: 32 0.16
32                      0.19
000: 64 0.70
001: 64 0.16
002: 64 0.16
003: 64 0.16
004: 64 0.16
005: 64 0.16
006: 64 0.16
007: 64 0.16
008: 64 0.16
009: 64 0.16
010: 64 0.16
011: 64 0.16
012: 64 0.16
013: 64 0.16
014: 64 0.16
015: 64 0.16
016: 64 0.16
017: 64 0.16
018: 64 0.16
64                      0.19
000: 128 0.71
001: 128 0.18
002: 128 0.18
003: 128 0.18
004: 128 0.18
005: 128 0.18
006: 128 0.18
007: 128 0.18
008: 128 0.18
009: 128 0.18
010: 128 0.18
011: 128 0.18
012: 128 0.19
013: 128 0.18
014: 128 0.18
015: 128 0.19
016: 128 0.18
017: 128 0.18
018: 128 0.18
128                     0.21
000: 256 0.74
001: 256 0.22
002: 256 0.22
003: 256 0.22
004: 256 0.22
005: 256 0.22
006: 256 0.22
007: 256 0.22
008: 256 0.22
009: 256 0.22
010: 256 0.22
011: 256 0.22
012: 256 0.22
013: 256 0.22
014: 256 0.22
015: 256 0.22
016: 256 0.21
017: 256 0.22
018: 256 0.22
256                     0.24
000: 512 0.79
001: 512 0.27
002: 512 0.27
003: 512 0.27
004: 512 0.27
005: 512 0.27
006: 512 0.27
007: 512 0.27
008: 512 0.27
009: 512 0.27
010: 512 0.27
011: 512 0.27
012: 512 0.27
013: 512 0.27
014: 512 0.27
015: 512 0.27
016: 512 0.27
017: 512 0.27
018: 512 0.27
512                     0.30
000: 1024 0.89
001: 1024 0.37
002: 1024 0.37
003: 1024 0.37
004: 1024 0.38
005: 1024 0.37
006: 1024 0.38
007: 1024 0.37
008: 1024 0.37
009: 1024 0.37
010: 1024 0.37
011: 1024 0.38
012: 1024 0.37
013: 1024 0.37
014: 1024 0.37
015: 1024 0.37
016: 1024 0.37
017: 1024 0.37
018: 1024 0.37
1024                    0.40
000: 2048 1.03
001: 2048 0.51
002: 2048 0.51
003: 2048 0.51
004: 2048 0.51
005: 2048 0.51
006: 2048 0.51
007: 2048 0.51
008: 2048 0.51
009: 2048 0.51
010: 2048 0.51
011: 2048 0.51
012: 2048 0.51
013: 2048 0.51
014: 2048 0.51
015: 2048 0.51
016: 2048 0.51
017: 2048 0.51
018: 2048 0.50
2048                    0.54
000: 4096 1.30
001: 4096 0.79
002: 4096 0.79
003: 4096 0.79
004: 4096 0.79
005: 4096 0.79
006: 4096 0.79
007: 4096 0.79
008: 4096 0.79
009: 4096 0.79
010: 4096 0.79
011: 4096 0.79
012: 4096 0.79
013: 4096 0.79
014: 4096 0.79
015: 4096 0.79
016: 4096 0.78
017: 4096 0.79
018: 4096 0.79
4096                    0.82
000: 8192 1.89
001: 8192 1.37
002: 8192 1.36
003: 8192 1.37
004: 8192 1.37
005: 8192 1.37
006: 8192 1.37
007: 8192 1.37
008: 8192 1.37
009: 8192 1.37
010: 8192 1.37
011: 8192 1.37
012: 8192 1.37
013: 8192 1.37
014: 8192 1.37
015: 8192 1.37
016: 8192 1.38
017: 8192 1.36
018: 8192 1.37
8192                    1.40
000: 16384 3.07
001: 16384 2.52
002: 16384 2.52
003: 16384 2.52
004: 16384 2.52
005: 16384 2.52
006: 16384 2.52
007: 16384 2.51
008: 16384 2.51
009: 16384 2.51
010: 16384 2.52
011: 16384 2.51
012: 16384 2.51
013: 16384 2.51
014: 16384 2.51
015: 16384 2.51
016: 16384 2.52
017: 16384 2.51
018: 16384 2.51
16384                   2.55
000: 32768 5.20
001: 32768 4.68
002: 32768 4.68
003: 32768 4.69
004: 32768 4.69
005: 32768 4.68
006: 32768 4.68
007: 32768 4.68
008: 32768 4.69
009: 32768 4.68
010: 32768 4.68
011: 32768 4.69
012: 32768 4.68
013: 32768 4.69
014: 32768 4.68
015: 32768 4.70
016: 32768 4.69
017: 32768 4.68
018: 32768 4.68
32768                   4.71
000: 65536 7.48
001: 65536 6.93
002: 65536 6.93
003: 65536 6.93
004: 65536 6.94
005: 65536 6.93
006: 65536 6.93
007: 65536 6.92
008: 65536 6.93
009: 65536 6.93
010: 65536 6.93
011: 65536 6.94
012: 65536 6.93
013: 65536 6.93
014: 65536 6.93
015: 65536 6.93
016: 65536 6.95
017: 65536 6.92
018: 65536 6.93
65536                   6.96
000: 131072 11.61
001: 131072 11.08
002: 131072 11.07
003: 131072 11.08
004: 131072 11.08
005: 131072 11.07
006: 131072 11.08
007: 131072 11.07
008: 131072 11.08
009: 131072 11.08
010: 131072 11.07
011: 131072 11.09
012: 131072 11.07
013: 131072 11.08
014: 131072 11.08
015: 131072 11.07
016: 131072 11.09
017: 131072 11.07
018: 131072 11.07
131072                 11.11
000: 262144 20.26
001: 262144 19.75
002: 262144 19.73
003: 262144 19.73
004: 262144 19.75
005: 262144 19.74
006: 262144 19.74
007: 262144 19.74
008: 262144 19.74
009: 262144 19.74
010: 262144 19.73
011: 262144 19.75
012: 262144 19.74
013: 262144 19.74
014: 262144 19.74
015: 262144 19.74
016: 262144 19.75
017: 262144 19.73
018: 262144 19.74
262144                 19.77
000: 524288 36.38
001: 524288 35.73
002: 524288 35.72
003: 524288 35.73
004: 524288 35.73
005: 524288 35.72
006: 524288 35.72
007: 524288 35.73
008: 524288 35.72
009: 524288 35.77
010: 524288 35.72
011: 524288 35.74
012: 524288 35.74
013: 524288 35.82
014: 524288 35.76
015: 524288 35.88
016: 524288 35.73
017: 524288 35.71
018: 524288 35.71
524288                 35.78
000: 1048576 97.80
001: 1048576 97.29
002: 1048576 95.79
003: 1048576 95.71
004: 1048576 95.54
005: 1048576 95.65
006: 1048576 96.04
007: 1048576 95.45
008: 1048576 96.28
009: 1048576 95.49
010: 1048576 95.19
011: 1048576 95.41
012: 1048576 95.84
013: 1048576 95.29
014: 1048576 95.25
015: 1048576 95.50
016: 1048576 95.19
017: 1048576 95.45
018: 1048576 95.60
1048576                95.78

# OSU MPI_Bcast (data-varying) v7.0
# Size       Avg Latency(us)
000: 1 0.71
001: 1 0.18
002: 1 0.18
003: 1 0.18
004: 1 0.18
005: 1 0.18
006: 1 0.17
007: 1 0.18
008: 1 0.18
009: 1 0.17
010: 1 0.18
011: 1 0.17
012: 1 0.18
013: 1 0.18
014: 1 0.17
015: 1 0.17
016: 1 0.18
017: 1 0.17
018: 1 0.18
1                       0.20
000: 2 0.71
001: 2 0.17
002: 2 0.17
003: 2 0.18
004: 2 0.17
005: 2 0.18
006: 2 0.17
007: 2 0.18
008: 2 0.18
009: 2 0.17
010: 2 0.17
011: 2 0.17
012: 2 0.18
013: 2 0.18
014: 2 0.17
015: 2 0.17
016: 2 0.17
017: 2 0.17
018: 2 0.17
2                       0.20
000: 4 0.71
001: 4 0.18
002: 4 0.18
003: 4 0.18
004: 4 0.18
005: 4 0.18
006: 4 0.18
007: 4 0.18
008: 4 0.18
009: 4 0.17
010: 4 0.18
011: 4 0.18
012: 4 0.18
013: 4 0.18
014: 4 0.18
015: 4 0.18
016: 4 0.18
017: 4 0.17
018: 4 0.18
4                       0.20
000: 8 0.71
001: 8 0.18
002: 8 0.18
003: 8 0.18
004: 8 0.18
005: 8 0.18
006: 8 0.18
007: 8 0.18
008: 8 0.18
009: 8 0.17
010: 8 0.18
011: 8 0.18
012: 8 0.18
013: 8 0.18
014: 8 0.17
015: 8 0.18
016: 8 0.18
017: 8 0.17
018: 8 0.18
8                       0.21
000: 16 0.69
001: 16 0.17
002: 16 0.17
003: 16 0.17
004: 16 0.17
005: 16 0.17
006: 16 0.17
007: 16 0.17
008: 16 0.18
009: 16 0.17
010: 16 0.18
011: 16 0.17
012: 16 0.18
013: 16 0.17
014: 16 0.17
015: 16 0.17
016: 16 0.18
017: 16 0.17
018: 16 0.17
16                      0.20
000: 32 0.71
001: 32 0.18
002: 32 0.17
003: 32 0.17
004: 32 0.18
005: 32 0.18
006: 32 0.17
007: 32 0.17
008: 32 0.18
009: 32 0.17
010: 32 0.18
011: 32 0.17
012: 32 0.18
013: 32 0.18
014: 32 0.17
015: 32 0.17
016: 32 0.18
017: 32 0.17
018: 32 0.17
32                      0.20
000: 64 0.70
001: 64 0.18
002: 64 0.17
003: 64 0.18
004: 64 0.17
005: 64 0.18
006: 64 0.17
007: 64 0.17
008: 64 0.18
009: 64 0.17
010: 64 0.17
011: 64 0.17
012: 64 0.18
013: 64 0.18
014: 64 0.17
015: 64 0.17
016: 64 0.17
017: 64 0.17
018: 64 0.17
64                      0.20
000: 128 0.72
001: 128 0.20
002: 128 0.20
003: 128 0.20
004: 128 0.20
005: 128 0.20
006: 128 0.20
007: 128 0.20
008: 128 0.20
009: 128 0.20
