
# OSU MPI_Bcast (data-varying) v7.0
# Size       Avg Latency(us)
023: 128 0.45
024: 128 0.43
025: 128 0.43
026: 128 0.43
027: 128 0.43
028: 128 0.43
029: 128 0.43
030: 128 0.43
031: 128 0.43
032: 128 0.43
033: 128 0.43
034: 128 0.44
035: 128 0.43
036: 128 0.43
037: 128 0.43
038: 128 0.43
039: 128 0.43
040: 128 0.43
041: 128 0.44
042: 128 0.44
043: 128 0.44
044: 128 0.44
045: 128 0.44
128                     0.47
000: 256 1.78
001: 256 0.46
002: 256 0.46
003: 256 0.46
004: 256 0.46
005: 256 0.46
006: 256 0.46
007: 256 0.46
008: 256 0.45
009: 256 0.46
010: 256 0.46
011: 256 0.46
012: 256 0.47
013: 256 0.46
014: 256 0.46
015: 256 0.46
016: 256 0.47
017: 256 0.47
018: 256 0.46
019: 256 0.46
020: 256 0.46
021: 256 0.46
022: 256 0.47
023: 256 0.47
024: 256 0.47
025: 256 0.47
026: 256 0.47
027: 256 0.47
028: 256 0.47
029: 256 0.47
030: 256 0.47
031: 256 0.47
032: 256 0.47
033: 256 0.47
034: 256 0.47
035: 256 0.47
036: 256 0.47
037: 256 0.47
038: 256 0.47
039: 256 0.47
040: 256 0.47
041: 256 0.47
042: 256 0.48
043: 256 0.47
044: 256 0.47
045: 256 0.47
256                     0.50
000: 512 1.91
001: 512 0.62
002: 512 0.63
003: 512 0.62
004: 512 0.62
005: 512 0.62
006: 512 0.62
007: 512 0.63
008: 512 0.62
009: 512 0.62
010: 512 0.62
011: 512 0.62
012: 512 0.62
013: 512 0.62
014: 512 0.63
015: 512 0.62
016: 512 0.62
017: 512 0.61
018: 512 0.62
019: 512 0.62
020: 512 0.61
021: 512 0.62
022: 512 0.63
023: 512 0.62
024: 512 0.64
025: 512 0.63
026: 512 0.64
027: 512 0.64
028: 512 0.64
029: 512 0.64
030: 512 0.64
031: 512 0.63
032: 512 0.64
033: 512 0.63
034: 512 0.64
035: 512 0.64
036: 512 0.63
037: 512 0.64
038: 512 0.63
039: 512 0.63
040: 512 0.63
041: 512 0.64
042: 512 0.64
043: 512 0.64
044: 512 0.63
045: 512 0.63
512                     0.66
000: 1024 1.91
001: 1024 0.62
002: 1024 0.62
003: 1024 0.62
004: 1024 0.62
005: 1024 0.62
006: 1024 0.62
007: 1024 0.62
008: 1024 0.62
009: 1024 0.62
010: 1024 0.62
011: 1024 0.63
012: 1024 0.62
013: 1024 0.62
014: 1024 0.62
015: 1024 0.62
016: 1024 0.63
017: 1024 0.62
018: 1024 0.62
019: 1024 0.62
020: 1024 0.62
021: 1024 0.63
022: 1024 0.62
023: 1024 0.62
024: 1024 0.62
025: 1024 0.62
026: 1024 0.62
027: 1024 0.62
028: 1024 0.62
029: 1024 0.62
030: 1024 0.62
031: 1024 0.62
032: 1024 0.62
033: 1024 0.62
034: 1024 0.62
035: 1024 0.62
036: 1024 0.62
037: 1024 0.62
038: 1024 0.61
039: 1024 0.61
040: 1024 0.61
041: 1024 0.62
042: 1024 0.62
043: 1024 0.62
044: 1024 0.61
045: 1024 0.62
1024                    0.65
000: 2048 2.03
001: 2048 0.77
002: 2048 0.78
003: 2048 0.78
004: 2048 0.78
005: 2048 0.79
006: 2048 0.78
007: 2048 0.78
008: 2048 0.78
009: 2048 0.78
010: 2048 0.78
011: 2048 0.78
012: 2048 0.78
013: 2048 0.78
014: 2048 0.78
015: 2048 0.78
016: 2048 0.78
017: 2048 0.78
018: 2048 0.78
019: 2048 0.78
020: 2048 0.78
021: 2048 0.78
022: 2048 0.78
023: 2048 0.78
024: 2048 0.77
025: 2048 0.77
026: 2048 0.77
027: 2048 0.78
028: 2048 0.77
029: 2048 0.77
030: 2048 0.78
031: 2048 0.77
032: 2048 0.77
033: 2048 0.77
034: 2048 0.78
035: 2048 0.78
036: 2048 0.77
037: 2048 0.77
038: 2048 0.77
039: 2048 0.77
040: 2048 0.77
041: 2048 0.77
042: 2048 0.77
043: 2048 0.77
044: 2048 0.78
045: 2048 0.77
2048                    0.80
