
# OSU MPI_Bcast (data-varying) v7.0
# Size       Avg Latency(us)
000: 1 0.79
001: 1 0.19
002: 1 0.18
003: 1 0.19
004: 1 0.18
005: 1 0.18
006: 1 0.18
007: 1 0.18
008: 1 0.19
009: 1 0.18
010: 1 0.19
011: 1 0.18
012: 1 0.18
013: 1 0.18
014: 1 0.18
015: 1 0.18
016: 1 0.18
017: 1 0.18
018: 1 0.18
019: 1 0.18
020: 1 0.18
021: 1 0.18
1                       0.21
000: 2 0.79
001: 2 0.18
002: 2 0.18
003: 2 0.18
004: 2 0.18
005: 2 0.18
006: 2 0.18
007: 2 0.18
008: 2 0.18
009: 2 0.17
010: 2 0.18
011: 2 0.18
012: 2 0.18
013: 2 0.18
014: 2 0.18
015: 2 0.18
016: 2 0.18
017: 2 0.18
018: 2 0.18
019: 2 0.18
020: 2 0.18
021: 2 0.18
2                       0.21
000: 4 0.81
001: 4 0.19
002: 4 0.18
003: 4 0.19
004: 4 0.19
005: 4 0.19
006: 4 0.18
007: 4 0.18
008: 4 0.19
009: 4 0.18
010: 4 0.19
011: 4 0.19
012: 4 0.18
013: 4 0.19
014: 4 0.18
015: 4 0.18
016: 4 0.18
017: 4 0.19
018: 4 0.18
019: 4 0.18
020: 4 0.18
021: 4 0.18
4                       0.21
000: 8 0.79
001: 8 0.19
002: 8 0.18
003: 8 0.19
004: 8 0.18
005: 8 0.19
006: 8 0.18
007: 8 0.18
008: 8 0.19
009: 8 0.18
010: 8 0.19
011: 8 0.18
012: 8 0.18
013: 8 0.18
014: 8 0.19
015: 8 0.18
016: 8 0.18
017: 8 0.18
018: 8 0.18
019: 8 0.18
020: 8 0.18
021: 8 0.18
8                       0.21
000: 16 0.80
001: 16 0.19
002: 16 0.18
003: 16 0.19
004: 16 0.18
005: 16 0.18
006: 16 0.18
007: 16 0.18
008: 16 0.18
009: 16 0.18
010: 16 0.19
011: 16 0.18
012: 16 0.18
013: 16 0.18
014: 16 0.19
015: 16 0.18
016: 16 0.18
017: 16 0.19
018: 16 0.18
019: 16 0.18
020: 16 0.18
021: 16 0.18
16                      0.21
000: 32 0.80
001: 32 0.19
002: 32 0.18
003: 32 0.19
004: 32 0.18
005: 32 0.19
006: 32 0.18
007: 32 0.18
008: 32 0.19
009: 32 0.18
010: 32 0.19
011: 32 0.18
012: 32 0.18
013: 32 0.19
014: 32 0.19
015: 32 0.18
016: 32 0.18
017: 32 0.18
018: 32 0.18
019: 32 0.18
020: 32 0.18
021: 32 0.18
32                      0.21
000: 64 0.80
001: 64 0.18
002: 64 0.18
003: 64 0.18
004: 64 0.17
005: 64 0.18
006: 64 0.18
007: 64 0.18
008: 64 0.18
009: 64 0.17
010: 64 0.18
011: 64 0.18
012: 64 0.18
013: 64 0.18
014: 64 0.18
015: 64 0.18
016: 64 0.18
017: 64 0.18
018: 64 0.17
019: 64 0.18
020: 64 0.18
021: 64 0.18
64                      0.21
000: 128 0.81
001: 128 0.21
002: 128 0.21
003: 128 0.21
004: 128 0.21
005: 128 0.21
006: 128 0.21
007: 128 0.21
008: 128 0.21
009: 128 0.20
010: 128 0.21
011: 128 0.21
012: 128 0.20
013: 128 0.21
014: 128 0.21
015: 128 0.21
016: 128 0.21
017: 128 0.21
018: 128 0.20
019: 128 0.21
020: 128 0.21
021: 128 0.21
128                     0.23
000: 256 0.84
001: 256 0.24
002: 256 0.23
003: 256 0.23
004: 256 0.23
005: 256 0.24
006: 256 0.24
007: 256 0.24
008: 256 0.23
009: 256 0.23
010: 256 0.24
011: 256 0.24
012: 256 0.23
013: 256 0.24
014: 256 0.24
015: 256 0.23
016: 256 0.23
017: 256 0.24
018: 256 0.24
019: 256 0.24
020: 256 0.23
021: 256 0.24
256                     0.26
000: 512 0.85
001: 512 0.28
002: 512 0.28
003: 512 0.28
004: 512 0.28
005: 512 0.28
006: 512 0.28
007: 512 0.28
008: 512 0.28
009: 512 0.28
010: 512 0.28
011: 512 0.28
012: 512 0.28
013: 512 0.28
014: 512 0.28
015: 512 0.28
016: 512 0.28
017: 512 0.28
018: 512 0.28
019: 512 0.28
020: 512 0.28
021: 512 0.28
512                     0.31
000: 1024 0.92
001: 1024 0.38
002: 1024 0.38
003: 1024 0.38
004: 1024 0.38
005: 1024 0.39
006: 1024 0.38
007: 1024 0.38
008: 1024 0.39
009: 1024 0.38
010: 1024 0.38
011: 1024 0.38
012: 1024 0.38
013: 1024 0.38
014: 1024 0.38
015: 1024 0.39
016: 1024 0.38
017: 1024 0.38
018: 1024 0.38
019: 1024 0.38
020: 1024 0.39
021: 1024 0.38
1024                    0.41
000: 2048 1.04
001: 2048 0.53
002: 2048 0.52
003: 2048 0.53
004: 2048 0.52
005: 2048 0.52
006: 2048 0.52
007: 2048 0.53
008: 2048 0.53
009: 2048 0.52
010: 2048 0.53
011: 2048 0.52
012: 2048 0.52
013: 2048 0.52
014: 2048 0.52
015: 2048 0.52
016: 2048 0.52
017: 2048 0.52
018: 2048 0.53
019: 2048 0.52
020: 2048 0.53
021: 2048 0.52
2048                    0.55
000: 4096 1.32
001: 4096 0.81
002: 4096 0.81
003: 4096 0.81
004: 4096 0.81
005: 4096 0.81
006: 4096 0.81
007: 4096 0.80
008: 4096 0.81
009: 4096 0.80
010: 4096 0.81
011: 4096 0.81
012: 4096 0.81
013: 4096 0.80
014: 4096 0.81
015: 4096 0.81
016: 4096 0.80
017: 4096 0.81
018: 4096 0.81
019: 4096 0.80
020: 4096 0.81
021: 4096 0.80
4096                    0.83
000: 8192 1.88
001: 8192 1.39
002: 8192 1.39
003: 8192 1.38
004: 8192 1.39
005: 8192 1.38
006: 8192 1.39
007: 8192 1.39
008: 8192 1.39
009: 8192 1.38
010: 8192 1.39
011: 8192 1.38
012: 8192 1.38
013: 8192 1.38
014: 8192 1.39
015: 8192 1.39
016: 8192 1.38
017: 8192 1.39
018: 8192 1.39
019: 8192 1.39
020: 8192 1.39
021: 8192 1.39
8192                    1.41
000: 16384 2.99
001: 16384 2.49
002: 16384 2.49
003: 16384 2.49
004: 16384 2.50
005: 16384 2.49
006: 16384 2.50
007: 16384 2.50
008: 16384 2.49
009: 16384 2.49
010: 16384 2.50
011: 16384 2.50
012: 16384 2.49
013: 16384 2.49
014: 16384 2.50
015: 16384 2.50
016: 16384 2.50
017: 16384 2.50
018: 16384 2.49
019: 16384 2.49
020: 16384 2.49
021: 16384 2.49
16384                   2.52
000: 32768 5.34
001: 32768 4.83
002: 32768 4.82
003: 32768 4.83
004: 32768 4.83
005: 32768 4.83
006: 32768 4.82
007: 32768 4.85
008: 32768 4.83
009: 32768 4.82
010: 32768 4.83
011: 32768 4.83
012: 32768 4.83
013: 32768 4.83
014: 32768 4.83
015: 32768 4.84
016: 32768 4.83
017: 32768 4.83
018: 32768 4.84
019: 32768 4.83
020: 32768 4.84
021: 32768 4.84
32768                   4.85
000: 65536 7.78
001: 65536 7.21
002: 65536 7.21
003: 65536 7.21
004: 65536 7.22
005: 65536 7.22
006: 65536 7.22
007: 65536 7.23
008: 65536 7.23
009: 65536 7.22
010: 65536 7.22
011: 65536 7.21
012: 65536 7.22
013: 65536 7.22
014: 65536 7.22
015: 65536 7.22
016: 65536 7.22
017: 65536 7.22
018: 65536 7.23
019: 65536 7.22
020: 65536 7.22
021: 65536 7.22
65536                   7.24
000: 131072 12.46
001: 131072 11.93
002: 131072 11.93
003: 131072 11.93
004: 131072 11.93
005: 131072 11.94
006: 131072 11.94
007: 131072 11.95
008: 131072 11.93
009: 131072 11.93
010: 131072 11.94
011: 131072 11.93
012: 131072 11.93
013: 131072 11.93
014: 131072 11.93
015: 131072 11.93
016: 131072 11.94
017: 131072 11.93
018: 131072 11.94
019: 131072 11.93
020: 131072 11.93
021: 131072 11.93
131072                 11.96
000: 262144 22.15
001: 262144 21.64
002: 262144 21.65
003: 262144 21.64
004: 262144 21.65
005: 262144 21.64
006: 262144 21.64
007: 262144 21.66
