
# OSU MPI_Bcast (data-varying) v7.0
# Size       Avg Latency(us)
000: 1 0.70
001: 1 0.18
002: 1 0.18
003: 1 0.18
004: 1 0.18
005: 1 0.18
006: 1 0.18
007: 1 0.18
008: 1 0.18
009: 1 0.18
010: 1 0.18
011: 1 0.18
012: 1 0.18
013: 1 0.18
014: 1 0.18
015: 1 0.18
016: 1 0.18
017: 1 0.18
1                       0.21
000: 2 0.69
001: 2 0.18
002: 2 0.18
003: 2 0.18
004: 2 0.18
005: 2 0.18
006: 2 0.18
007: 2 0.18
008: 2 0.18
009: 2 0.17
010: 2 0.18
011: 2 0.18
012: 2 0.18
013: 2 0.18
014: 2 0.18
015: 2 0.18
016: 2 0.18
017: 2 0.18
2                       0.21
000: 4 0.70
001: 4 0.18
002: 4 0.18
003: 4 0.18
004: 4 0.18
005: 4 0.18
006: 4 0.18
007: 4 0.18
008: 4 0.18
009: 4 0.18
010: 4 0.18
011: 4 0.18
012: 4 0.18
013: 4 0.18
014: 4 0.18
015: 4 0.18
016: 4 0.18
017: 4 0.18
4                       0.21
000: 8 0.70
001: 8 0.18
002: 8 0.18
003: 8 0.18
004: 8 0.18
005: 8 0.18
006: 8 0.18
007: 8 0.18
008: 8 0.18
009: 8 0.18
010: 8 0.18
011: 8 0.18
012: 8 0.18
013: 8 0.18
014: 8 0.18
015: 8 0.18
016: 8 0.18
017: 8 0.18
8                       0.21
000: 16 0.69
001: 16 0.18
002: 16 0.18
003: 16 0.18
004: 16 0.18
005: 16 0.18
006: 16 0.18
007: 16 0.18
008: 16 0.18
009: 16 0.18
010: 16 0.18
011: 16 0.18
012: 16 0.18
013: 16 0.18
014: 16 0.18
015: 16 0.18
016: 16 0.18
017: 16 0.18
16                      0.21
000: 32 0.70
001: 32 0.18
002: 32 0.18
003: 32 0.18
004: 32 0.18
005: 32 0.18
006: 32 0.18
007: 32 0.19
008: 32 0.18
009: 32 0.18
010: 32 0.19
011: 32 0.18
012: 32 0.18
013: 32 0.18
014: 32 0.18
015: 32 0.18
016: 32 0.18
017: 32 0.18
32                      0.21
000: 64 0.71
001: 64 0.18
002: 64 0.18
003: 64 0.18
004: 64 0.18
005: 64 0.18
006: 64 0.18
007: 64 0.18
008: 64 0.18
009: 64 0.18
010: 64 0.18
011: 64 0.18
012: 64 0.18
013: 64 0.18
014: 64 0.18
015: 64 0.18
016: 64 0.18
017: 64 0.18
64                      0.21
000: 128 0.72
001: 128 0.21
002: 128 0.21
003: 128 0.21
004: 128 0.21
005: 128 0.21
006: 128 0.21
007: 128 0.21
008: 128 0.21
009: 128 0.20
010: 128 0.21
011: 128 0.21
012: 128 0.21
013: 128 0.21
014: 128 0.21
015: 128 0.20
016: 128 0.20
017: 128 0.21
128                     0.24
000: 256 0.74
001: 256 0.23
002: 256 0.23
003: 256 0.23
004: 256 0.23
005: 256 0.23
006: 256 0.23
007: 256 0.23
008: 256 0.23
009: 256 0.23
010: 256 0.23
011: 256 0.23
012: 256 0.23
013: 256 0.23
014: 256 0.23
015: 256 0.23
016: 256 0.23
017: 256 0.23
256                     0.26
000: 512 0.78
001: 512 0.27
002: 512 0.27
003: 512 0.27
004: 512 0.27
005: 512 0.27
006: 512 0.27
007: 512 0.27
008: 512 0.27
009: 512 0.27
010: 512 0.27
011: 512 0.27
012: 512 0.27
013: 512 0.27
014: 512 0.27
015: 512 0.27
016: 512 0.27
017: 512 0.27
512                     0.30
000: 1024 0.91
001: 1024 0.39
002: 1024 0.39
003: 1024 0.39
004: 1024 0.39
005: 1024 0.39
006: 1024 0.39
007: 1024 0.39
008: 1024 0.39
009: 1024 0.39
010: 1024 0.39
011: 1024 0.39
012: 1024 0.39
013: 1024 0.39
014: 1024 0.39
015: 1024 0.39
016: 1024 0.39
017: 1024 0.39
1024                    0.42
000: 2048 1.05
001: 2048 0.54
002: 2048 0.53
003: 2048 0.54
004: 2048 0.53
005: 2048 0.54
006: 2048 0.53
007: 2048 0.53
008: 2048 0.53
009: 2048 0.53
010: 2048 0.54
011: 2048 0.53
012: 2048 0.53
013: 2048 0.53
014: 2048 0.53
015: 2048 0.53
016: 2048 0.53
017: 2048 0.53
2048                    0.56
000: 4096 1.32
001: 4096 0.81
002: 4096 0.81
003: 4096 0.81
004: 4096 0.81
005: 4096 0.81
006: 4096 0.81
007: 4096 0.82
008: 4096 0.81
009: 4096 0.81
010: 4096 0.82
011: 4096 0.81
012: 4096 0.81
013: 4096 0.81
014: 4096 0.82
015: 4096 0.81
016: 4096 0.82
017: 4096 0.81
4096                    0.84
000: 8192 1.85
001: 8192 1.36
002: 8192 1.36
003: 8192 1.36
004: 8192 1.36
005: 8192 1.37
006: 8192 1.36
007: 8192 1.36
008: 8192 1.37
009: 8192 1.36
010: 8192 1.36
011: 8192 1.36
012: 8192 1.36
013: 8192 1.36
014: 8192 1.37
015: 8192 1.36
016: 8192 1.37
017: 8192 1.37
8192                    1.39
000: 16384 3.02
001: 16384 2.53
002: 16384 2.53
003: 16384 2.53
004: 16384 2.52
005: 16384 2.53
006: 16384 2.52
007: 16384 2.53
008: 16384 2.53
009: 16384 2.53
010: 16384 2.53
011: 16384 2.53
012: 16384 2.52
013: 16384 2.52
014: 16384 2.53
015: 16384 2.53
016: 16384 2.54
017: 16384 2.53
16384                   2.56
000: 32768 5.23
001: 32768 4.73
002: 32768 4.74
003: 32768 4.74
004: 32768 4.73
005: 32768 4.74
006: 32768 4.73
007: 32768 4.74
008: 32768 4.75
009: 32768 4.73
010: 32768 4.73
011: 32768 4.74
012: 32768 4.73
013: 32768 4.74
014: 32768 4.74
015: 32768 4.74
016: 32768 4.73
017: 32768 4.74
32768                   4.76
000: 65536 7.55
001: 65536 6.86
002: 65536 6.86
003: 65536 6.86
004: 65536 6.86
005: 65536 7.03
006: 65536 6.86
007: 65536 6.87
008: 65536 6.87
009: 65536 6.87
010: 65536 6.86
011: 65536 6.87
012: 65536 6.86
013: 65536 6.87
014: 65536 6.86
015: 65536 6.86
016: 65536 6.87
017: 65536 6.87
65536                   6.91
000: 131072 11.57
001: 131072 11.03
002: 131072 11.03
003: 131072 11.03
004: 131072 11.02
005: 131072 11.03
006: 131072 11.03
007: 131072 11.02
008: 131072 11.04
009: 131072 11.03
010: 131072 11.03
011: 131072 11.03
012: 131072 11.03
013: 131072 11.03
014: 131072 11.03
015: 131072 11.04
016: 131072 11.03
017: 131072 11.03
131072                 11.06
000: 262144 19.75
001: 262144 19.24
002: 262144 19.24
003: 262144 19.24
004: 262144 19.23
005: 262144 19.26
006: 262144 19.24
007: 262144 19.25
008: 262144 19.25
009: 262144 19.24
010: 262144 19.25
011: 262144 19.24
012: 262144 19.24
013: 262144 19.24
014: 262144 19.25
015: 262144 19.25
016: 262144 19.25
017: 262144 19.24
262144                 19.27
000: 524288 35.54
001: 524288 35.04
002: 524288 35.04
003: 524288 35.04
004: 524288 35.04
005: 524288 35.04
006: 524288 35.04
007: 524288 35.04
008: 524288 35.05
009: 524288 35.05
010: 524288 35.05
011: 524288 35.04
012: 524288 35.05
013: 524288 35.06
014: 524288 35.05
015: 524288 35.04
016: 524288 35.04
017: 524288 35.07
524288                 35.07
000: 1048576 96.22
001: 1048576 94.52
002: 1048576 94.60
003: 1048576 94.71
004: 1048576 94.49
005: 1048576 94.47
006: 1048576 94.80
007: 1048576 94.59
008: 1048576 94.66
009: 1048576 94.59
010: 1048576 94.50
011: 1048576 94.43
012: 1048576 94.72
013: 1048576 94.86
014: 1048576 94.58
015: 1048576 94.73
016: 1048576 95.84
017: 1048576 94.52
1048576                94.77

# OSU MPI_Bcast (data-varying) v7.0
# Size       Avg Latency(us)
000: 1 0.68
001: 1 0.17
002: 1 0.17
003: 1 0.17
004: 1 0.17
005: 1 0.17
006: 1 0.17
007: 1 0.17
008: 1 0.17
009: 1 0.18
010: 1 0.17
011: 1 0.17
012: 1 0.17
013: 1 0.17
014: 1 0.17
015: 1 0.17
016: 1 0.18
017: 1 0.17
1                       0.20
000: 2 0.68
001: 2 0.17
002: 2 0.17
003: 2 0.18
004: 2 0.17
005: 2 0.17
006: 2 0.18
007: 2 0.17
008: 2 0.17
009: 2 0.18
010: 2 0.18
011: 2 0.17
