
# OSU MPI_Bcast (data-varying) v7.0
# Size       Avg Latency(us)
000: 1 1.25
001: 1 0.37
002: 1 0.37
003: 1 0.37
004: 1 0.37
005: 1 0.37
006: 1 0.35
007: 1 0.37
008: 1 0.37
009: 1 0.36
010: 1 0.37
011: 1 0.37
012: 1 0.35
013: 1 0.36
014: 1 0.38
015: 1 0.36
016: 1 0.36
017: 1 0.36
018: 1 0.35
019: 1 0.36
020: 1 0.36
021: 1 0.36
022: 1 0.35
023: 1 0.35
024: 1 0.51
1                       0.40
000: 2 1.23
001: 2 0.37
002: 2 0.36
003: 2 0.36
004: 2 0.36
005: 2 0.36
006: 2 0.36
007: 2 0.36
008: 2 0.36
009: 2 0.35
010: 2 0.36
011: 2 0.36
012: 2 0.35
013: 2 0.35
014: 2 0.37
015: 2 0.35
016: 2 0.35
017: 2 0.35
018: 2 0.35
019: 2 0.35
020: 2 0.35
021: 2 0.35
022: 2 0.35
023: 2 0.35
024: 2 0.50
2                       0.40
000: 4 1.23
001: 4 0.37
002: 4 0.37
003: 4 0.37
004: 4 0.37
005: 4 0.37
006: 4 0.36
007: 4 0.36
008: 4 0.37
009: 4 0.36
010: 4 0.37
011: 4 0.36
012: 4 0.36
013: 4 0.37
014: 4 0.38
015: 4 0.36
016: 4 0.36
017: 4 0.36
018: 4 0.36
019: 4 0.36
020: 4 0.36
021: 4 0.36
022: 4 0.36
023: 4 0.36
024: 4 0.51
4                       0.41
000: 8 1.25
001: 8 0.38
002: 8 0.38
003: 8 0.38
004: 8 0.38
005: 8 0.38
006: 8 0.36
007: 8 0.37
008: 8 0.37
009: 8 0.36
010: 8 0.37
011: 8 0.36
012: 8 0.36
013: 8 0.36
014: 8 0.38
015: 8 0.36
016: 8 0.37
017: 8 0.37
018: 8 0.36
019: 8 0.36
020: 8 0.36
021: 8 0.36
022: 8 0.36
023: 8 0.36
024: 8 0.51
8                       0.41
000: 16 1.24
001: 16 0.37
002: 16 0.37
003: 16 0.37
004: 16 0.37
005: 16 0.36
006: 16 0.36
007: 16 0.36
008: 16 0.37
009: 16 0.35
010: 16 0.36
011: 16 0.35
012: 16 0.35
013: 16 0.36
014: 16 0.37
015: 16 0.35
016: 16 0.36
017: 16 0.35
018: 16 0.35
019: 16 0.36
020: 16 0.35
021: 16 0.35
022: 16 0.35
023: 16 0.34
024: 16 0.50
16                      0.40
000: 32 1.24
001: 32 0.37
002: 32 0.36
003: 32 0.37
004: 32 0.37
005: 32 0.36
006: 32 0.35
007: 32 0.36
008: 32 0.37
009: 32 0.35
010: 32 0.36
011: 32 0.36
012: 32 0.36
013: 32 0.36
014: 32 0.37
015: 32 0.35
016: 32 0.35
017: 32 0.35
018: 32 0.35
019: 32 0.36
020: 32 0.35
021: 32 0.35
022: 32 0.35
023: 32 0.35
024: 32 0.51
32                      0.40
000: 64 1.25
001: 64 0.37
002: 64 0.37
003: 64 0.37
004: 64 0.37
005: 64 0.36
006: 64 0.36
007: 64 0.36
008: 64 0.36
009: 64 0.35
010: 64 0.36
011: 64 0.35
012: 64 0.36
013: 64 0.35
014: 64 0.37
015: 64 0.35
016: 64 0.36
017: 64 0.36
018: 64 0.35
019: 64 0.35
020: 64 0.35
021: 64 0.36
022: 64 0.35
023: 64 0.35
024: 64 0.51
64                      0.40
000: 128 1.27
001: 128 0.40
002: 128 0.38
003: 128 0.39
004: 128 0.39
005: 128 0.38
006: 128 0.38
007: 128 0.38
008: 128 0.39
009: 128 0.38
010: 128 0.39
