
# OSU MPI_Bcast (data-varying) v7.0
# Size       Avg Latency(us)
000: 1 1.38
001: 1 0.39
002: 1 0.40
003: 1 0.39
004: 1 0.40
005: 1 0.40
006: 1 0.39
007: 1 0.39
008: 1 0.39
009: 1 0.39
010: 1 0.40
011: 1 0.40
012: 1 0.40
013: 1 0.40
014: 1 0.39
015: 1 0.40
016: 1 0.40
017: 1 0.39
018: 1 0.40
019: 1 0.39
020: 1 0.40
021: 1 0.39
022: 1 0.39
023: 1 0.39
024: 1 0.42
025: 1 0.42
026: 1 0.42
1                       0.43
000: 2 1.40
001: 2 0.40
002: 2 0.40
003: 2 0.39
004: 2 0.40
005: 2 0.41
006: 2 0.40
007: 2 0.40
008: 2 0.40
009: 2 0.40
010: 2 0.40
011: 2 0.40
012: 2 0.41
013: 2 0.40
014: 2 0.40
015: 2 0.40
016: 2 0.41
017: 2 0.40
018: 2 0.40
019: 2 0.40
020: 2 0.40
021: 2 0.39
022: 2 0.41
023: 2 0.40
024: 2 0.42
025: 2 0.42
026: 2 0.42
2                       0.44
000: 4 1.42
001: 4 0.41
002: 4 0.40
003: 4 0.40
004: 4 0.41
005: 4 0.41
006: 4 0.41
007: 4 0.40
008: 4 0.40
009: 4 0.41
010: 4 0.41
011: 4 0.42
012: 4 0.41
013: 4 0.41
014: 4 0.40
015: 4 0.41
016: 4 0.40
017: 4 0.40
018: 4 0.40
019: 4 0.40
020: 4 0.41
021: 4 0.40
022: 4 0.41
023: 4 0.40
024: 4 0.43
025: 4 0.43
026: 4 0.42
4                       0.45
000: 8 1.40
001: 8 0.39
002: 8 0.39
003: 8 0.39
004: 8 0.40
005: 8 0.40
006: 8 0.40
007: 8 0.39
008: 8 0.39
009: 8 0.39
010: 8 0.40
011: 8 0.40
012: 8 0.40
013: 8 0.40
014: 8 0.39
015: 8 0.40
016: 8 0.41
017: 8 0.39
018: 8 0.39
019: 8 0.39
020: 8 0.40
021: 8 0.39
022: 8 0.40
023: 8 0.39
024: 8 0.42
025: 8 0.42
026: 8 0.42
8                       0.43
000: 16 1.42
001: 16 0.38
002: 16 0.39
003: 16 0.39
004: 16 0.40
005: 16 0.39
006: 16 0.40
007: 16 0.39
008: 16 0.40
009: 16 0.39
010: 16 0.40
011: 16 0.40
012: 16 0.40
013: 16 0.40
014: 16 0.39
015: 16 0.40
016: 16 0.41
017: 16 0.39
018: 16 0.39
019: 16 0.39
020: 16 0.40
021: 16 0.40
022: 16 0.40
023: 16 0.39
024: 16 0.42
025: 16 0.42
026: 16 0.42
16                      0.44
000: 32 1.39
001: 32 0.39
002: 32 0.40
003: 32 0.38
004: 32 0.39
005: 32 0.40
006: 32 0.39
007: 32 0.39
008: 32 0.40
009: 32 0.39
010: 32 0.40
011: 32 0.41
012: 32 0.40
013: 32 0.41
014: 32 0.39
015: 32 0.40
016: 32 0.40
017: 32 0.39
018: 32 0.39
019: 32 0.39
020: 32 0.39
021: 32 0.39
022: 32 0.40
023: 32 0.39
024: 32 0.41
025: 32 0.42
026: 32 0.41
32                      0.43
000: 64 1.40
001: 64 0.39
002: 64 0.39
003: 64 0.39
004: 64 0.40
005: 64 0.39
006: 64 0.39
007: 64 0.38
008: 64 0.39
009: 64 0.38
010: 64 0.39
011: 64 0.40
012: 64 0.39
013: 64 0.39
014: 64 0.38
015: 64 0.39
016: 64 0.40
017: 64 0.38
018: 64 0.39
019: 64 0.39
020: 64 0.39
021: 64 0.38
022: 64 0.39
023: 64 0.39
024: 64 0.42
025: 64 0.43
026: 64 0.42
64                      0.43
000: 128 1.39
001: 128 0.41
002: 128 0.40
003: 128 0.40
004: 128 0.40
005: 128 0.41
006: 128 0.40
007: 128 0.40
008: 128 0.41
009: 128 0.40
010: 128 0.41
011: 128 0.41
012: 128 0.41
013: 128 0.41
014: 128 0.40
015: 128 0.40
016: 128 0.40
017: 128 0.40
018: 128 0.40
019: 128 0.40
020: 128 0.40
021: 128 0.40
022: 128 0.40
023: 128 0.40
024: 128 0.47
025: 128 0.46
026: 128 0.46
128                     0.45
000: 256 1.41
001: 256 0.46
002: 256 0.46
003: 256 0.46
004: 256 0.46
005: 256 0.47
006: 256 0.47
007: 256 0.46
008: 256 0.47
009: 256 0.45
010: 256 0.47
011: 256 0.47
012: 256 0.46
013: 256 0.46
014: 256 0.46
015: 256 0.46
016: 256 0.46
017: 256 0.46
018: 256 0.46
019: 256 0.46
020: 256 0.45
021: 256 0.45
022: 256 0.46
023: 256 0.45
024: 256 0.51
025: 256 0.50
026: 256 0.50
256                     0.50
000: 512 1.45
001: 512 0.56
002: 512 0.56
003: 512 0.56
004: 512 0.56
005: 512 0.57
006: 512 0.56
007: 512 0.56
008: 512 0.56
009: 512 0.56
010: 512 0.57
011: 512 0.56
012: 512 0.55
013: 512 0.55
014: 512 0.55
015: 512 0.56
016: 512 0.56
017: 512 0.55
018: 512 0.55
019: 512 0.56
020: 512 0.56
021: 512 0.55
022: 512 0.56
023: 512 0.55
024: 512 0.54
025: 512 0.54
026: 512 0.54
512                     0.59
000: 1024 1.44
001: 1024 0.62
002: 1024 0.62
003: 1024 0.62
004: 1024 0.62
005: 1024 0.63
006: 1024 0.62
007: 1024 0.62
008: 1024 0.62
009: 1024 0.61
010: 1024 0.63
011: 1024 0.62
012: 1024 0.62
013: 1024 0.62
014: 1024 0.61
015: 1024 0.62
016: 1024 0.62
017: 1024 0.61
018: 1024 0.61
019: 1024 0.62
020: 1024 0.62
021: 1024 0.61
022: 1024 0.62
023: 1024 0.61
024: 1024 0.61
025: 1024 0.61
026: 1024 0.61
1024                    0.65
000: 2048 1.56
001: 2048 0.79
002: 2048 0.78
003: 2048 0.80
004: 2048 0.79
005: 2048 0.80
006: 2048 0.79
007: 2048 0.80
008: 2048 0.79
009: 2048 0.79
010: 2048 0.81
011: 2048 0.79
012: 2048 0.79
013: 2048 0.79
014: 2048 0.78
015: 2048 0.79
016: 2048 0.79
017: 2048 0.78
018: 2048 0.79
019: 2048 0.79
020: 2048 0.79
021: 2048 0.78
022: 2048 0.79
023: 2048 0.78
024: 2048 0.77
025: 2048 0.76
026: 2048 0.76
2048                    0.81
000: 4096 1.83
001: 4096 1.10
002: 4096 1.10
003: 4096 1.10
004: 4096 1.10
005: 4096 1.11
006: 4096 1.10
007: 4096 1.10
008: 4096 1.10
009: 4096 1.10
010: 4096 1.12
011: 4096 1.10
012: 4096 1.09
013: 4096 1.10
014: 4096 1.09
015: 4096 1.10
016: 4096 1.10
017: 4096 1.09
018: 4096 1.09
019: 4096 1.10
020: 4096 1.09
021: 4096 1.10
022: 4096 1.09
023: 4096 1.09
024: 4096 1.06
025: 4096 1.08
026: 4096 1.07
4096                    1.12
000: 8192 2.35
001: 8192 1.68
002: 8192 1.67
003: 8192 1.68
004: 8192 1.67
005: 8192 1.69
006: 8192 1.67
007: 8192 1.68
008: 8192 1.68
009: 8192 1.67
010: 8192 1.69
011: 8192 1.67
012: 8192 1.67
013: 8192 1.67
014: 8192 1.67
015: 8192 1.67
016: 8192 1.68
017: 8192 1.67
018: 8192 1.67
019: 8192 1.67
020: 8192 1.67
021: 8192 1.67
022: 8192 1.67
023: 8192 1.67
024: 8192 1.58
025: 8192 1.60
026: 8192 1.59
8192                    1.69
000: 16384 3.53
001: 16384 2.82
002: 16384 2.82
003: 16384 2.82
004: 16384 2.82
005: 16384 2.83
006: 16384 2.83
007: 16384 2.82
008: 16384 2.83
009: 16384 2.82
010: 16384 2.83
011: 16384 2.83
012: 16384 2.82
013: 16384 2.81
014: 16384 2.81
015: 16384 2.82
016: 16384 2.83
017: 16384 2.82
018: 16384 2.77
019: 16384 2.83
020: 16384 2.81
021: 16384 2.82
022: 16384 2.82
023: 16384 2.81
024: 16384 2.71
025: 16384 2.72
026: 16384 2.71
16384                   2.83
000: 32768 5.86
001: 32768 5.15
002: 32768 5.14
003: 32768 5.14
004: 32768 5.14
005: 32768 5.17
006: 32768 5.14
007: 32768 5.15
008: 32768 5.15
009: 32768 5.14
010: 32768 5.16
011: 32768 5.15
012: 32768 5.15
013: 32768 5.14
014: 32768 5.13
015: 32768 5.15
016: 32768 5.15
017: 32768 5.14
018: 32768 5.16
019: 32768 5.15
020: 32768 5.14
021: 32768 5.15
022: 32768 5.14
023: 32768 5.14
024: 32768 4.83
025: 32768 4.84
026: 32768 4.84
32768                   5.14
000: 65536 8.42
001: 65536 7.78
002: 65536 7.79
003: 65536 7.78
004: 65536 7.79
005: 65536 7.80
006: 65536 7.78
007: 65536 7.79
008: 65536 7.79
009: 65536 7.78
010: 65536 7.80
011: 65536 7.78
012: 65536 7.78
013: 65536 7.78
014: 65536 7.77
015: 65536 7.79
016: 65536 7.79
017: 65536 7.78
018: 65536 7.79
019: 65536 7.79
020: 65536 7.78
021: 65536 7.79
022: 65536 7.78
023: 65536 7.78
024: 65536 7.34
025: 65536 7.35
026: 65536 7.35
65536                   7.76
000: 131072 14.09
001: 131072 13.40
002: 131072 13.40
003: 131072 13.41
004: 131072 13.40
005: 131072 13.43
006: 131072 13.40
007: 131072 13.41
008: 131072 13.41
009: 131072 13.40
010: 131072 13.41
011: 131072 13.41
012: 131072 13.40
