
# OSU MPI_Bcast (data-varying) v7.0
# Size       Avg Latency(us)
000: 1 1.61
001: 1 0.48
002: 1 0.47
003: 1 0.49
004: 1 0.49
005: 1 0.48
006: 1 0.49
007: 1 0.49
008: 1 0.48
009: 1 0.49
010: 1 0.49
011: 1 0.48
012: 1 0.49
013: 1 0.47
014: 1 0.49
015: 1 0.48
016: 1 0.48
017: 1 0.48
018: 1 0.49
019: 1 0.48
020: 1 0.49
021: 1 0.48
022: 1 0.48
023: 1 0.48
024: 1 0.44
025: 1 0.44
026: 1 0.44
027: 1 0.45
028: 1 0.45
029: 1 0.44
030: 1 0.44
1                       0.51
000: 2 1.64
001: 2 0.49
002: 2 0.49
003: 2 0.50
004: 2 0.50
005: 2 0.50
006: 2 0.49
007: 2 0.50
008: 2 0.49
009: 2 0.50
010: 2 0.50
011: 2 0.50
012: 2 0.51
013: 2 0.49
014: 2 0.50
015: 2 0.49
016: 2 0.49
017: 2 0.49
018: 2 0.49
019: 2 0.49
020: 2 0.49
021: 2 0.49
022: 2 0.50
023: 2 0.50
024: 2 0.45
025: 2 0.45
026: 2 0.46
027: 2 0.46
028: 2 0.45
029: 2 0.45
030: 2 0.45
2                       0.52
000: 4 1.60
001: 4 0.46
002: 4 0.46
003: 4 0.47
004: 4 0.47
005: 4 0.46
006: 4 0.46
007: 4 0.46
008: 4 0.46
009: 4 0.48
010: 4 0.47
011: 4 0.47
012: 4 0.48
013: 4 0.46
014: 4 0.47
015: 4 0.46
016: 4 0.46
017: 4 0.46
018: 4 0.46
019: 4 0.46
020: 4 0.47
021: 4 0.46
022: 4 0.47
023: 4 0.46
024: 4 0.44
025: 4 0.44
026: 4 0.44
027: 4 0.44
028: 4 0.44
029: 4 0.45
030: 4 0.44
4                       0.50
000: 8 1.63
001: 8 0.44
002: 8 0.45
003: 8 0.45
004: 8 0.45
005: 8 0.45
006: 8 0.45
007: 8 0.45
008: 8 0.44
009: 8 0.46
010: 8 0.46
011: 8 0.45
012: 8 0.46
013: 8 0.44
014: 8 0.45
015: 8 0.44
016: 8 0.45
017: 8 0.44
018: 8 0.45
019: 8 0.44
020: 8 0.45
021: 8 0.44
022: 8 0.45
023: 8 0.44
024: 8 0.43
025: 8 0.44
026: 8 0.44
027: 8 0.44
028: 8 0.43
029: 8 0.44
030: 8 0.43
8                       0.48
000: 16 1.61
001: 16 0.45
002: 16 0.45
003: 16 0.46
004: 16 0.46
005: 16 0.45
006: 16 0.46
007: 16 0.46
008: 16 0.46
009: 16 0.47
010: 16 0.46
011: 16 0.46
012: 16 0.47
013: 16 0.44
014: 16 0.47
015: 16 0.46
