
# OSU MPI_Bcast (data-varying) v7.0
# Size       Avg Latency(us)
000: 1 0.56
001: 1 0.18
002: 1 0.18
003: 1 0.18
004: 1 0.18
005: 1 0.18
006: 1 0.18
007: 1 0.18
008: 1 0.18
009: 1 0.18
1                       0.22
000: 2 0.57
001: 2 0.18
002: 2 0.18
003: 2 0.18
004: 2 0.18
005: 2 0.19
006: 2 0.18
007: 2 0.18
008: 2 0.19
009: 2 0.18
2                       0.22
000: 4 0.56
001: 4 0.18
002: 4 0.18
003: 4 0.18
004: 4 0.18
005: 4 0.18
006: 4 0.18
007: 4 0.18
008: 4 0.18
009: 4 0.18
4                       0.22
000: 8 0.56
001: 8 0.18
002: 8 0.18
003: 8 0.18
004: 8 0.18
005: 8 0.18
006: 8 0.18
007: 8 0.18
008: 8 0.18
009: 8 0.18
8                       0.22
000: 16 0.55
001: 16 0.18
002: 16 0.18
003: 16 0.19
004: 16 0.18
005: 16 0.18
006: 16 0.18
007: 16 0.18
008: 16 0.18
009: 16 0.18
16                      0.22
000: 32 0.55
001: 32 0.18
002: 32 0.18
003: 32 0.18
004: 32 0.18
005: 32 0.18
006: 32 0.18
007: 32 0.18
008: 32 0.18
009: 32 0.18
32                      0.22
000: 64 0.58
001: 64 0.19
002: 64 0.19
003: 64 0.19
004: 64 0.20
005: 64 0.19
006: 64 0.19
007: 64 0.19
008: 64 0.19
009: 64 0.19
64                      0.23
000: 128 0.55
001: 128 0.18
002: 128 0.18
003: 128 0.18
004: 128 0.18
005: 128 0.17
006: 128 0.18
007: 128 0.18
008: 128 0.18
009: 128 0.17
128                     0.21
000: 256 0.57
001: 256 0.19
002: 256 0.19
003: 256 0.19
004: 256 0.19
005: 256 0.19
006: 256 0.19
007: 256 0.19
008: 256 0.19
009: 256 0.19
256                     0.23
000: 512 0.59
001: 512 0.21
002: 512 0.21
003: 512 0.21
004: 512 0.21
005: 512 0.21
006: 512 0.21
007: 512 0.21
008: 512 0.21
009: 512 0.21
512                     0.25
000: 1024 0.68
001: 1024 0.31
002: 1024 0.31
003: 1024 0.30
004: 1024 0.31
005: 1024 0.31
006: 1024 0.30
007: 1024 0.30
008: 1024 0.30
009: 1024 0.30
1024                    0.34
000: 2048 0.80
001: 2048 0.41
002: 2048 0.41
003: 2048 0.40
004: 2048 0.41
005: 2048 0.42
006: 2048 0.41
007: 2048 0.41
008: 2048 0.41
009: 2048 0.41
2048                    0.45
000: 4096 1.03
001: 4096 0.63
002: 4096 0.63
003: 4096 0.62
004: 4096 0.63
005: 4096 0.63
006: 4096 0.63
007: 4096 0.63
008: 4096 0.63
009: 4096 0.63
4096                    0.67
000: 8192 1.45
001: 8192 1.07
002: 8192 1.07
003: 8192 1.06
004: 8192 1.07
005: 8192 1.06
006: 8192 1.07
007: 8192 1.06
008: 8192 1.07
009: 8192 1.06
8192                    1.10
000: 16384 2.40
001: 16384 1.98
002: 16384 1.98
003: 16384 1.97
004: 16384 1.98
005: 16384 2.01
006: 16384 1.98
007: 16384 1.98
008: 16384 1.98
009: 16384 1.97
16384                   2.02
000: 32768 4.28
001: 32768 3.90
002: 32768 3.90
003: 32768 3.89
004: 32768 3.91
005: 32768 3.87
006: 32768 3.90
007: 32768 3.90
008: 32768 3.90
009: 32768 3.90
32768                   3.94
000: 65536 5.97
001: 65536 5.55
002: 65536 5.55
003: 65536 5.55
004: 65536 5.56
005: 65536 5.54
006: 65536 5.56
007: 65536 5.55
008: 65536 5.55
009: 65536 5.55
65536                   5.59
000: 131072 8.96
001: 131072 8.55
002: 131072 8.55
003: 131072 8.55
004: 131072 8.55
005: 131072 8.55
006: 131072 8.54
007: 131072 8.55
008: 131072 8.55
009: 131072 8.55
131072                  8.59
000: 262144 15.29
001: 262144 14.91
002: 262144 14.91
003: 262144 14.90
004: 262144 14.90
005: 262144 14.90
006: 262144 14.95
007: 262144 14.91
008: 262144 14.91
009: 262144 14.90
262144                 14.95
000: 524288 29.81
001: 524288 29.43
002: 524288 29.43
003: 524288 29.42
004: 524288 29.42
005: 524288 29.42
006: 524288 29.42
007: 524288 29.43
008: 524288 29.42
009: 524288 29.42
524288                 29.46
000: 1048576 74.55
001: 1048576 74.09
002: 1048576 73.99
003: 1048576 74.12
004: 1048576 74.01
005: 1048576 74.10
006: 1048576 73.85
007: 1048576 73.93
008: 1048576 74.16
009: 1048576 74.01
1048576                74.08

# OSU MPI_Bcast (data-varying) v7.0
# Size       Avg Latency(us)
000: 1 0.56
001: 1 0.16
002: 1 0.15
003: 1 0.16
004: 1 0.16
005: 1 0.15
006: 1 0.15
007: 1 0.16
008: 1 0.16
009: 1 0.15
1                       0.20
000: 2 0.55
001: 2 0.16
002: 2 0.16
003: 2 0.15
004: 2 0.16
005: 2 0.16
006: 2 0.16
007: 2 0.16
008: 2 0.16
009: 2 0.15
2                       0.20
000: 4 0.58
001: 4 0.16
002: 4 0.16
003: 4 0.16
004: 4 0.16
005: 4 0.16
006: 4 0.16
007: 4 0.16
008: 4 0.16
009: 4 0.16
4                       0.20
000: 8 0.57
001: 8 0.16
002: 8 0.16
003: 8 0.16
004: 8 0.16
005: 8 0.16
006: 8 0.16
007: 8 0.16
008: 8 0.16
009: 8 0.15
8                       0.20
000: 16 0.55
001: 16 0.16
002: 16 0.15
003: 16 0.16
004: 16 0.16
005: 16 0.16
006: 16 0.16
007: 16 0.16
008: 16 0.16
009: 16 0.15
16                      0.20
000: 32 0.58
001: 32 0.16
002: 32 0.16
003: 32 0.16
004: 32 0.16
005: 32 0.16
006: 32 0.16
007: 32 0.16
008: 32 0.16
009: 32 0.15
32                      0.20
000: 64 0.58
001: 64 0.18
002: 64 0.17
003: 64 0.18
004: 64 0.17
005: 64 0.18
006: 64 0.17
007: 64 0.18
008: 64 0.18
009: 64 0.17
64                      0.21
000: 128 0.58
001: 128 0.18
002: 128 0.18
003: 128 0.19
004: 128 0.19
005: 128 0.19
006: 128 0.18
007: 128 0.19
008: 128 0.19
009: 128 0.18
128                     0.23
000: 256 0.59
001: 256 0.20
002: 256 0.20
003: 256 0.21
004: 256 0.20
005: 256 0.21
006: 256 0.20
007: 256 0.21
008: 256 0.21
009: 256 0.20
256                     0.24
000: 512 0.61
001: 512 0.23
002: 512 0.23
003: 512 0.23
004: 512 0.23
