
# OSU MPI_Bcast (data-varying) v7.0
# Size       Avg Latency(us)
root = 0
1                       0.48
2                       0.49
4                       0.56
8                       0.46
16                      0.51
32                      0.51
64                      0.57
128                     0.68
256                     1.04
512                     1.30
1024                    1.16
2048                    1.38
4096                    2.01
8192                    3.03
16384                   4.38
32768                   7.41
65536                  12.59
131072                 23.11
262144                 42.51
524288                 78.42
1048576               174.41

# OSU MPI_Bcast (data-varying) v7.0
# Size       Avg Latency(us)
root = 0
1                       0.55
2                       0.58
4                       0.59
8                       0.47
16                      0.54
32                      0.56
64                      0.56
128                     0.71
256                     0.98
512                     1.24
1024                    1.09
2048                    1.31
4096                    1.88
8192                    2.84
16384                   4.11
32768                   6.98
65536                  11.70
131072                 21.17
262144                 38.94
524288                 76.07
1048576               165.85

# OSU MPI_Bcast (data-varying) v7.0
# Size       Avg Latency(us)
root = 0
1                       0.60
2                       0.54
4                       0.51
8                       0.61
16                      0.56
32                      0.56
64                      0.57
128                     0.69
256                     1.02
512                     1.28
1024                    1.11
2048                    1.39
4096                    1.86
8192                    2.85
16384                   4.17
32768                   7.25
65536                  12.10
131072                 21.68
262144                 39.97
524288                 78.60
1048576               171.87

# OSU MPI_Bcast (data-varying) v7.0
# Size       Avg Latency(us)
root = 0
1                       0.46
2                       0.51
4                       0.49
8                       0.52
16                      0.50
32                      0.50
64                      0.51
128                     0.58
256                     1.03
512                     1.25
1024                    1.18
2048                    1.39
4096                    1.85
8192                    2.77
16384                   4.03
32768                   6.91
65536                  11.39
131072                 20.32
262144                 37.81
524288                 77.73
1048576               165.21

# OSU MPI_Bcast (data-varying) v7.0
# Size       Avg Latency(us)
root = 0
1                       0.46
2                       0.56
4                       0.52
8                       0.56
16                      0.51
32                      0.78
64                      0.74
128                     0.63
256                     1.02
512                     1.16
1024                    1.14
2048                    1.42
4096                    1.93
8192                    2.88
16384                   4.14
32768                   7.05
65536                  12.06
131072                 22.37
262144                 40.44
524288                 81.38
1048576               172.77

# OSU MPI_Bcast (data-varying) v7.0
# Size       Avg Latency(us)
root = 0
1                       0.50
2                       0.55
4                       0.46
8                       0.59
16                      0.54
32                      0.52
64                      0.51
128                     0.56
256                     1.00
512                     1.28
1024                    1.40
2048                    1.67
4096                    1.95
8192                    2.80
16384                   4.26
32768                   6.79
65536                  11.36
131072                 20.43
262144                 40.27
524288                 79.80
1048576               168.21

# OSU MPI_Bcast (data-varying) v7.0
# Size       Avg Latency(us)
root = 0
1                       0.52
2                       0.66
4                       0.49
8                       0.53
16                      0.50
32                      0.53
64                      0.51
128                     0.62
256                     1.00
512                     1.28
1024                    1.11
2048                    1.43
4096                    1.89
8192                    2.84
16384                   4.08
32768                   6.86
65536                  11.66
131072                 21.10
262144                 39.63
524288                 77.05
1048576               151.84

# OSU MPI_Bcast (data-varying) v7.0
# Size       Avg Latency(us)
root = 0
1                       0.52
2                       0.52
4                       0.57
8                       0.54
16                      0.51
32                      0.47
64                      0.51
128                     0.55
256                     0.96
512                     1.24
1024                    1.08
2048                    1.40
4096                    1.78
8192                    2.76
16384                   4.09
32768                   6.97
65536                  12.35
131072                 22.97
262144                 42.78
524288                 80.80
1048576               161.91

# OSU MPI_Bcast (data-varying) v7.0
# Size       Avg Latency(us)
root = 0
1                       0.42
2                       0.45
4                       0.47
8                       0.49
16                      0.49
32                      0.64
64                      0.52
128                     0.57
256                     0.92
512                     1.22
1024                    1.07
2048                    1.37
4096                    1.88
8192                    2.88
16384                   4.14
32768                   7.02
65536                  11.22
131072                 20.97
262144                 38.94
524288                 77.22
1048576               169.53

# OSU MPI_Bcast (data-varying) v7.0
# Size       Avg Latency(us)
root = 0
1                       0.51
2                       0.51
4                       0.54
8                       0.51
16                      0.59
32                      0.60
64                      0.59
128                     0.66
256                     1.01
512                     1.29
1024                    1.11
2048                    1.39
4096                    1.82
8192                    2.80
16384                   4.25
32768                   7.21
65536                  12.24
131072                 22.04
262144                 40.75
524288                 78.11
1048576               175.30

# OSU MPI_Bcast (data-varying) v7.0
# Size       Avg Latency(us)
root = 0
1                       0.53
2                       0.48
4                       0.55
8                       0.63
16                      0.54
32                      0.49
64                      0.54
128                     0.67
256                     0.96
512                     1.25
1024                    1.20
2048                    1.39
4096                    2.08
8192                    2.87
16384                   4.11
32768                   7.20
65536                  12.65
131072                 22.70
262144                 39.55
524288                 78.50
1048576               161.27

# OSU MPI_Bcast (data-varying) v7.0
# Size       Avg Latency(us)
root = 0
1                       0.60
2                       0.56
4                       0.59
8                       0.64
16                      0.53
32                      0.52
64                      0.51
128                     0.63
256                     1.04
512                     1.31
1024                    1.12
2048                    1.32
4096                    1.85
8192                    2.90
16384                   4.30
32768                   7.63
65536                  13.01
131072                 23.96
262144                 41.12
524288                 80.32
1048576               173.03

# OSU MPI_Bcast (data-varying) v7.0
# Size       Avg Latency(us)
root = 0
1                       0.49
2                       0.63
4                       0.51
8                       0.56
16                      0.56
32                      0.52
64                      0.46
128                     0.62
256                     0.97
512                     1.22
1024                    1.16
2048                    1.46
4096                    1.75
8192                    2.75
16384                   4.10
32768                   7.08
65536                  11.93
131072                 22.04
262144                 41.32
524288                 80.43
1048576               173.47

# OSU MPI_Bcast (data-varying) v7.0
# Size       Avg Latency(us)
root = 0
1                       0.49
2                       0.49
4                       0.57
8                       0.50
16                      0.46
32                      0.49
64                      0.50
128                     0.55
256                     0.94
512                     1.29
1024                    1.27
2048                    1.51
4096                    2.25
8192                    2.80
16384                   4.02
32768                   7.00
65536                  11.95
131072                 21.45
262144                 39.22
524288                 78.76
1048576               171.74

# OSU MPI_Bcast (data-varying) v7.0
# Size       Avg Latency(us)
root = 0
1                       0.54
2                       0.59
4                       0.53
8                       0.56
16                      0.53
32                      0.62
64                      0.52
128                     0.60
256                     0.92
512                     1.34
1024                    1.09
2048                    1.65
4096                    1.91
8192                    2.91
16384                   4.32
32768                   7.36
65536                  12.60
131072                 22.88
262144                 41.19
524288                 79.67
1048576               169.56

# OSU MPI_Bcast (data-varying) v7.0
# Size       Avg Latency(us)
root = 0
1                       0.46
2                       0.54
4                       0.47
8                       0.55
16                      0.54
32                      0.54
64                      0.50
128                     0.65
256                     1.00
512                     1.20
1024                    1.05
2048                    1.33
4096                    1.84
8192                    2.83
16384                   4.10
32768                   7.13
65536                  12.41
131072                 21.93
262144                 41.59
524288                 79.85
1048576               161.70

# OSU MPI_Bcast (data-varying) v7.0
# Size       Avg Latency(us)
root = 0
1                       0.48
2                       0.58
4                       0.51
8                       0.54
16                      0.47
32                      0.47
64                      0.49
128                     0.55
256                     0.96
512                     1.31
1024                    1.19
2048                    1.42
4096                    1.93
8192                    3.02
16384                   4.49
32768                   7.46
65536                  12.55
131072                 23.06
262144                 41.83
524288                 80.17
1048576               171.86

# OSU MPI_Bcast (data-varying) v7.0
# Size       Avg Latency(us)
root = 0
1                       0.47
2                       0.52
4                       0.59
8                       0.60
16                      0.58
32                      0.51
64                      0.62
128                     0.72
256                     1.01
512                     1.36
1024                    1.09
