
# OSU MPI_Bcast (data-varying) v7.0
# Size       Avg Latency(us)
root = 0
1                       0.41
2                       0.46
4                       0.46
8                       0.44
16                      0.50
32                      0.68
64                      0.66
128                     0.68
256                     1.05
512                     1.18
1024                    1.26
2048                    1.47
4096                    2.26
8192                    3.09
16384                   5.21
32768                   7.73
65536                  13.17
131072                 22.18
262144                 43.15
524288                 89.83
1048576               205.42

# OSU MPI_Bcast (data-varying) v7.0
# Size       Avg Latency(us)
root = 0
1                       0.49
2                       0.60
4                       0.51
8                       0.51
16                      0.63
32                      0.69
64                      0.54
128                     0.79
256                     1.02
512                     1.28
1024                    1.13
2048                    1.41
4096                    1.88
8192                    2.92
16384                   4.60
32768                   8.07
65536                  14.05
131072                 25.27
262144                 46.40
524288                 91.83
1048576               196.08

# OSU MPI_Bcast (data-varying) v7.0
# Size       Avg Latency(us)
root = 0
1                       0.48
2                       0.49
4                       0.56
8                       0.49
16                      0.48
32                      0.51
64                      0.53
128                     0.56
256                     1.06
512                     1.22
1024                    1.09
2048                    1.56
4096                    1.84
8192                    3.08
16384                   4.65
32768                   8.10
65536                  14.05
131072                 23.41
262144                 44.46
524288                 92.42
1048576               221.45

# OSU MPI_Bcast (data-varying) v7.0
# Size       Avg Latency(us)
root = 0
1                       0.55
2                       0.60
4                       0.51
8                       0.56
16                      0.50
32                      0.84
64                      0.86
128                     0.57
256                     0.99
512                     1.26
1024                    1.17
2048                    1.39
4096                    1.79
8192                    2.73
16384                   4.64
32768                   7.80
65536                  12.79
131072                 22.27
262144                 43.09
524288                 90.83
1048576               209.07

# OSU MPI_Bcast (data-varying) v7.0
# Size       Avg Latency(us)
root = 0
1                       0.52
2                       0.44
4                       0.54
8                       0.54
16                      0.54
32                      0.52
64                      0.49
128                     0.54
256                     1.04
512                     1.16
1024                    1.07
2048                    1.33
4096                    2.20
8192                    2.95
16384                   4.83
32768                   8.06
65536                  13.62
131072                 24.20
262144                 46.29
524288                 92.34
1048576               208.93

# OSU MPI_Bcast (data-varying) v7.0
# Size       Avg Latency(us)
root = 0
1                       0.48
2                       0.49
4                       0.50
8                       0.54
16                      0.57
32                      0.57
64                      0.55
128                     0.60
256                     1.02
512                     1.17
1024                    1.15
2048                    1.47
4096                    1.94
8192                    2.96
16384                   4.92
32768                   8.79
65536                  16.94
131072                 27.86
262144                 50.28
524288                 97.25
1048576               213.47

# OSU MPI_Bcast (data-varying) v7.0
# Size       Avg Latency(us)
root = 0
1                       0.54
2                       0.50
4                       0.50
8                       0.47
16                      0.46
32                      0.50
64                      0.57
128                     0.60
256                     0.93
512                     1.23
1024                    1.10
2048                    1.39
4096                    1.89
8192                    2.95
16384                   4.74
32768                   8.27
65536                  12.95
131072                 23.23
262144                 45.33
524288                 93.10
1048576               206.11

# OSU MPI_Bcast (data-varying) v7.0
# Size       Avg Latency(us)
root = 0
1                       0.50
2                       0.49
4                       0.55
8                       0.54
16                      0.53
32                      0.51
64                      0.54
128                     0.60
256                     1.03
512                     1.27
1024                    1.09
2048                    1.35
4096                    1.82
8192                    2.90
16384                   4.55
32768                   7.71
65536                  13.35
131072                 23.68
262144                 45.67
524288                 93.19
1048576               213.86

# OSU MPI_Bcast (data-varying) v7.0
# Size       Avg Latency(us)
root = 0
1                       0.51
2                       0.44
4                       0.45
8                       0.47
16                      0.51
32                      0.51
64                      0.53
128                     0.57
256                     0.98
512                     1.19
1024                    1.08
2048                    1.26
4096                    1.96
8192                    2.89
16384                   4.78
32768                   8.42
65536                  13.78
131072                 21.94
262144                 44.66
524288                 94.26
1048576               203.45

# OSU MPI_Bcast (data-varying) v7.0
# Size       Avg Latency(us)
root = 0
1                       0.44
2                       0.49
4                       0.46
8                       0.50
16                      0.45
32                      0.46
64                      0.55
128                     0.57
256                     0.81
512                     1.25
1024                    1.15
2048                    1.39
4096                    1.84
8192                    2.74
16384                   4.71
32768                   7.39
65536                  11.92
131072                 22.89
262144                 43.66
524288                 88.83
1048576               211.94

# OSU MPI_Bcast (data-varying) v7.0
# Size       Avg Latency(us)
root = 0
1                       0.48
2                       0.49
4                       0.49
8                       0.51
16                      0.47
32                      0.54
64                      0.53
128                     0.67
256                     1.03
512                     1.32
1024                    1.14
2048                    1.40
4096                    2.30
8192                    3.15
16384                   4.88
32768                   8.12
65536                  13.32
131072                 22.52
262144                 43.61
524288                 89.50
1048576               217.89

# OSU MPI_Bcast (data-varying) v7.0
# Size       Avg Latency(us)
root = 0
1                       0.49
2                       0.49
4                       0.50
8                       0.50
16                      0.48
32                      0.46
64                      0.47
128                     0.52
256                     0.97
512                     1.27
1024                    1.07
2048                    1.37
4096                    1.76
8192                    2.90
16384                   4.70
32768                   8.42
65536                  14.64
131072                 26.00
262144                 48.63
524288                 96.22
1048576               198.95

# OSU MPI_Bcast (data-varying) v7.0
# Size       Avg Latency(us)
root = 0
1                       0.44
2                       0.56
4                       0.54
8                       0.46
16                      0.54
32                      0.63
64                      0.62
128                     0.65
256                     1.01
512                     1.33
1024                    1.15
2048                    1.34
4096                    1.90
8192                    2.80
16384                   4.94
32768                   7.89
65536                  13.29
131072                 22.50
262144                 43.29
524288                 91.38
1048576               205.77

# OSU MPI_Bcast (data-varying) v7.0
# Size       Avg Latency(us)
root = 0
1                       0.59
2                       0.53
4                       0.56
8                       0.53
16                      0.52
32                      0.70
64                      0.66
128                     0.63
256                     1.05
512                     1.24
1024                    1.25
2048                    1.45
4096                    1.95
8192                    2.97
16384                   4.80
32768                   7.68
65536                  13.03
131072                 22.49
262144                 43.40
524288                 91.49
1048576               222.72

# OSU MPI_Bcast (data-varying) v7.0
# Size       Avg Latency(us)
root = 0
1                       0.84
2                       0.84
4                       0.86
8                       0.86
16                      0.85
32                      0.87
64                      0.87
128                     0.94
256                     1.05
512                     1.30
1024                    1.18
2048                    1.33
4096                    1.89
8192                    3.08
16384                   5.09
32768                   7.72
65536                  12.58
131072                 22.12
262144                 43.32
524288                 88.08
1048576               203.73

# OSU MPI_Bcast (data-varying) v7.0
# Size       Avg Latency(us)
root = 0
1                       0.51
2                       0.52
4                       0.50
8                       0.51
16                      0.53
32                      0.46
64                      0.51
128                     0.53
256                     0.96
512                     1.15
1024                    1.12
2048                    1.36
4096                    2.00
8192                    2.78
16384                   4.60
32768                   8.07
65536                  12.99
131072                 22.71
262144                 44.35
524288                 92.39
1048576               214.15

# OSU MPI_Bcast (data-varying) v7.0
# Size       Avg Latency(us)
root = 0
1                       0.49
2                       0.46
4                       0.50
8                       0.55
16                      0.50
32                      0.69
64                      0.70
128                     0.59
256                     1.10
512                     1.29
1024                    1.08
2048                    1.35
4096                    1.93
8192                    2.83
16384                   4.58
32768                   8.00
65536                  12.87
131072                 22.20
262144                 43.62
524288                 89.81
1048576               208.18

# OSU MPI_Bcast (data-varying) v7.0
# Size       Avg Latency(us)
root = 0
1                       0.40
2                       0.47
4                       0.53
8                       0.51
16                      0.53
32                      0.58
64                      0.45
128                     0.53
256                     0.98
512                     1.18
1024                    1.09
2048                    1.49
4096                    1.77
8192                    2.75
16384                   4.50
32768                   7.80
65536                  13.59
131072                 23.36
262144                 44.07
524288                 89.48
1048576               200.57

# OSU MPI_Bcast (data-varying) v7.0
# Size       Avg Latency(us)
root = 0
1                       0.52
2                       0.56
4                       0.47
8                       0.52
16                      0.57
32                      0.51
64                      0.50
128                     0.60
256                     1.01
512                     1.38
1024                    1.20
2048                    1.45
4096                    2.03
8192                    2.79
16384                   4.64
32768                   7.98
65536                  13.86
131072                 24.97
262144                 46.95
524288                 94.72
1048576               204.10

# OSU MPI_Bcast (data-varying) v7.0
# Size       Avg Latency(us)
root = 0
1                       0.47
2                       0.49
4                       0.42
8                       0.51
16                      0.56
32                      0.49
64                      0.51
128                     0.67
256                     1.06
512                     1.32
1024                    1.09
2048                    1.27
4096                    1.74
8192                    2.72
16384                   4.60
32768                   7.56
65536                  12.12
131072                 22.28
262144                 43.17
524288                 87.22
1048576               220.90

# OSU MPI_Bcast (data-varying) v7.0
# Size       Avg Latency(us)
root = 0
1                       0.60
2                       0.64
4                       0.53
8                       0.61
16                      0.55
32                      0.53
64                      0.57
128                     0.64
256                     0.95
512                     1.29
1024                    1.09
2048                    1.34
4096                    1.88
8192                    2.84
16384                   4.69
32768                   8.01
65536                  12.29
131072                 22.47
262144                 43.41
524288                 87.01
1048576               211.04

# OSU MPI_Bcast (data-varying) v7.0
# Size       Avg Latency(us)
root = 0
1                       0.58
2                       0.51
4                       0.45
8                       0.45
16                      0.61
32                      0.50
64                      0.50
128                     0.66
256                     0.97
512                     1.28
1024                    1.15
2048                    1.42
4096                    1.97
8192                    2.87
16384                   4.69
32768                   8.21
65536                  14.32
131072                 22.51
262144                 44.78
524288                 95.51
1048576               207.28

# OSU MPI_Bcast (data-varying) v7.0
# Size       Avg Latency(us)
root = 0
1                       0.56
2                       0.51
4                       0.51
8                       0.51
16                      0.51
32                      0.49
64                      0.52
128                     0.62
256                     0.99
512                     1.30
1024                    1.11
2048                    1.34
4096                    1.91
8192                    2.81
16384                   4.57
32768                   7.61
65536                  12.61
131072                 22.51
262144                 43.15
524288                 89.18
1048576               218.02

# OSU MPI_Bcast (data-varying) v7.0
# Size       Avg Latency(us)
root = 0
1                       0.57
2                       0.59
4                       0.54
8                       0.47
16                      0.52
32                      0.59
64                      0.58
128                     0.67
256                     1.10
512                     1.26
1024                    1.25
2048                    1.39
4096                    1.85
8192                    2.90
16384                   5.08
32768                   7.77
65536                  13.48
131072                 23.83
262144                 45.29
524288                 90.93
1048576               209.76

# OSU MPI_Bcast (data-varying) v7.0
# Size       Avg Latency(us)
root = 0
1                       0.61
2                       0.52
4                       0.51
8                       0.56
16                      0.54
32                      0.52
64                      0.51
128                     0.60
256                     1.04
512                     1.22
1024                    1.11
2048                    1.42
4096                    1.89
8192                    2.77
16384                   4.87
32768                   8.48
65536                  13.62
131072                 21.85
262144                 42.65
524288                 89.27
1048576               209.70

# OSU MPI_Bcast (data-varying) v7.0
# Size       Avg Latency(us)
root = 0
1                       0.39
2                       0.39
4                       0.40
8                       0.41
16                      0.41
32                      0.43
64                      0.42
128                     0.53
256                     0.94
512                     1.25
1024                    1.26
2048                    1.35
4096                    2.12
8192                    2.88
16384                   4.79
32768                   8.10
65536                  13.43
131072                 23.16
262144                 45.52
524288                 95.97
1048576               214.96

# OSU MPI_Bcast (data-varying) v7.0
# Size       Avg Latency(us)
root = 0
1                       0.46
2                       0.46
4                       0.58
8                       0.57
16                      0.55
32                      0.42
64                      0.57
128                     0.63
256                     0.96
512                     1.24
1024                    1.13
2048                    1.35
4096                    1.84
8192                    2.98
16384                   4.91
32768                   8.67
65536                  13.12
131072                 22.52
262144                 43.26
524288                 93.24
1048576               199.53

# OSU MPI_Bcast (data-varying) v7.0
# Size       Avg Latency(us)
root = 0
1                       0.56
2                       0.48
4                       0.44
8                       0.52
16                      0.54
32                      0.48
64                      0.55
128                     0.57
256                     1.02
512                     1.34
1024                    1.07
2048                    1.35
4096                    1.94
8192                    2.83
16384                   5.00
32768                   8.16
65536                  13.20
131072                 24.58
262144                 46.17
524288                 92.09
1048576               202.47

# OSU MPI_Bcast (data-varying) v7.0
# Size       Avg Latency(us)
root = 0
1                       0.48
2                       0.48
4                       0.56
8                       0.51
16                      0.45
