
# OSU MPI_Bcast (data-varying) v7.0
# Size       Avg Latency(us)
root = 0
1                       0.54
2                       0.55
4                       0.50
8                       0.59
16                      0.56
32                      0.54
64                      0.60
128                     0.72
256                     0.99
512                     1.27
1024                    1.14
2048                    1.46
4096                    1.85
8192                    2.91
16384                   4.68
32768                   8.12
65536                  13.37
131072                 22.40
262144                 42.93
524288                 90.42
1048576               216.07

# OSU MPI_Bcast (data-varying) v7.0
# Size       Avg Latency(us)
root = 0
1                       0.50
2                       0.56
4                       0.57
8                       0.55
16                      0.59
32                      0.57
64                      0.56
128                     0.69
256                     1.07
512                     1.21
1024                    1.11
2048                    1.34
4096                    1.95
8192                    2.95
16384                   4.83
32768                   8.23
65536                  12.81
131072                 22.22
262144                 42.91
524288                 87.59
1048576               204.33

# OSU MPI_Bcast (data-varying) v7.0
# Size       Avg Latency(us)
root = 0
1                       0.50
2                       0.54
4                       0.59
8                       0.56
16                      0.48
32                      0.49
64                      0.48
128                     0.57
256                     1.02
512                     1.27
1024                    1.22
2048                    1.34
4096                    1.90
8192                    2.74
16384                   4.87
32768                   7.90
65536                  15.21
131072                 27.38
262144                 47.36
524288                 96.59
1048576               208.99

# OSU MPI_Bcast (data-varying) v7.0
# Size       Avg Latency(us)
root = 0
1                       0.46
2                       0.42
4                       0.47
8                       0.43
16                      0.47
32                      0.47
64                      0.48
128                     0.60
256                     0.97
512                     1.24
1024                    1.11
2048                    1.37
4096                    1.83
8192                    2.90
16384                   4.89
32768                   7.39
65536                  12.25
131072                 22.93
262144                 43.41
524288                 89.53
1048576               215.61

# OSU MPI_Bcast (data-varying) v7.0
# Size       Avg Latency(us)
root = 0
1                       0.50
2                       0.49
4                       0.50
8                       0.48
16                      0.50
32                      0.68
64                      0.57
128                     0.60
256                     1.00
512                     1.21
1024                    1.11
2048                    1.37
4096                    1.76
8192                    2.87
16384                   4.71
32768                   8.49
65536                  13.91
131072                 26.05
262144                 47.46
524288                104.49
1048576               212.88

# OSU MPI_Bcast (data-varying) v7.0
# Size       Avg Latency(us)
root = 0
1                       0.53
2                       0.59
4                       0.53
8                       0.54
16                      0.51
32                      0.61
64                      0.56
128                     0.64
256                     1.05
512                     1.38
1024                    1.15
2048                    1.32
4096                    1.95
8192                    2.95
16384                   4.91
32768                   8.39
65536                  13.66
131072                 22.53
262144                 43.92
524288                 92.50
1048576               217.48

# OSU MPI_Bcast (data-varying) v7.0
# Size       Avg Latency(us)
root = 0
1                       0.57
2                       0.56
4                       0.51
8                       0.58
16                      0.48
32                      0.56
64                      0.56
128                     0.61
256                     1.12
512                     1.31
1024                    1.10
2048                    1.35
4096                    1.83
8192                    2.84
16384                   4.73
32768                   8.38
65536                  12.19
131072                 22.39
262144                 42.42
524288                 88.76
1048576               208.19

# OSU MPI_Bcast (data-varying) v7.0
# Size       Avg Latency(us)
root = 0
1                       0.65
2                       0.51
4                       0.65
8                       0.57
16                      0.51
32                      0.53
64                      0.56
128                     0.64
256                     0.96
512                     1.25
1024                    1.14
2048                    1.40
4096                    2.03
8192                    2.89
16384                   4.90
32768                   8.58
65536                  14.08
131072                 23.05
262144                 44.19
524288                 92.93
1048576               207.53

# OSU MPI_Bcast (data-varying) v7.0
# Size       Avg Latency(us)
root = 0
1                       0.42
2                       0.48
4                       0.53
8                       0.54
16                      0.46
32                      0.47
64                      0.49
128                     0.53
256                     0.99
512                     1.34
1024                    1.20
2048                    1.29
4096                    1.77
8192                    2.75
16384                   4.83
32768                   7.99
65536                  12.15
131072                 23.20
262144                 44.70
524288                 91.71
1048576               208.12

# OSU MPI_Bcast (data-varying) v7.0
# Size       Avg Latency(us)
root = 0
1                       0.49
2                       0.52
4                       0.60
8                       0.53
16                      0.45
32                      0.51
64                      0.51
128                     0.58
256                     0.91
512                     1.21
1024                    1.11
2048                    1.30
4096                    1.80
8192                    2.80
16384                   4.72
32768                   7.94
65536                  12.95
131072                 21.78
262144                 43.34
524288                 90.50
1048576               213.70

# OSU MPI_Bcast (data-varying) v7.0
# Size       Avg Latency(us)
root = 0
1                       0.56
2                       0.58
4                       0.55
8                       0.46
16                      0.46
32                      0.49
64                      0.48
128                     0.62
256                     0.95
512                     1.34
1024                    1.11
2048                    1.31
4096                    1.76
8192                    2.72
16384                   4.66
