
# OSU MPI_Bcast (data-varying) v7.0
# Size       Avg Latency(us)
root = 0
1                       0.92
2                       0.87
4                       0.83
8                       0.93
16                      0.97
32                      0.85
64                      0.89
128                     1.00
256                     1.06
512                     1.51
1024                    1.56
2048                    1.87
4096                    2.11
8192                    3.26
16384                   5.47
32768                   8.72
65536                  15.13
131072                 27.09
262144                 50.44
524288                 99.90
1048576               258.59

# OSU MPI_Bcast (data-varying) v7.0
# Size       Avg Latency(us)
root = 0
1                       0.85
2                       0.88
4                       0.88
8                       0.89
16                      0.93
32                      0.87
64                      0.85
128                     1.06
256                     1.12
512                     1.51
1024                    1.54
2048                    1.90
4096                    2.06
8192                    3.17
16384                   5.16
32768                   8.51
65536                  15.07
131072                 27.86
262144                 51.34
524288                 97.68
1048576               254.86

# OSU MPI_Bcast (data-varying) v7.0
# Size       Avg Latency(us)
root = 0
1                       0.85
2                       0.89
4                       0.88
8                       0.94
16                      0.89
32                      0.89
64                      0.84
128                     1.06
256                     1.18
512                     1.60
1024                    1.65
2048                    1.90
4096                    2.14
8192                    3.32
16384                   5.46
32768                   8.97
65536                  15.33
131072                 27.53
262144                 50.19
524288                 95.43
1048576               250.83

# OSU MPI_Bcast (data-varying) v7.0
# Size       Avg Latency(us)
root = 0
1                       0.82
2                       0.88
4                       0.87
8                       0.88
16                      0.90
32                      0.90
64                      0.89
128                     1.04
256                     1.13
512                     1.57
1024                    1.63
2048                    1.85
4096                    2.07
8192                    3.22
16384                   5.06
32768                   8.52
65536                  15.20
131072                 28.07
262144                 51.02
524288                 97.21
1048576               249.27

# OSU MPI_Bcast (data-varying) v7.0
# Size       Avg Latency(us)
root = 0
1                       0.82
2                       0.82
4                       0.81
8                       0.81
16                      0.78
32                      0.88
64                      0.84
128                     0.93
256                     1.21
512                     1.74
1024                    1.58
2048                    1.82
4096                    2.13
8192                    3.33
16384                   5.25
32768                   8.91
65536                  15.37
131072                 28.25
262144                 51.32
524288                 98.15
1048576               254.81

# OSU MPI_Bcast (data-varying) v7.0
# Size       Avg Latency(us)
root = 0
1                       0.83
2                       0.91
4                       0.85
8                       0.84
16                      0.95
32                      0.87
64                      0.86
128                     1.09
256                     1.11
512                     1.59
1024                    1.64
2048                    1.86
4096                    2.11
8192                    3.27
16384                   5.35
32768                   8.79
65536                  15.29
131072                 27.51
262144                 51.40
524288                 97.93
1048576               254.69

# OSU MPI_Bcast (data-varying) v7.0
# Size       Avg Latency(us)
root = 0
1                       0.91
2                       0.94
4                       0.93
8                       1.08
16                      1.01
32                      0.92
64                      0.94
128                     1.06
256                     1.30
512                     1.52
1024                    1.56
2048                    1.85
4096                    2.06
8192                    3.28
16384                   5.36
32768                   8.55
65536                  15.22
131072                 27.55
262144                 50.50
524288                 96.21
1048576               257.51

# OSU MPI_Bcast (data-varying) v7.0
# Size       Avg Latency(us)
root = 0
1                       0.98
2                       1.02
4                       1.03
8                       1.03
16                      1.06
32                      0.97
64                      0.93
128                     1.10
256                     1.19
512                     1.61
1024                    1.59
2048                    1.87
4096                    2.14
8192                    3.35
16384                   5.40
32768                   8.48
65536                  15.10
131072                 27.29
262144                 50.79
524288                 99.84
1048576               258.27

# OSU MPI_Bcast (data-varying) v7.0
# Size       Avg Latency(us)
root = 0
1                       0.98
2                       1.06
4                       1.04
8                       0.99
16                      1.03
32                      0.98
64                      0.97
128                     1.12
256                     1.21
512                     1.59
1024                    1.63
2048                    1.89
4096                    2.12
8192                    3.28
16384                   5.11
32768                   8.61
65536                  15.09
131072                 27.08
262144                 49.89
524288                 95.27
1048576               254.74

# OSU MPI_Bcast (data-varying) v7.0
# Size       Avg Latency(us)
root = 0
1                       0.84
2                       0.89
4                       0.84
8                       0.83
16                      0.88
32                      0.94
64                      0.99
128                     1.21
256                     1.20
512                     1.59
1024                    1.51
2048                    1.83
4096                    2.02
8192                    3.28
16384                   5.50
32768                   8.71
65536                  15.85
131072                 27.34
262144                 52.25
524288                 95.42
1048576               250.54

# OSU MPI_Bcast (data-varying) v7.0
# Size       Avg Latency(us)
root = 0
1                       0.92
2                       0.93
4                       0.91
8                       0.97
16                      0.93
32                      0.92
64                      0.89
128                     0.98
256                     1.07
512                     1.58
1024                    1.66
2048                    1.86
4096                    2.18
8192                    3.47
16384                   5.50
32768                   8.91
65536                  16.01
131072                 28.10
262144                 51.11
524288                 98.42
1048576               258.63

# OSU MPI_Bcast (data-varying) v7.0
# Size       Avg Latency(us)
root = 0
1                       1.00
2                       0.98
4                       0.98
8                       0.95
16                      0.95
32                      0.87
64                      0.93
128                     1.12
256                     1.22
512                     1.60
1024                    1.74
2048                    1.91
4096                    2.10
8192                    3.33
16384                   5.31
32768                   9.06
65536                  15.43
131072                 27.15
262144                 50.73
524288                 98.32
1048576               252.79

# OSU MPI_Bcast (data-varying) v7.0
# Size       Avg Latency(us)
root = 0
1                       0.87
2                       0.87
4                       0.88
8                       0.85
16                      0.86
32                      0.98
64                      0.92
128                     1.13
256                     1.43
512                     1.52
1024                    1.54
2048                    1.81
4096                    2.08
8192                    3.27
16384                   5.18
32768                   8.79
65536                  14.93
131072                 27.95
262144                 50.73
524288                 96.05
1048576               249.26

# OSU MPI_Bcast (data-varying) v7.0
# Size       Avg Latency(us)
root = 0
1                       0.87
2                       0.89
4                       0.93
8                       0.88
16                      0.88
32                      0.95
64                      0.89
128                     1.21
256                     1.28
512                     1.64
1024                    1.64
2048                    1.90
4096                    2.17
8192                    3.43
16384                   5.51
32768                   8.72
65536                  15.25
131072                 27.47
262144                 50.85
524288                 94.63
1048576               256.00

# OSU MPI_Bcast (data-varying) v7.0
# Size       Avg Latency(us)
root = 0
1                       1.01
2                       1.05
4                       1.04
8                       1.08
16                      1.01
32                      1.01
64                      1.02
128                     1.16
256                     1.19
512                     1.66
1024                    1.62
2048                    1.92
4096                    2.28
8192                    3.39
16384                   5.45
32768                   8.58
65536                  15.16
131072                 27.42
262144                 50.44
524288                 97.76
1048576               251.35

# OSU MPI_Bcast (data-varying) v7.0
# Size       Avg Latency(us)
root = 0
1                       0.79
2                       0.84
4                       0.83
8                       0.86
16                      0.87
32                      0.89
