
# OSU MPI_Bcast (data-varying) v7.0
# Size       Avg Latency(us)
1                       0.49
2                       0.48
4                       0.49
8                       0.48
16                      0.49
32                      0.49
64                      0.49
128                     0.51
256                     0.54
512                     0.65
1024                    0.71
2048                    0.91
4096                    1.28
8192                    2.03
16384                   3.21
32768                   5.59
65536                   9.26
131072                 16.95
262144                 32.54
524288                 59.50
1048576               168.33

# OSU MPI_Bcast (data-varying) v7.0
# Size       Avg Latency(us)
1                       0.55
2                       0.56
4                       0.54
8                       0.54
16                      0.54
32                      0.54
64                      0.54
128                     0.57
256                     0.62
512                     0.70
1024                    0.73
2048                    0.90
4096                    1.30
8192                    1.97
16384                   3.24
32768                   5.63
65536                   9.14
131072                 16.84
262144                 32.44
524288                 60.60
1048576               163.76

# OSU MPI_Bcast (data-varying) v7.0
# Size       Avg Latency(us)
1                       0.50
2                       0.49
4                       0.50
8                       0.50
16                      0.51
32                      0.50
64                      0.50
128                     0.52
256                     0.56
512                     0.68
1024                    0.71
2048                    0.91
4096                    1.28
8192                    1.98
16384                   3.13
32768                   5.57
65536                   9.29
131072                 16.97
262144                 32.56
524288                 57.88
1048576               161.50

# OSU MPI_Bcast (data-varying) v7.0
# Size       Avg Latency(us)
1                       0.51
2                       0.51
4                       0.51
8                       0.52
16                      0.50
32                      0.51
64                      0.51
128                     0.53
256                     0.56
512                     0.61
1024                    0.72
2048                    0.90
4096                    1.29
8192                    2.01
16384                   3.16
32768                   5.64
65536                   9.33
131072                 17.02
262144                 32.77
524288                 60.23
1048576               163.81

# OSU MPI_Bcast (data-varying) v7.0
# Size       Avg Latency(us)
1                       0.53
2                       0.51
4                       0.51
8                       0.51
16                      0.51
32                      0.51
64                      0.51
128                     0.53
256                     0.56
512                     0.64
1024                    0.72
2048                    0.91
4096                    1.28
8192                    1.98
16384                   3.18
32768                   5.68
65536                   9.19
131072                 17.00
262144                 32.89
524288                 60.35
1048576               171.05

# OSU MPI_Bcast (data-varying) v7.0
# Size       Avg Latency(us)
1                       0.50
2                       0.50
4                       0.51
8                       0.50
16                      0.51
32                      0.51
64                      0.50
128                     0.53
256                     0.59
512                     0.74
1024                    0.73
2048                    0.91
4096                    1.32
8192                    1.97
16384                   3.20
32768                   5.63
65536                   9.17
131072                 17.00
262144                 32.73
524288                 60.61
1048576               172.76

# OSU MPI_Bcast (data-varying) v7.0
# Size       Avg Latency(us)
1                       0.54
2                       0.55
4                       0.53
8                       0.54
16                      0.54
32                      0.53
64                      0.54
128                     0.57
256                     0.59
512                     0.68
1024                    0.71
2048                    0.91
4096                    1.29
8192                    1.99
16384                   3.19
32768                   5.55
65536                   9.21
131072                 16.93
262144                 32.61
524288                 62.05
1048576               169.48

# OSU MPI_Bcast (data-varying) v7.0
# Size       Avg Latency(us)
1                       0.56
2                       0.52
4                       0.51
8                       0.53
16                      0.52
32                      0.52
64                      0.54
128                     0.54
256                     0.58
512                     0.68
1024                    0.74
2048                    0.94
4096                    1.36
8192                    2.08
16384                   3.31
32768                   5.76
65536                   9.28
131072                 17.17
262144                 33.04
524288                 61.51
1048576               166.70

# OSU MPI_Bcast (data-varying) v7.0
# Size       Avg Latency(us)
1                       0.50
2                       0.49
4                       0.49
8                       0.49
16                      0.49
32                      0.49
64                      0.49
128                     0.51
256                     0.56
512                     0.80
1024                    0.70
2048                    0.89
4096                    1.26
8192                    1.95
16384                   3.18
32768                   5.56
65536                   9.09
131072                 16.99
262144                 32.70
524288                 60.60
1048576               164.96

# OSU MPI_Bcast (data-varying) v7.0
# Size       Avg Latency(us)
1                       0.53
2                       0.53
4                       0.52
8                       0.53
16                      0.52
32                      0.52
64                      0.52
128                     0.54
256                     0.57
512                     0.62
1024                    0.70
2048                    0.91
4096                    1.29
8192                    2.01
16384                   3.24
32768                   5.64
65536                   9.19
131072                 17.05
262144                 32.83
524288                 59.60
1048576               171.31

# OSU MPI_Bcast (data-varying) v7.0
# Size       Avg Latency(us)
1                       0.50
2                       0.51
4                       0.52
8                       0.51
16                      0.51
32                      0.52
64                      0.51
128                     0.52
256                     0.57
512                     0.69
1024                    0.72
2048                    0.92
4096                    1.31
8192                    2.02
16384                   3.19
32768                   5.75
65536                   9.23
131072                 17.23
262144                 32.86
524288                 61.55
1048576               171.03

# OSU MPI_Bcast (data-varying) v7.0
# Size       Avg Latency(us)
1                       0.49
2                       0.49
4                       0.50
8                       0.51
16                      0.50
32                      0.50
64                      0.50
128                     0.52
256                     0.57
512                     0.74
1024                    0.71
2048                    0.90
4096                    1.30
8192                    2.00
16384                   3.16
32768                   5.68
65536                   9.24
131072                 17.08
262144                 32.92
524288                 60.62
1048576               164.06

# OSU MPI_Bcast (data-varying) v7.0
# Size       Avg Latency(us)
1                       0.54
2                       0.54
4                       0.54
8                       0.54
16                      0.54
32                      0.54
64                      0.54
128                     0.57
256                     0.60
512                     0.73
1024                    0.72
2048                    0.92
4096                    1.30
8192                    2.02
16384                   3.20
32768                   5.78
65536                   9.21
131072                 17.23
262144                 33.04
524288                 60.18
1048576               162.19

# OSU MPI_Bcast (data-varying) v7.0
# Size       Avg Latency(us)
1                       0.52
2                       0.53
4                       0.52
8                       0.52
16                      0.52
32                      0.55
64                      0.54
128                     0.56
256                     0.60
512                     0.72
1024                    0.72
2048                    0.93
4096                    1.30
8192                    2.02
16384                   3.19
32768                   5.67
65536                   9.16
131072                 17.01
262144                 32.63
524288                 59.91
1048576               165.85

# OSU MPI_Bcast (data-varying) v7.0
# Size       Avg Latency(us)
1                       0.51
2                       0.50
4                       0.51
8                       0.51
16                      0.51
32                      0.51
64                      0.50
128                     0.53
256                     0.55
512                     0.63
1024                    0.71
2048                    0.92
4096                    1.28
8192                    2.03
16384                   3.24
32768                   5.67
65536                   9.17
131072                 17.03
262144                 32.61
524288                 57.90
1048576               162.94

# OSU MPI_Bcast (data-varying) v7.0
# Size       Avg Latency(us)
1                       0.51
2                       0.52
4                       0.51
8                       0.52
16                      0.52
32                      0.52
64                      0.52
128                     0.53
256                     0.55
512                     0.71
1024                    0.74
2048                    0.92
4096                    1.31
8192                    1.99
16384                   3.16
32768                   5.50
65536                   9.20
131072                 16.98
262144                 32.73
524288                 61.08
1048576               175.08

# OSU MPI_Bcast (data-varying) v7.0
# Size       Avg Latency(us)
1                       0.50
2                       0.51
4                       0.50
8                       0.50
16                      0.49
32                      0.50
64                      0.50
128                     0.52
256                     0.57
512                     0.64
1024                    0.73
2048                    0.92
4096                    1.30
8192                    2.01
16384                   3.17
32768                   5.54
65536                   9.15
131072                 16.83
262144                 32.45
524288                 61.27
1048576               171.11

# OSU MPI_Bcast (data-varying) v7.0
# Size       Avg Latency(us)
1                       0.52
2                       0.52
4                       0.53
8                       0.52
16                      0.53
32                      0.52
64                      0.52
128                     0.54
256                     0.57
512                     0.63
1024                    0.73
2048                    0.91
4096                    1.33
8192                    2.07
16384                   3.27
32768                   5.63
65536                   9.20
131072                 16.99
262144                 32.60
524288                 61.97
1048576               167.40

# OSU MPI_Bcast (data-varying) v7.0
# Size       Avg Latency(us)
1                       0.50
2                       0.50
4                       0.50
8                       0.49
16                      0.50
32                      0.50
64                      0.51
128                     0.52
256                     0.55
512                     0.66
1024                    0.71
2048                    0.89
4096                    1.30
8192                    2.01
16384                   3.24
32768                   5.56
65536                   9.22
131072                 16.98
262144                 32.82
524288                 60.52
1048576               174.30

# OSU MPI_Bcast (data-varying) v7.0
# Size       Avg Latency(us)
1                       0.51
2                       0.49
4                       0.47
8                       0.47
16                      0.52
32                      0.49
64                      0.52
128                     0.59
256                     0.63
512                     0.80
1024                    0.71
2048                    0.90
4096                    1.29
8192                    1.99
16384                   3.15
32768                   5.56
65536                   9.21
131072                 16.96
262144                 32.54
524288                 59.04
1048576               167.96

# OSU MPI_Bcast (data-varying) v7.0
# Size       Avg Latency(us)
1                       0.51
2                       0.51
4                       0.51
8                       0.51
16                      0.52
32                      0.52
64                      0.52
128                     0.54
256                     0.56
512                     0.65
1024                    0.72
2048                    0.91
4096                    1.29
8192                    2.05
16384                   3.21
32768                   5.65
65536                   9.09
131072                 16.80
262144                 32.57
524288                 61.71
1048576               173.32

# OSU MPI_Bcast (data-varying) v7.0
# Size       Avg Latency(us)
1                       0.52
2                       0.49
4                       0.50
8                       0.48
16                      0.48
32                      0.49
64                      0.48
128                     0.51
256                     0.57
512                     0.78
1024                    0.73
2048                    0.90
4096                    1.29
8192                    2.01
16384                   3.24
32768                   5.61
65536                   9.23
131072                 17.03
262144                 32.54
524288                 60.51
1048576               168.15

# OSU MPI_Bcast (data-varying) v7.0
# Size       Avg Latency(us)
1                       0.53
2                       0.52
4                       0.52
8                       0.52
16                      0.53
32                      0.53
64                      0.52
128                     0.55
256                     0.56
512                     0.66
1024                    0.73
2048                    0.90
4096                    1.30
8192                    2.00
16384                   3.24
32768                   5.59
65536                   9.18
131072                 17.05
262144                 32.83
524288                 60.58
1048576               168.09

# OSU MPI_Bcast (data-varying) v7.0
# Size       Avg Latency(us)
1                       0.50
2                       0.51
4                       0.52
8                       0.52
16                      0.51
32                      0.51
64                      0.51
128                     0.55
256                     0.57
512                     0.74
1024                    0.74
2048                    0.93
4096                    1.33
8192                    2.05
16384                   3.21
32768                   5.66
65536                   9.15
131072                 17.02
262144                 32.64
524288                 60.18
1048576               162.47

# OSU MPI_Bcast (data-varying) v7.0
# Size       Avg Latency(us)
1                       0.53
