
# OSU MPI_Bcast (data-varying) v7.0
# Size       Avg Latency(us)
1                       0.29
2                       0.29
4                       0.29
8                       0.29
16                      0.30
32                      0.29
64                      0.29
128                     0.30
256                     0.37
512                     0.53
1024                    0.64
2048                    0.80
4096                    1.12
8192                    1.74
16384                   3.01
32768                   5.40
65536                   9.23
131072                 17.19
262144                 33.08
524288                 59.11
1048576               165.22

# OSU MPI_Bcast (data-varying) v7.0
# Size       Avg Latency(us)
1                       0.30
2                       0.30
4                       0.30
8                       0.29
16                      0.30
32                      0.30
64                      0.31
128                     0.31
256                     0.38
512                     0.54
1024                    0.63
2048                    0.79
4096                    1.12
8192                    1.73
16384                   2.97
32768                   5.42
65536                   9.15
131072                 17.06
262144                 32.70
524288                 58.27
1048576               168.40

# OSU MPI_Bcast (data-varying) v7.0
# Size       Avg Latency(us)
1                       0.28
2                       0.27
4                       0.28
8                       0.28
16                      0.28
32                      0.28
64                      0.28
128                     0.30
256                     0.36
512                     0.52
1024                    0.64
2048                    0.80
4096                    1.10
8192                    1.75
16384                   3.05
32768                   5.50
65536                   9.14
131072                 16.90
262144                 32.74
524288                 60.42
1048576               180.45

# OSU MPI_Bcast (data-varying) v7.0
# Size       Avg Latency(us)
1                       0.30
2                       0.29
4                       0.29
8                       0.29
16                      0.30
32                      0.30
64                      0.30
128                     0.32
256                     0.39
512                     0.56
1024                    0.66
2048                    0.82
4096                    1.15
8192                    1.76
16384                   3.05
32768                   5.42
65536                   9.36
131072                 17.29
262144                 33.14
524288                 59.95
1048576               165.90

# OSU MPI_Bcast (data-varying) v7.0
# Size       Avg Latency(us)
1                       0.30
2                       0.31
4                       0.30
8                       0.30
16                      0.30
32                      0.30
64                      0.31
128                     0.30
256                     0.37
512                     0.54
1024                    0.65
2048                    0.82
4096                    1.12
8192                    1.74
16384                   2.99
32768                   5.29
65536                   9.11
131072                 16.95
262144                 32.55
524288                 59.78
1048576               163.59

# OSU MPI_Bcast (data-varying) v7.0
# Size       Avg Latency(us)
1                       0.29
2                       0.29
4                       0.29
8                       0.29
16                      0.30
32                      0.29
64                      0.29
128                     0.29
256                     0.38
512                     0.54
1024                    0.63
2048                    0.80
4096                    1.10
8192                    1.75
16384                   3.00
32768                   5.48
65536                   9.18
131072                 17.07
262144                 32.57
524288                 59.88
1048576               170.09

# OSU MPI_Bcast (data-varying) v7.0
# Size       Avg Latency(us)
1                       0.30
2                       0.31
4                       0.30
8                       0.30
16                      0.30
32                      0.30
64                      0.30
128                     0.29
256                     0.39
512                     0.53
1024                    0.64
2048                    0.79
4096                    1.12
8192                    1.74
16384                   3.00
32768                   5.38
65536                   9.13
131072                 16.94
262144                 32.55
524288                 60.90
1048576               162.09

# OSU MPI_Bcast (data-varying) v7.0
# Size       Avg Latency(us)
1                       0.31
2                       0.31
4                       0.30
8                       0.31
16                      0.31
32                      0.31
64                      0.32
128                     0.31
256                     0.38
512                     0.55
1024                    0.65
2048                    0.81
4096                    1.16
8192                    1.76
16384                   3.01
32768                   5.52
65536                   9.12
131072                 16.95
262144                 32.72
524288                 60.55
1048576               169.46

# OSU MPI_Bcast (data-varying) v7.0
# Size       Avg Latency(us)
1                       0.30
2                       0.30
4                       0.30
8                       0.30
16                      0.29
32                      0.29
64                      0.29
128                     0.36
256                     0.41
512                     0.53
1024                    0.61
2048                    0.78
4096                    1.11
