
# OSU MPI_Bcast (data-varying) v7.0
# Size       Avg Latency(us)
1                       0.32
2                       0.32
4                       0.31
8                       0.32
16                      0.31
32                      0.31
64                      0.32
128                     0.33
256                     0.38
512                     0.53
1024                    0.64
2048                    0.81
4096                    1.29
8192                    2.06
16384                   3.19
32768                   5.66
65536                   9.24
131072                 16.98
262144                 32.58
524288                 59.33
1048576               159.76

# OSU MPI_Bcast (data-varying) v7.0
# Size       Avg Latency(us)
1                       0.30
2                       0.30
4                       0.30
8                       0.30
16                      0.30
32                      0.30
64                      0.30
128                     0.30
256                     0.36
512                     0.55
1024                    0.66
2048                    0.81
4096                    1.31
8192                    2.09
16384                   3.23
32768                   5.70
65536                   9.19
131072                 17.13
262144                 32.85
524288                 60.17
1048576               173.59

# OSU MPI_Bcast (data-varying) v7.0
# Size       Avg Latency(us)
1                       0.32
2                       0.32
4                       0.32
8                       0.31
16                      0.32
32                      0.32
64                      0.32
128                     0.31
256                     0.38
512                     0.55
1024                    0.63
2048                    0.80
4096                    1.30
8192                    2.06
16384                   3.29
32768                   5.67
65536                   9.27
131072                 17.09
262144                 32.54
524288                 61.53
1048576               163.20

# OSU MPI_Bcast (data-varying) v7.0
# Size       Avg Latency(us)
1                       0.33
2                       0.31
4                       0.31
8                       0.31
16                      0.32
32                      0.31
64                      0.32
128                     0.32
256                     0.38
512                     0.55
1024                    0.64
2048                    0.79
4096                    1.29
8192                    2.03
16384                   3.20
32768                   5.64
65536                   9.19
131072                 17.01
262144                 32.69
524288                 59.74
1048576               171.52

# OSU MPI_Bcast (data-varying) v7.0
# Size       Avg Latency(us)
1                       0.31
2                       0.32
4                       0.31
8                       0.31
16                      0.32
32                      0.32
64                      0.31
128                     0.32
256                     0.37
512                     0.56
1024                    0.63
2048                    0.80
4096                    1.31
8192                    2.05
16384                   3.21
32768                   5.68
65536                   9.27
131072                 16.87
262144                 32.48
524288                 61.35
1048576               169.31

# OSU MPI_Bcast (data-varying) v7.0
# Size       Avg Latency(us)
1                       0.31
2                       0.31
4                       0.32
8                       0.32
16                      0.31
32                      0.31
64                      0.31
128                     0.31
256                     0.41
512                     0.56
1024                    0.64
2048                    0.81
4096                    1.31
8192                    2.08
16384                   3.21
32768                   5.73
65536                   9.25
