
# OSU MPI_Bcast (data-varying) v7.0
# Size       Avg Latency(us)
root = 0
000: 1 2.00
001: 1 0.91
002: 1 0.94
003: 1 0.93
004: 1 0.91
005: 1 0.92
006: 1 0.92
007: 1 0.91
008: 1 0.92
009: 1 0.92
010: 1 0.92
011: 1 0.91
012: 1 0.93
013: 1 0.91
014: 1 0.93
015: 1 0.92
016: 1 0.92
017: 1 0.91
018: 1 0.92
019: 1 0.92
020: 1 0.92
021: 1 0.92
022: 1 0.90
023: 1 0.92
024: 1 0.46
1                       0.94
000: 2 2.04
001: 2 0.90
002: 2 0.92
003: 2 0.90
004: 2 0.92
005: 2 0.90
006: 2 0.91
007: 2 0.92
008: 2 0.89
009: 2 0.92
010: 2 0.89
011: 2 0.91
012: 2 0.91
013: 2 0.90
014: 2 0.88
015: 2 0.92
016: 2 0.92
017: 2 0.91
018: 2 0.91
019: 2 0.91
020: 2 0.91
021: 2 0.91
022: 2 0.93
023: 2 0.90
024: 2 0.44
2                       0.94
000: 4 1.97
001: 4 0.88
002: 4 0.88
003: 4 0.89
004: 4 0.89
005: 4 0.88
006: 4 0.89
007: 4 0.88
008: 4 0.89
009: 4 0.89
010: 4 0.89
011: 4 0.90
012: 4 0.87
013: 4 0.89
014: 4 0.90
015: 4 0.89
016: 4 0.91
017: 4 0.88
018: 4 0.91
019: 4 0.89
020: 4 0.89
021: 4 0.90
022: 4 0.92
023: 4 0.89
024: 4 0.42
4                       0.92
000: 8 2.00
001: 8 0.90
002: 8 0.90
003: 8 0.91
004: 8 0.91
005: 8 0.90
006: 8 0.89
007: 8 0.91
008: 8 0.90
009: 8 0.90
010: 8 0.89
011: 8 0.91
012: 8 0.92
013: 8 0.88
014: 8 0.90
015: 8 0.90
016: 8 0.91
017: 8 0.90
018: 8 0.91
019: 8 0.91
020: 8 0.93
021: 8 0.91
022: 8 0.92
023: 8 0.89
024: 8 0.45
8                       0.93
000: 16 1.96
001: 16 0.89
002: 16 0.89
003: 16 0.87
004: 16 0.89
005: 16 0.88
006: 16 0.90
007: 16 0.88
008: 16 0.89
009: 16 0.88
010: 16 0.89
011: 16 0.89
012: 16 0.87
013: 16 0.89
014: 16 0.89
015: 16 0.90
016: 16 0.90
017: 16 0.90
018: 16 0.89
019: 16 0.87
020: 16 0.90
021: 16 0.87
022: 16 0.89
023: 16 0.90
024: 16 0.43
16                      0.91
000: 32 2.03
001: 32 0.96
002: 32 0.95
003: 32 0.95
004: 32 0.93
005: 32 0.94
006: 32 0.95
007: 32 0.95
008: 32 0.94
009: 32 0.95
010: 32 0.95
011: 32 0.94
012: 32 0.95
013: 32 0.93
014: 32 0.94
015: 32 0.96
016: 32 0.93
017: 32 0.94
018: 32 0.96
019: 32 0.93
020: 32 0.96
021: 32 0.93
022: 32 0.94
023: 32 0.96
024: 32 0.46
32                      0.97
000: 64 1.96
001: 64 0.89
002: 64 0.90
003: 64 0.91
004: 64 0.91
005: 64 0.90
006: 64 0.90
007: 64 0.88
008: 64 0.90
009: 64 0.89
010: 64 0.91
011: 64 0.89
012: 64 0.88
013: 64 0.92
014: 64 0.91
015: 64 0.91
016: 64 0.90
017: 64 0.90
018: 64 0.90
019: 64 0.92
020: 64 0.91
021: 64 0.91
022: 64 0.92
023: 64 0.91
024: 64 0.44
64                      0.93
000: 128 1.96
001: 128 0.89
002: 128 0.88
003: 128 0.87
004: 128 0.88
005: 128 0.90
006: 128 0.88
007: 128 0.90
008: 128 0.88
009: 128 0.89
010: 128 0.89
011: 128 0.89
012: 128 0.89
013: 128 0.87
014: 128 0.86
015: 128 0.88
016: 128 0.87
017: 128 0.87
018: 128 0.89
019: 128 0.89
020: 128 0.90
021: 128 0.87
022: 128 0.91
023: 128 0.88
024: 128 0.41
128                     0.91
000: 256 2.04
001: 256 0.94
002: 256 0.91
003: 256 0.92
004: 256 0.92
005: 256 0.92
006: 256 0.92
007: 256 0.91
008: 256 0.94
009: 256 0.92
010: 256 0.94
011: 256 0.92
012: 256 0.94
013: 256 0.92
014: 256 0.93
015: 256 0.93
016: 256 0.92
017: 256 0.91
018: 256 0.94
