
# OSU MPI_Bcast (data-varying) v7.0
# Size       Avg Latency(us)
root = 0
000: 1 2.27
001: 1 0.89
002: 1 0.89
003: 1 0.89
004: 1 0.90
005: 1 0.92
006: 1 0.88
007: 1 0.89
008: 1 0.90
009: 1 0.89
010: 1 0.89
011: 1 0.89
012: 1 0.88
013: 1 0.89
014: 1 0.88
015: 1 0.90
016: 1 0.90
017: 1 0.90
018: 1 0.89
019: 1 0.88
020: 1 0.89
021: 1 0.89
022: 1 0.90
023: 1 0.88
024: 1 0.44
025: 1 0.44
026: 1 0.45
027: 1 0.44
028: 1 0.45
029: 1 0.45
030: 1 0.45
031: 1 0.44
032: 1 0.44
033: 1 0.44
034: 1 0.45
035: 1 0.45
036: 1 0.45
037: 1 0.44
038: 1 0.44
1                       0.76
000: 2 2.30
001: 2 0.97
002: 2 0.93
003: 2 0.98
004: 2 0.96
005: 2 0.98
006: 2 0.96
007: 2 0.94
008: 2 0.94
009: 2 0.98
010: 2 0.97
011: 2 0.95
012: 2 0.94
013: 2 0.95
014: 2 0.95
015: 2 0.96
016: 2 0.97
017: 2 0.98
018: 2 0.97
019: 2 0.94
020: 2 0.96
021: 2 0.94
022: 2 0.96
023: 2 0.96
024: 2 0.50
025: 2 0.50
026: 2 0.51
027: 2 0.50
028: 2 0.50
029: 2 0.51
030: 2 0.50
031: 2 0.50
032: 2 0.50
033: 2 0.51
034: 2 0.50
035: 2 0.50
036: 2 0.52
037: 2 0.49
038: 2 0.51
2                       0.82
000: 4 2.23
001: 4 0.90
002: 4 0.89
003: 4 0.89
004: 4 0.90
005: 4 0.91
006: 4 0.89
007: 4 0.89
008: 4 0.88
009: 4 0.89
010: 4 0.90
011: 4 0.91
012: 4 0.91
013: 4 0.90
014: 4 0.90
015: 4 0.90
016: 4 0.90
017: 4 0.90
018: 4 0.89
019: 4 0.91
020: 4 0.90
021: 4 0.88
022: 4 0.90
023: 4 0.91
024: 4 0.46
025: 4 0.46
026: 4 0.47
027: 4 0.46
028: 4 0.46
029: 4 0.46
030: 4 0.47
031: 4 0.45
032: 4 0.45
033: 4 0.45
034: 4 0.46
035: 4 0.47
036: 4 0.47
037: 4 0.46
038: 4 0.45
4                       0.76
000: 8 2.19
001: 8 0.84
002: 8 0.85
003: 8 0.84
004: 8 0.88
005: 8 0.87
006: 8 0.88
007: 8 0.86
008: 8 0.83
009: 8 0.87
010: 8 0.85
011: 8 0.87
012: 8 0.86
013: 8 0.85
014: 8 0.87
015: 8 0.86
016: 8 0.85
017: 8 0.86
018: 8 0.87
019: 8 0.85
020: 8 0.87
021: 8 0.86
022: 8 0.85
023: 8 0.86
024: 8 0.42
025: 8 0.43
026: 8 0.44
027: 8 0.43
028: 8 0.43
029: 8 0.43
030: 8 0.43
031: 8 0.42
032: 8 0.43
033: 8 0.43
034: 8 0.43
035: 8 0.43
036: 8 0.44
037: 8 0.42
038: 8 0.43
8                       0.73
000: 16 2.18
001: 16 0.85
002: 16 0.85
003: 16 0.87
004: 16 0.86
005: 16 0.86
006: 16 0.88
007: 16 0.85
008: 16 0.86
009: 16 0.85
010: 16 0.85
011: 16 0.87
012: 16 0.86
013: 16 0.86
014: 16 0.87
015: 16 0.87
016: 16 0.87
017: 16 0.88
018: 16 0.84
019: 16 0.86
020: 16 0.88
021: 16 0.86
022: 16 0.85
023: 16 0.85
024: 16 0.44
025: 16 0.43
026: 16 0.44
027: 16 0.44
028: 16 0.43
029: 16 0.43
030: 16 0.43
031: 16 0.42
032: 16 0.43
033: 16 0.44
034: 16 0.44
035: 16 0.44
036: 16 0.44
037: 16 0.43
038: 16 0.43
16                      0.73
000: 32 2.21
001: 32 0.93
002: 32 0.90
003: 32 0.92
004: 32 0.92
005: 32 0.91
006: 32 0.92
007: 32 0.91
008: 32 0.91
009: 32 0.92
010: 32 0.92
011: 32 0.90
012: 32 0.92
013: 32 0.91
014: 32 0.89
015: 32 0.91
016: 32 0.94
017: 32 0.94
018: 32 0.92
019: 32 0.90
020: 32 0.90
021: 32 0.91
022: 32 0.90
023: 32 0.92
024: 32 0.48
025: 32 0.50
026: 32 0.50
027: 32 0.49
028: 32 0.49
029: 32 0.49
030: 32 0.48
031: 32 0.47
032: 32 0.48
033: 32 0.48
034: 32 0.49
035: 32 0.48
036: 32 0.49
037: 32 0.48
038: 32 0.49
32                      0.78
000: 64 2.17
001: 64 0.86
002: 64 0.85
003: 64 0.85
004: 64 0.86
005: 64 0.85
006: 64 0.86
007: 64 0.85
008: 64 0.86
009: 64 0.85
010: 64 0.84
011: 64 0.86
012: 64 0.85
013: 64 0.85
014: 64 0.84
015: 64 0.86
016: 64 0.85
017: 64 0.86
018: 64 0.85
019: 64 0.84
020: 64 0.86
021: 64 0.85
022: 64 0.85
023: 64 0.85
024: 64 0.42
025: 64 0.44
026: 64 0.44
027: 64 0.45
028: 64 0.44
029: 64 0.44
030: 64 0.44
031: 64 0.42
032: 64 0.42
033: 64 0.43
034: 64 0.44
035: 64 0.43
036: 64 0.45
037: 64 0.44
038: 64 0.43
64                      0.73
000: 128 2.24
001: 128 0.89
002: 128 0.86
003: 128 0.92
004: 128 0.89
005: 128 0.89
006: 128 0.89
007: 128 0.89
008: 128 0.86
009: 128 0.90
010: 128 0.89
011: 128 0.87
012: 128 0.89
013: 128 0.91
014: 128 0.88
015: 128 0.90
016: 128 0.89
017: 128 0.91
018: 128 0.89
019: 128 0.89
020: 128 0.88
021: 128 0.90
022: 128 0.88
023: 128 0.90
024: 128 0.47
025: 128 0.49
026: 128 0.48
027: 128 0.49
028: 128 0.48
029: 128 0.49
030: 128 0.49
031: 128 0.48
032: 128 0.48
033: 128 0.48
034: 128 0.49
035: 128 0.48
036: 128 0.48
037: 128 0.49
038: 128 0.47
128                     0.77
000: 256 2.29
001: 256 0.93
002: 256 0.92
003: 256 0.94
004: 256 0.94
005: 256 0.95
006: 256 0.95
007: 256 0.94
008: 256 0.95
009: 256 0.93
010: 256 0.94
011: 256 0.94
012: 256 0.92
013: 256 0.94
014: 256 0.92
015: 256 0.93
016: 256 0.96
017: 256 0.95
018: 256 0.93
019: 256 0.95
020: 256 0.93
021: 256 0.92
022: 256 0.94
023: 256 0.95
024: 256 0.51
025: 256 0.52
026: 256 0.52
027: 256 0.52
028: 256 0.51
029: 256 0.52
030: 256 0.51
031: 256 0.50
032: 256 0.51
033: 256 0.50
034: 256 0.51
035: 256 0.51
036: 256 0.51
037: 256 0.52
038: 256 0.50
256                     0.81
000: 512 2.53
001: 512 1.24
002: 512 1.21
003: 512 1.26
004: 512 1.26
005: 512 1.22
006: 512 1.24
007: 512 1.21
008: 512 1.24
009: 512 1.24
010: 512 1.26
011: 512 1.27
012: 512 1.24
013: 512 1.21
014: 512 1.26
015: 512 1.23
016: 512 1.22
017: 512 1.24
018: 512 1.26
019: 512 1.23
020: 512 1.26
021: 512 1.24
022: 512 1.25
023: 512 1.25
024: 512 0.72
025: 512 0.73
026: 512 0.73
027: 512 0.73
028: 512 0.72
029: 512 0.73
030: 512 0.73
031: 512 0.72
032: 512 0.73
033: 512 0.73
034: 512 0.72
035: 512 0.73
036: 512 0.74
037: 512 0.72
038: 512 0.73
512                     1.08
000: 1024 2.66
001: 1024 1.42
002: 1024 1.42
003: 1024 1.42
004: 1024 1.45
005: 1024 1.44
006: 1024 1.45
007: 1024 1.41
008: 1024 1.44
009: 1024 1.44
010: 1024 1.37
011: 1024 1.43
012: 1024 1.43
013: 1024 1.44
014: 1024 1.46
015: 1024 1.43
016: 1024 1.45
017: 1024 1.45
018: 1024 1.42
019: 1024 1.43
020: 1024 1.44
021: 1024 1.44
022: 1024 1.44
023: 1024 1.43
024: 1024 0.76
025: 1024 0.76
026: 1024 0.77
027: 1024 0.76
028: 1024 0.76
029: 1024 0.77
030: 1024 0.76
031: 1024 0.77
032: 1024 0.77
033: 1024 0.76
034: 1024 0.76
035: 1024 0.76
036: 1024 0.78
037: 1024 0.76
038: 1024 0.75
1024                    1.21
000: 2048 2.67
001: 2048 1.49
002: 2048 1.49
003: 2048 1.50
004: 2048 1.49
005: 2048 1.51
006: 2048 1.48
007: 2048 1.49
008: 2048 1.51
009: 2048 1.48
010: 2048 1.48
011: 2048 1.51
012: 2048 1.46
013: 2048 1.48
014: 2048 1.49
015: 2048 1.51
016: 2048 1.47
017: 2048 1.51
018: 2048 1.46
019: 2048 1.46
020: 2048 1.50
021: 2048 1.49
022: 2048 1.50
023: 2048 1.47
