
# OSU MPI_Bcast (data-varying) v7.0
# Size       Avg Latency(us)
root = 0
000: 1 2.29
001: 1 0.86
002: 1 0.87
003: 1 0.85
004: 1 0.85
005: 1 0.83
006: 1 0.86
007: 1 0.85
008: 1 0.85
009: 1 0.86
010: 1 0.85
011: 1 0.85
012: 1 0.85
013: 1 0.86
014: 1 0.85
015: 1 0.88
016: 1 0.85
017: 1 0.85
018: 1 0.85
019: 1 0.86
020: 1 0.87
021: 1 0.87
022: 1 0.84
023: 1 0.85
024: 1 0.45
025: 1 0.45
026: 1 0.44
027: 1 0.45
028: 1 0.45
029: 1 0.45
030: 1 0.45
031: 1 0.46
032: 1 0.46
033: 1 0.45
034: 1 0.45
035: 1 0.45
036: 1 0.45
037: 1 0.45
038: 1 0.46
039: 1 0.45
040: 1 0.44
041: 1 0.45
042: 1 0.46
043: 1 0.46
1                       0.70
000: 2 2.33
001: 2 0.89
002: 2 0.89
003: 2 0.90
004: 2 0.89
005: 2 0.90
006: 2 0.89
007: 2 0.88
008: 2 0.90
009: 2 0.90
010: 2 0.90
011: 2 0.90
012: 2 0.93
013: 2 0.90
014: 2 0.88
015: 2 0.90
016: 2 0.90
017: 2 0.92
018: 2 0.89
019: 2 0.90
020: 2 0.89
021: 2 0.88
022: 2 0.91
023: 2 0.89
024: 2 0.48
025: 2 0.47
026: 2 0.47
027: 2 0.47
028: 2 0.48
029: 2 0.47
030: 2 0.46
031: 2 0.48
032: 2 0.49
033: 2 0.48
034: 2 0.46
035: 2 0.46
036: 2 0.48
037: 2 0.48
038: 2 0.49
039: 2 0.47
040: 2 0.46
041: 2 0.47
042: 2 0.49
043: 2 0.48
2                       0.74
000: 4 2.30
001: 4 0.85
002: 4 0.86
003: 4 0.88
004: 4 0.87
005: 4 0.88
006: 4 0.90
007: 4 0.86
008: 4 0.85
009: 4 0.87
010: 4 0.88
011: 4 0.87
012: 4 0.90
013: 4 0.87
014: 4 0.88
015: 4 0.87
016: 4 0.86
017: 4 0.89
018: 4 0.90
019: 4 0.89
020: 4 0.88
021: 4 0.89
022: 4 0.88
023: 4 0.87
024: 4 0.48
025: 4 0.47
026: 4 0.48
027: 4 0.48
028: 4 0.48
029: 4 0.47
030: 4 0.48
031: 4 0.48
032: 4 0.48
033: 4 0.46
034: 4 0.48
035: 4 0.47
036: 4 0.47
037: 4 0.47
038: 4 0.48
039: 4 0.48
040: 4 0.47
041: 4 0.47
042: 4 0.48
043: 4 0.47
4                       0.73
000: 8 2.33
001: 8 0.88
002: 8 0.90
003: 8 0.90
004: 8 0.88
005: 8 0.88
006: 8 0.90
007: 8 0.89
008: 8 0.89
009: 8 0.88
010: 8 0.89
011: 8 0.90
012: 8 0.89
013: 8 0.88
014: 8 0.89
015: 8 0.90
016: 8 0.89
017: 8 0.91
018: 8 0.89
019: 8 0.89
020: 8 0.89
021: 8 0.88
022: 8 0.87
023: 8 0.89
024: 8 0.48
025: 8 0.47
026: 8 0.47
027: 8 0.48
028: 8 0.48
029: 8 0.48
030: 8 0.48
031: 8 0.48
032: 8 0.48
033: 8 0.48
034: 8 0.48
035: 8 0.48
036: 8 0.48
037: 8 0.48
038: 8 0.49
039: 8 0.49
040: 8 0.47
041: 8 0.48
042: 8 0.48
043: 8 0.48
8                       0.74
000: 16 2.31
001: 16 0.85
002: 16 0.88
003: 16 0.88
004: 16 0.88
005: 16 0.88
006: 16 0.89
007: 16 0.88
008: 16 0.89
009: 16 0.86
010: 16 0.87
011: 16 0.89
012: 16 0.88
013: 16 0.86
014: 16 0.86
015: 16 0.87
016: 16 0.88
017: 16 0.87
018: 16 0.89
019: 16 0.88
020: 16 0.90
021: 16 0.89
022: 16 0.88
023: 16 0.89
024: 16 0.47
025: 16 0.48
026: 16 0.47
027: 16 0.47
028: 16 0.46
029: 16 0.47
030: 16 0.46
031: 16 0.47
032: 16 0.46
033: 16 0.48
034: 16 0.47
035: 16 0.46
036: 16 0.46
037: 16 0.48
038: 16 0.47
039: 16 0.46
040: 16 0.47
041: 16 0.46
042: 16 0.47
043: 16 0.47
16                      0.72
000: 32 2.37
001: 32 0.91
002: 32 0.93
003: 32 0.92
004: 32 0.91
005: 32 0.93
006: 32 0.92
007: 32 0.93
008: 32 0.92
009: 32 0.90
010: 32 0.90
011: 32 0.92
012: 32 0.93
013: 32 0.92
014: 32 0.92
015: 32 0.92
016: 32 0.90
017: 32 0.90
018: 32 0.92
019: 32 0.90
020: 32 0.91
021: 32 0.92
022: 32 0.92
023: 32 0.92
024: 32 0.48
025: 32 0.48
026: 32 0.50
027: 32 0.49
028: 32 0.50
029: 32 0.49
030: 32 0.48
031: 32 0.49
032: 32 0.48
033: 32 0.50
034: 32 0.48
035: 32 0.47
036: 32 0.48
037: 32 0.49
