
# OSU MPI_Bcast (data-varying) v7.0
# Size       Avg Latency(us)
root = 0
019: 16384 2.49
020: 16384 2.47
021: 16384 2.42
16384                   2.50
000: 32768 5.35
001: 32768 4.55
002: 32768 4.36
003: 32768 4.54
004: 32768 4.53
005: 32768 4.43
006: 32768 4.55
007: 32768 4.46
008: 32768 4.53
009: 32768 4.10
010: 32768 4.54
011: 32768 4.51
012: 32768 4.52
013: 32768 4.54
014: 32768 4.56
015: 32768 4.50
016: 32768 4.56
017: 32768 4.55
018: 32768 4.15
019: 32768 4.52
020: 32768 4.51
021: 32768 4.11
32768                   4.50
000: 65536 8.25
001: 65536 7.44
002: 65536 7.17
003: 65536 7.49
004: 65536 7.45
005: 65536 6.66
006: 65536 7.50
007: 65536 7.50
008: 65536 7.41
009: 65536 6.21
010: 65536 7.48
011: 65536 7.46
012: 65536 7.51
013: 65536 7.48
014: 65536 7.40
015: 65536 7.47
016: 65536 7.45
017: 65536 7.16
018: 65536 6.27
019: 65536 7.45
020: 65536 7.45
021: 65536 6.20
65536                   7.27
000: 131072 14.09
001: 131072 13.24
002: 131072 12.69
003: 131072 13.25
004: 131072 13.16
005: 131072 11.68
006: 131072 13.36
007: 131072 13.23
008: 131072 11.79
009: 131072 10.12
010: 131072 13.25
011: 131072 13.29
012: 131072 13.15
013: 131072 13.23
014: 131072 10.81
015: 131072 13.18
016: 131072 13.14
017: 131072 12.31
018: 131072 10.13
019: 131072 13.12
020: 131072 13.10
021: 131072 10.08
131072                 12.52
000: 262144 24.11
001: 262144 23.19
002: 262144 23.05
003: 262144 23.12
004: 262144 22.44
005: 262144 21.57
006: 262144 23.41
007: 262144 22.48
008: 262144 18.67
009: 262144 18.35
010: 262144 22.57
011: 262144 23.42
012: 262144 23.25
013: 262144 23.33
014: 262144 18.92
015: 262144 23.05
016: 262144 23.18
017: 262144 21.91
018: 262144 18.36
019: 262144 20.97
020: 262144 22.34
021: 262144 18.35
262144                 21.82
000: 524288 46.17
001: 524288 43.38
002: 524288 44.36
003: 524288 45.50
004: 524288 41.06
005: 524288 42.52
006: 524288 43.00
007: 524288 43.59
008: 524288 40.83
009: 524288 40.80
010: 524288 41.42
011: 524288 44.99
012: 524288 44.61
013: 524288 40.83
014: 524288 42.04
015: 524288 43.26
016: 524288 44.68
017: 524288 40.85
018: 524288 40.80
019: 524288 40.85
020: 524288 42.68
021: 524288 40.90
524288                 42.69
000: 1048576 113.68
001: 1048576 112.80
002: 1048576 112.75
003: 1048576 112.76
004: 1048576 112.46
005: 1048576 112.72
006: 1048576 112.69
007: 1048576 112.63
008: 1048576 112.74
009: 1048576 112.41
010: 1048576 112.77
011: 1048576 112.79
012: 1048576 112.78
013: 1048576 112.84
014: 1048576 112.53
015: 1048576 112.52
016: 1048576 112.80
017: 1048576 112.57
018: 1048576 112.31
019: 1048576 112.78
020: 1048576 112.68
021: 1048576 112.50
1048576               112.70

# OSU MPI_Bcast (data-varying) v7.0
# Size       Avg Latency(us)
root = 0
000: 1 0.87
001: 1 0.17
002: 1 0.17
003: 1 0.16
004: 1 0.17
005: 1 0.17
006: 1 0.17
007: 1 0.16
008: 1 0.16
009: 1 0.17
010: 1 0.17
011: 1 0.17
012: 1 0.16
013: 1 0.16
014: 1 0.16
015: 1 0.16
016: 1 0.16
017: 1 0.17
018: 1 0.17
