
# OSU MPI_Bcast (data-varying) v7.0
# Size       Avg Latency(us)
root = 0
000: 1 0.63
001: 1 0.17
002: 1 0.18
003: 1 0.18
004: 1 0.18
005: 1 0.16
006: 1 0.17
007: 1 0.18
008: 1 0.18
009: 1 0.17
010: 1 0.18
1                       0.22
000: 2 0.63
001: 2 0.16
002: 2 0.17
003: 2 0.16
004: 2 0.16
005: 2 0.16
006: 2 0.16
007: 2 0.16
008: 2 0.17
009: 2 0.16
010: 2 0.16
2                       0.21
000: 4 0.61
001: 4 0.16
002: 4 0.17
003: 4 0.16
004: 4 0.16
005: 4 0.16
006: 4 0.16
007: 4 0.17
008: 4 0.17
009: 4 0.17
010: 4 0.16
4                       0.21
000: 8 0.62
001: 8 0.17
002: 8 0.16
003: 8 0.16
004: 8 0.16
005: 8 0.16
006: 8 0.16
007: 8 0.17
008: 8 0.16
009: 8 0.16
010: 8 0.16
8                       0.20
000: 16 0.63
001: 16 0.16
002: 16 0.17
003: 16 0.16
004: 16 0.16
005: 16 0.16
006: 16 0.16
007: 16 0.16
008: 16 0.16
009: 16 0.16
010: 16 0.16
16                      0.20
000: 32 0.63
001: 32 0.17
002: 32 0.17
003: 32 0.17
004: 32 0.17
005: 32 0.18
006: 32 0.17
007: 32 0.18
008: 32 0.16
009: 32 0.17
010: 32 0.17
32                      0.21
000: 64 0.67
001: 64 0.17
002: 64 0.17
003: 64 0.17
004: 64 0.16
005: 64 0.17
006: 64 0.17
007: 64 0.17
008: 64 0.17
009: 64 0.17
010: 64 0.17
64                      0.21
000: 128 0.64
001: 128 0.19
002: 128 0.19
003: 128 0.19
004: 128 0.19
005: 128 0.19
006: 128 0.18
007: 128 0.19
008: 128 0.19
009: 128 0.19
010: 128 0.19
128                     0.23
000: 256 0.68
001: 256 0.24
002: 256 0.24
003: 256 0.24
004: 256 0.23
005: 256 0.22
006: 256 0.24
007: 256 0.24
008: 256 0.24
009: 256 0.24
010: 256 0.24
256                     0.28
000: 512 0.77
001: 512 0.29
002: 512 0.29
003: 512 0.28
004: 512 0.28
005: 512 0.28
006: 512 0.29
007: 512 0.28
008: 512 0.28
009: 512 0.29
010: 512 0.29
512                     0.33
000: 1024 0.91
001: 1024 0.37
002: 1024 0.38
003: 1024 0.37
004: 1024 0.37
005: 1024 0.36
006: 1024 0.37
007: 1024 0.37
008: 1024 0.37
009: 1024 0.37
010: 1024 0.37
1024                    0.42
000: 2048 1.02
001: 2048 0.52
002: 2048 0.52
003: 2048 0.51
004: 2048 0.52
005: 2048 0.52
006: 2048 0.51
007: 2048 0.51
008: 2048 0.51
009: 2048 0.52
010: 2048 0.52
2048                    0.56
000: 4096 1.29
001: 4096 0.76
002: 4096 0.74
003: 4096 0.74
004: 4096 0.73
005: 4096 0.75
006: 4096 0.75
007: 4096 0.74
008: 4096 0.74
009: 4096 0.75
010: 4096 0.74
4096                    0.79
000: 8192 1.73
001: 8192 1.23
002: 8192 1.23
003: 8192 1.23
004: 8192 1.25
005: 8192 1.23
006: 8192 1.25
007: 8192 1.24
008: 8192 1.26
009: 8192 1.23
010: 8192 1.23
8192                    1.28
000: 16384 2.94
001: 16384 2.38
002: 16384 2.38
003: 16384 2.38
004: 16384 2.37
005: 16384 2.39
006: 16384 2.39
007: 16384 2.36
008: 16384 2.37
009: 16384 2.36
010: 16384 2.38
16384                   2.43
000: 32768 4.44
001: 32768 3.92
002: 32768 3.90
003: 32768 3.88
004: 32768 3.87
005: 32768 3.89
006: 32768 3.91
007: 32768 3.90
008: 32768 3.92
009: 32768 3.92
010: 32768 3.92
32768                   3.95
000: 65536 6.96
001: 65536 6.42
002: 65536 6.38
003: 65536 6.40
004: 65536 6.39
005: 65536 6.40
006: 65536 6.39
007: 65536 6.38
008: 65536 6.39
009: 65536 6.38
010: 65536 6.40
65536                   6.44
000: 131072 11.84
001: 131072 11.35
002: 131072 11.32
003: 131072 11.31
004: 131072 11.32
005: 131072 11.32
006: 131072 11.33
007: 131072 11.32
008: 131072 11.32
009: 131072 11.32
010: 131072 11.34
131072                 11.37
000: 262144 22.26
001: 262144 21.77
002: 262144 21.77
003: 262144 21.75
004: 262144 21.76
005: 262144 21.76
006: 262144 21.75
007: 262144 21.75
008: 262144 21.74
009: 262144 21.76
010: 262144 21.76
262144                 21.80
000: 524288 42.27
001: 524288 41.74
002: 524288 41.71
003: 524288 41.71
004: 524288 41.67
005: 524288 41.72
006: 524288 41.73
007: 524288 41.73
008: 524288 41.71
009: 524288 41.69
010: 524288 41.72
524288                 41.76
000: 1048576 87.81
001: 1048576 87.27
002: 1048576 87.27
003: 1048576 87.23
004: 1048576 87.24
005: 1048576 87.23
006: 1048576 87.27
007: 1048576 87.26
008: 1048576 87.25
009: 1048576 87.22
010: 1048576 87.26
1048576                87.30

# OSU MPI_Bcast (data-varying) v7.0
# Size       Avg Latency(us)
root = 0
000: 1 0.63
001: 1 0.16
002: 1 0.17
003: 1 0.17
004: 1 0.17
005: 1 0.17
006: 1 0.17
007: 1 0.17
008: 1 0.17
009: 1 0.16
010: 1 0.17
1                       0.21
000: 2 0.61
001: 2 0.16
002: 2 0.17
003: 2 0.16
004: 2 0.17
005: 2 0.17
006: 2 0.17
007: 2 0.16
008: 2 0.16
009: 2 0.16
010: 2 0.17
2                       0.21
000: 4 0.62
001: 4 0.17
002: 4 0.17
003: 4 0.17
004: 4 0.17
005: 4 0.17
006: 4 0.17
007: 4 0.17
008: 4 0.17
009: 4 0.17
010: 4 0.17
4                       0.21
000: 8 0.62
001: 8 0.16
002: 8 0.17
003: 8 0.17
004: 8 0.17
005: 8 0.17
006: 8 0.17
007: 8 0.17
008: 8 0.17
009: 8 0.16
010: 8 0.17
8                       0.21
000: 16 0.62
001: 16 0.17
002: 16 0.17
003: 16 0.17
004: 16 0.17
005: 16 0.17
006: 16 0.17
007: 16 0.17
008: 16 0.17
009: 16 0.16
010: 16 0.17
16                      0.21
000: 32 0.62
001: 32 0.17
002: 32 0.17
003: 32 0.17
004: 32 0.17
005: 32 0.17
006: 32 0.17
007: 32 0.17
008: 32 0.17
009: 32 0.17
010: 32 0.17
32                      0.21
000: 64 0.60
001: 64 0.16
002: 64 0.17
003: 64 0.17
004: 64 0.17
005: 64 0.17
006: 64 0.17
007: 64 0.17
008: 64 0.17
009: 64 0.16
010: 64 0.17
64                      0.21
000: 128 0.63
001: 128 0.18
002: 128 0.18
003: 128 0.18
004: 128 0.18
005: 128 0.18
006: 128 0.19
007: 128 0.18
008: 128 0.18
009: 128 0.18
010: 128 0.18
128                     0.22
000: 256 0.67
001: 256 0.22
002: 256 0.22
003: 256 0.22
004: 256 0.22
005: 256 0.22
006: 256 0.22
007: 256 0.22
008: 256 0.22
009: 256 0.22
010: 256 0.22
256                     0.26
000: 512 0.75
001: 512 0.27
002: 512 0.27
003: 512 0.27
004: 512 0.27
005: 512 0.26
006: 512 0.26
007: 512 0.26
008: 512 0.27
009: 512 0.26
010: 512 0.26
512                     0.31
000: 1024 0.90
001: 1024 0.38
002: 1024 0.38
003: 1024 0.38
004: 1024 0.38
005: 1024 0.37
006: 1024 0.38
007: 1024 0.38
008: 1024 0.38
009: 1024 0.37
010: 1024 0.38
1024                    0.43
000: 2048 1.01
001: 2048 0.52
002: 2048 0.52
003: 2048 0.53
004: 2048 0.51
005: 2048 0.52
006: 2048 0.53
007: 2048 0.52
008: 2048 0.53
009: 2048 0.53
010: 2048 0.52
2048                    0.57
000: 4096 1.26
001: 4096 0.76
002: 4096 0.76
003: 4096 0.76
004: 4096 0.74
005: 4096 0.74
006: 4096 0.74
007: 4096 0.74
008: 4096 0.77
009: 4096 0.74
010: 4096 0.76
4096                    0.80
000: 8192 1.76
001: 8192 1.24
002: 8192 1.23
003: 8192 1.26
004: 8192 1.25
005: 8192 1.23
006: 8192 1.23
007: 8192 1.27
008: 8192 1.27
009: 8192 1.24
010: 8192 1.23
8192                    1.29
000: 16384 2.77
001: 16384 2.26
002: 16384 2.30
003: 16384 2.30
004: 16384 2.31
005: 16384 2.30
006: 16384 2.30
007: 16384 2.28
008: 16384 2.30
009: 16384 2.28
010: 16384 2.28
16384                   2.33
000: 32768 4.49
001: 32768 3.93
002: 32768 3.98
003: 32768 3.97
004: 32768 3.98
005: 32768 3.99
006: 32768 3.99
007: 32768 4.00
008: 32768 3.99
009: 32768 3.99
010: 32768 3.94
32768                   4.02
000: 65536 7.17
001: 65536 6.35
002: 65536 6.57
003: 65536 6.49
004: 65536 6.57
005: 65536 6.58
006: 65536 6.59
007: 65536 6.49
008: 65536 6.50
009: 65536 6.57
010: 65536 6.40
65536                   6.57
000: 131072 10.54
001: 131072 9.86
002: 131072 9.99
003: 131072 9.97
004: 131072 9.99
005: 131072 9.99
006: 131072 10.00
007: 131072 10.00
008: 131072 9.96
009: 131072 9.98
010: 131072 9.86
131072                 10.01
000: 262144 18.57
001: 262144 17.93
002: 262144 18.05
003: 262144 18.05
004: 262144 18.07
005: 262144 18.06
006: 262144 18.03
007: 262144 18.07
008: 262144 18.05
009: 262144 18.07
010: 262144 17.93
262144                 18.08
000: 524288 38.52
001: 524288 37.97
002: 524288 38.00
003: 524288 38.01
004: 524288 38.01
005: 524288 37.98
006: 524288 37.97
007: 524288 38.01
008: 524288 38.01
009: 524288 37.99
010: 524288 37.93
524288                 38.04
000: 1048576 87.93
001: 1048576 87.39
002: 1048576 87.42
003: 1048576 87.40
004: 1048576 87.42
005: 1048576 87.41
006: 1048576 87.39
007: 1048576 87.40
008: 1048576 87.39
009: 1048576 87.40
010: 1048576 87.32
1048576                87.44

# OSU MPI_Bcast (data-varying) v7.0
# Size       Avg Latency(us)
root = 0
000: 1 0.61
001: 1 0.18
002: 1 0.17
003: 1 0.18
004: 1 0.17
005: 1 0.17
006: 1 0.17
007: 1 0.17
008: 1 0.17
009: 1 0.17
010: 1 0.17
1                       0.21
000: 2 0.62
001: 2 0.18
002: 2 0.17
003: 2 0.17
004: 2 0.18
005: 2 0.17
006: 2 0.17
007: 2 0.18
008: 2 0.17
009: 2 0.17
010: 2 0.18
2                       0.22
000: 4 0.64
001: 4 0.18
002: 4 0.18
003: 4 0.18
004: 4 0.17
005: 4 0.18
006: 4 0.17
007: 4 0.18
008: 4 0.18
009: 4 0.18
010: 4 0.18
4                       0.22
000: 8 0.64
001: 8 0.17
002: 8 0.17
003: 8 0.17
004: 8 0.17
005: 8 0.17
006: 8 0.17
007: 8 0.18
008: 8 0.17
009: 8 0.17
010: 8 0.17
8                       0.21
000: 16 0.63
001: 16 0.17
002: 16 0.17
003: 16 0.17
004: 16 0.17
005: 16 0.17
006: 16 0.17
007: 16 0.18
008: 16 0.17
009: 16 0.17
010: 16 0.17
16                      0.21
000: 32 0.63
001: 32 0.18
002: 32 0.18
003: 32 0.17
004: 32 0.17
005: 32 0.17
006: 32 0.17
007: 32 0.18
008: 32 0.18
009: 32 0.17
010: 32 0.17
32                      0.21
000: 64 0.63
001: 64 0.17
002: 64 0.17
003: 64 0.17
004: 64 0.17
005: 64 0.17
006: 64 0.16
007: 64 0.17
008: 64 0.17
009: 64 0.17
010: 64 0.17
64                      0.21
000: 128 0.65
001: 128 0.19
002: 128 0.19
003: 128 0.19
004: 128 0.18
005: 128 0.19
006: 128 0.19
007: 128 0.19
008: 128 0.19
009: 128 0.19
010: 128 0.19
128                     0.23
000: 256 0.69
001: 256 0.23
002: 256 0.23
003: 256 0.23
004: 256 0.23
005: 256 0.23
006: 256 0.23
007: 256 0.24
008: 256 0.24
