
# OSU MPI_Bcast (data-varying) v7.0
# Size       Avg Latency(us)
root = 0
000: 1 2.14
001: 1 0.86
002: 1 0.85
003: 1 0.84
004: 1 0.85
005: 1 0.83
006: 1 0.85
007: 1 0.85
008: 1 0.84
009: 1 0.85
010: 1 0.84
011: 1 0.85
012: 1 0.85
013: 1 0.85
014: 1 0.85
015: 1 0.85
016: 1 0.85
017: 1 0.86
018: 1 0.85
019: 1 0.85
020: 1 0.84
021: 1 0.85
022: 1 0.85
023: 1 0.85
024: 1 0.44
025: 1 0.44
026: 1 0.45
027: 1 0.43
028: 1 0.44
029: 1 0.44
030: 1 0.43
031: 1 0.44
032: 1 0.42
033: 1 0.44
034: 1 0.44
035: 1 0.43
036: 1 0.43
1                       0.74
000: 2 2.14
001: 2 0.86
002: 2 0.82
003: 2 0.85
004: 2 0.84
005: 2 0.85
006: 2 0.85
007: 2 0.86
008: 2 0.85
009: 2 0.86
010: 2 0.84
011: 2 0.85
012: 2 0.87
013: 2 0.86
014: 2 0.87
015: 2 0.84
016: 2 0.86
017: 2 0.85
018: 2 0.86
019: 2 0.86
020: 2 0.84
021: 2 0.86
022: 2 0.86
023: 2 0.85
024: 2 0.46
025: 2 0.45
026: 2 0.45
027: 2 0.46
028: 2 0.45
029: 2 0.45
030: 2 0.44
031: 2 0.45
032: 2 0.45
033: 2 0.45
034: 2 0.45
035: 2 0.45
036: 2 0.45
2                       0.75
000: 4 2.17
001: 4 0.91
002: 4 0.90
003: 4 0.92
004: 4 0.91
005: 4 0.92
006: 4 0.88
007: 4 0.90
008: 4 0.91
009: 4 0.89
010: 4 0.90
011: 4 0.89
012: 4 0.90
013: 4 0.89
014: 4 0.93
015: 4 0.90
016: 4 0.91
017: 4 0.91
018: 4 0.92
019: 4 0.89
020: 4 0.89
021: 4 0.91
022: 4 0.92
023: 4 0.92
024: 4 0.48
025: 4 0.48
026: 4 0.48
027: 4 0.47
028: 4 0.48
029: 4 0.48
030: 4 0.48
031: 4 0.49
032: 4 0.47
033: 4 0.48
034: 4 0.48
035: 4 0.48
036: 4 0.48
4                       0.79
000: 8 2.11
001: 8 0.88
002: 8 0.85
003: 8 0.85
004: 8 0.85
005: 8 0.85
006: 8 0.86
007: 8 0.87
008: 8 0.83
009: 8 0.84
010: 8 0.85
011: 8 0.84
012: 8 0.85
013: 8 0.83
014: 8 0.86
015: 8 0.85
016: 8 0.84
017: 8 0.88
018: 8 0.87
019: 8 0.86
020: 8 0.87
021: 8 0.87
022: 8 0.86
023: 8 0.84
024: 8 0.46
025: 8 0.45
026: 8 0.46
027: 8 0.46
028: 8 0.45
029: 8 0.46
030: 8 0.45
031: 8 0.46
032: 8 0.45
033: 8 0.45
034: 8 0.45
035: 8 0.46
036: 8 0.46
8                       0.75
000: 16 2.18
001: 16 0.93
002: 16 0.90
003: 16 0.91
004: 16 0.92
005: 16 0.90
006: 16 0.90
007: 16 0.91
008: 16 0.89
009: 16 0.90
010: 16 0.92
011: 16 0.91
012: 16 0.92
013: 16 0.90
014: 16 0.91
015: 16 0.89
016: 16 0.92
017: 16 0.92
018: 16 0.91
019: 16 0.91
020: 16 0.90
021: 16 0.93
022: 16 0.91
023: 16 0.90
024: 16 0.50
025: 16 0.49
026: 16 0.50
027: 16 0.50
028: 16 0.49
029: 16 0.49
030: 16 0.48
031: 16 0.50
032: 16 0.50
033: 16 0.49
034: 16 0.49
035: 16 0.49
036: 16 0.49
16                      0.80
000: 32 2.12
001: 32 0.88
002: 32 0.88
003: 32 0.87
004: 32 0.88
005: 32 0.85
006: 32 0.88
007: 32 0.88
008: 32 0.85
009: 32 0.87
010: 32 0.87
011: 32 0.88
012: 32 0.88
013: 32 0.86
014: 32 0.87
015: 32 0.87
016: 32 0.88
017: 32 0.87
018: 32 0.88
019: 32 0.88
020: 32 0.85
021: 32 0.88
022: 32 0.87
023: 32 0.87
024: 32 0.45
025: 32 0.45
026: 32 0.45
027: 32 0.45
028: 32 0.46
029: 32 0.46
030: 32 0.46
031: 32 0.46
032: 32 0.46
033: 32 0.46
034: 32 0.45
035: 32 0.45
036: 32 0.46
32                      0.76
000: 64 2.17
001: 64 0.92
002: 64 0.89
003: 64 0.91
004: 64 0.89
005: 64 0.91
006: 64 0.88
007: 64 0.92
008: 64 0.89
009: 64 0.89
010: 64 0.88
011: 64 0.93
012: 64 0.91
013: 64 0.90
014: 64 0.91
015: 64 0.91
016: 64 0.92
017: 64 0.91
018: 64 0.91
019: 64 0.89
020: 64 0.90
021: 64 0.90
022: 64 0.91
023: 64 0.91
024: 64 0.49
025: 64 0.47
026: 64 0.48
027: 64 0.48
028: 64 0.48
029: 64 0.48
030: 64 0.48
031: 64 0.49
032: 64 0.48
033: 64 0.49
034: 64 0.47
035: 64 0.48
036: 64 0.48
64                      0.79
000: 128 2.23
001: 128 0.98
002: 128 0.97
003: 128 0.96
004: 128 0.95
005: 128 0.97
006: 128 0.95
007: 128 0.96
008: 128 0.95
009: 128 0.96
010: 128 0.98
011: 128 0.97
012: 128 0.96
013: 128 0.94
014: 128 0.97
015: 128 0.97
016: 128 0.95
017: 128 0.96
018: 128 0.98
019: 128 0.97
020: 128 0.96
021: 128 0.98
022: 128 0.93
023: 128 0.97
024: 128 0.56
025: 128 0.55
026: 128 0.55
027: 128 0.56
028: 128 0.55
029: 128 0.55
030: 128 0.55
031: 128 0.56
032: 128 0.55
033: 128 0.55
034: 128 0.55
035: 128 0.55
036: 128 0.55
128                     0.85
000: 256 2.25
001: 256 0.97
002: 256 0.96
003: 256 0.96
004: 256 0.95
005: 256 0.96
006: 256 0.96
007: 256 0.98
008: 256 0.96
009: 256 0.97
010: 256 0.96
011: 256 0.96
012: 256 0.99
013: 256 0.96
014: 256 0.96
015: 256 0.98
016: 256 0.96
017: 256 0.98
018: 256 0.99
019: 256 0.96
020: 256 0.97
021: 256 0.98
022: 256 0.95
023: 256 0.97
024: 256 0.52
025: 256 0.52
026: 256 0.53
027: 256 0.53
028: 256 0.52
029: 256 0.53
030: 256 0.52
031: 256 0.52
032: 256 0.52
033: 256 0.53
034: 256 0.52
035: 256 0.52
036: 256 0.52
256                     0.85
000: 512 2.41
001: 512 1.20
002: 512 1.24
003: 512 1.18
004: 512 1.20
005: 512 1.23
006: 512 1.22
007: 512 1.25
008: 512 1.26
009: 512 1.18
010: 512 1.22
011: 512 1.24
012: 512 1.25
013: 512 1.19
014: 512 1.24
015: 512 1.22
016: 512 1.21
017: 512 1.21
018: 512 1.21
019: 512 1.24
020: 512 1.22
021: 512 1.21
022: 512 1.23
023: 512 1.24
024: 512 0.70
025: 512 0.71
026: 512 0.70
027: 512 0.71
028: 512 0.70
029: 512 0.72
030: 512 0.70
031: 512 0.70
032: 512 0.70
033: 512 0.71
034: 512 0.71
035: 512 0.71
036: 512 0.70
512                     1.07
000: 1024 2.45
001: 1024 1.32
002: 1024 1.29
003: 1024 1.30
004: 1024 1.32
005: 1024 1.31
006: 1024 1.31
007: 1024 1.35
008: 1024 1.33
009: 1024 1.31
010: 1024 1.33
011: 1024 1.32
012: 1024 1.35
013: 1024 1.32
014: 1024 1.32
015: 1024 1.33
016: 1024 1.30
017: 1024 1.33
018: 1024 1.34
019: 1024 1.34
020: 1024 1.33
021: 1024 1.29
022: 1024 1.32
023: 1024 1.31
024: 1024 0.69
025: 1024 0.68
026: 1024 0.69
027: 1024 0.68
028: 1024 0.68
029: 1024 0.69
030: 1024 0.69
031: 1024 0.69
032: 1024 0.68
033: 1024 0.69
034: 1024 0.69
035: 1024 0.69
036: 1024 0.68
1024                    1.13
000: 2048 2.61
001: 2048 1.54
002: 2048 1.56
003: 2048 1.57
004: 2048 1.57
005: 2048 1.57
006: 2048 1.58
007: 2048 1.56
008: 2048 1.54
009: 2048 1.53
010: 2048 1.56
011: 2048 1.58
012: 2048 1.56
013: 2048 1.52
014: 2048 1.58
015: 2048 1.56
016: 2048 1.58
017: 2048 1.55
018: 2048 1.58
019: 2048 1.57
020: 2048 1.58
021: 2048 1.55
022: 2048 1.55
023: 2048 1.52
024: 2048 0.87
025: 2048 0.85
026: 2048 0.83
027: 2048 0.86
028: 2048 0.85
029: 2048 0.84
030: 2048 0.85
031: 2048 0.87
032: 2048 0.86
033: 2048 0.85
034: 2048 0.85
035: 2048 0.85
036: 2048 0.86
2048                    1.34
000: 4096 3.05
001: 4096 2.02
002: 4096 2.02
003: 4096 2.01
004: 4096 2.00
005: 4096 2.01
