
# OSU MPI_Bcast (data-varying) v7.0
# Size       Avg Latency(us)
root = 0
000: 1 1.97
001: 1 0.79
002: 1 0.78
003: 1 0.80
004: 1 0.80
005: 1 0.79
006: 1 0.78
007: 1 0.79
008: 1 0.78
009: 1 0.78
010: 1 0.78
011: 1 0.80
012: 1 0.79
013: 1 0.79
014: 1 0.80
015: 1 0.77
016: 1 0.80
017: 1 0.79
018: 1 0.79
019: 1 0.80
020: 1 0.79
021: 1 0.78
022: 1 0.80
023: 1 0.78
024: 1 0.45
025: 1 0.44
026: 1 0.44
027: 1 0.44
028: 1 0.45
029: 1 0.44
030: 1 0.44
031: 1 0.45
032: 1 0.45
033: 1 0.44
034: 1 0.45
035: 1 0.45
1                       0.71
000: 2 2.07
001: 2 0.88
002: 2 0.88
003: 2 0.90
004: 2 0.90
005: 2 0.90
006: 2 0.90
007: 2 0.89
008: 2 0.88
009: 2 0.89
010: 2 0.90
011: 2 0.90
012: 2 0.89
013: 2 0.89
014: 2 0.90
015: 2 0.88
016: 2 0.91
017: 2 0.92
018: 2 0.88
019: 2 0.91
020: 2 0.90
021: 2 0.89
022: 2 0.89
023: 2 0.91
024: 2 0.51
025: 2 0.52
026: 2 0.51
027: 2 0.53
028: 2 0.52
029: 2 0.52
030: 2 0.52
031: 2 0.53
032: 2 0.52
033: 2 0.52
034: 2 0.52
035: 2 0.52
2                       0.80
000: 4 2.07
001: 4 0.89
002: 4 0.87
003: 4 0.91
004: 4 0.91
005: 4 0.90
006: 4 0.90
007: 4 0.91
008: 4 0.92
009: 4 0.91
010: 4 0.88
011: 4 0.90
012: 4 0.89
013: 4 0.90
014: 4 0.88
015: 4 0.89
016: 4 0.91
017: 4 0.93
018: 4 0.90
019: 4 0.91
020: 4 0.88
021: 4 0.91
022: 4 0.91
023: 4 0.90
024: 4 0.52
025: 4 0.51
026: 4 0.53
027: 4 0.53
028: 4 0.53
029: 4 0.52
030: 4 0.51
031: 4 0.52
032: 4 0.53
033: 4 0.52
034: 4 0.54
035: 4 0.52
4                       0.81
000: 8 2.12
001: 8 0.93
002: 8 0.92
003: 8 0.95
004: 8 0.96
005: 8 0.95
006: 8 0.97
007: 8 0.93
008: 8 0.96
009: 8 0.95
010: 8 0.92
011: 8 0.94
012: 8 0.93
013: 8 0.93
014: 8 0.95
015: 8 0.93
016: 8 0.95
017: 8 0.93
018: 8 0.92
019: 8 0.94
020: 8 0.95
021: 8 0.95
022: 8 0.95
023: 8 0.95
024: 8 0.57
025: 8 0.56
026: 8 0.56
027: 8 0.56
028: 8 0.56
029: 8 0.56
030: 8 0.56
031: 8 0.57
032: 8 0.57
033: 8 0.56
034: 8 0.56
035: 8 0.56
8                       0.85
000: 16 2.09
001: 16 0.90
002: 16 0.91
003: 16 0.91
004: 16 0.93
005: 16 0.93
006: 16 0.94
007: 16 0.92
008: 16 0.91
009: 16 0.93
010: 16 0.93
011: 16 0.92
012: 16 0.92
013: 16 0.90
014: 16 0.92
015: 16 0.89
016: 16 0.91
017: 16 0.92
018: 16 0.89
019: 16 0.92
020: 16 0.92
021: 16 0.92
022: 16 0.91
023: 16 0.91
024: 16 0.52
025: 16 0.53
026: 16 0.51
027: 16 0.53
028: 16 0.52
029: 16 0.53
030: 16 0.52
031: 16 0.52
032: 16 0.53
033: 16 0.51
034: 16 0.52
035: 16 0.51
16                      0.82
000: 32 2.10
001: 32 0.87
002: 32 0.88
003: 32 0.92
004: 32 0.90
005: 32 0.88
006: 32 0.89
007: 32 0.90
008: 32 0.89
009: 32 0.88
010: 32 0.88
011: 32 0.89
012: 32 0.89
013: 32 0.89
014: 32 0.88
015: 32 0.89
016: 32 0.89
017: 32 0.89
018: 32 0.88
019: 32 0.86
020: 32 0.89
021: 32 0.88
022: 32 0.88
023: 32 0.91
024: 32 0.48
025: 32 0.49
026: 32 0.48
027: 32 0.49
028: 32 0.48
029: 32 0.48
030: 32 0.48
031: 32 0.49
032: 32 0.48
033: 32 0.49
034: 32 0.49
035: 32 0.48
32                      0.79
000: 64 2.07
001: 64 0.89
002: 64 0.88
003: 64 0.89
004: 64 0.89
005: 64 0.90
006: 64 0.90
007: 64 0.89
008: 64 0.86
009: 64 0.90
010: 64 0.89
011: 64 0.88
012: 64 0.88
013: 64 0.88
014: 64 0.87
015: 64 0.86
016: 64 0.88
017: 64 0.91
018: 64 0.88
019: 64 0.89
020: 64 0.89
021: 64 0.86
022: 64 0.90
023: 64 0.88
024: 64 0.51
025: 64 0.50
026: 64 0.51
027: 64 0.52
028: 64 0.50
029: 64 0.51
030: 64 0.50
031: 64 0.51
032: 64 0.50
033: 64 0.50
034: 64 0.50
035: 64 0.50
64                      0.79
000: 128 2.11
001: 128 0.95
002: 128 0.96
003: 128 0.95
004: 128 0.96
005: 128 0.96
006: 128 0.98
007: 128 0.94
008: 128 0.95
009: 128 0.96
010: 128 0.97
011: 128 0.94
012: 128 0.94
013: 128 0.95
014: 128 0.97
015: 128 0.95
016: 128 0.96
017: 128 0.97
018: 128 0.94
019: 128 0.95
020: 128 0.96
021: 128 0.96
022: 128 0.97
023: 128 0.94
024: 128 0.56
025: 128 0.55
026: 128 0.56
027: 128 0.56
028: 128 0.55
029: 128 0.54
030: 128 0.55
031: 128 0.55
032: 128 0.56
033: 128 0.54
034: 128 0.55
035: 128 0.56
128                     0.85
000: 256 2.09
001: 256 0.99
002: 256 0.98
003: 256 1.01
004: 256 0.99
005: 256 1.01
006: 256 1.02
007: 256 1.00
008: 256 1.00
009: 256 0.97
010: 256 0.99
011: 256 0.99
012: 256 0.99
013: 256 0.96
014: 256 1.00
015: 256 0.99
016: 256 1.00
017: 256 1.01
018: 256 1.01
019: 256 0.99
020: 256 1.00
021: 256 0.99
022: 256 0.99
023: 256 1.00
024: 256 0.58
025: 256 0.58
026: 256 0.59
027: 256 0.58
028: 256 0.58
029: 256 0.58
030: 256 0.59
031: 256 0.58
032: 256 0.58
033: 256 0.58
034: 256 0.58
035: 256 0.58
256                     0.89
000: 512 2.47
001: 512 1.40
002: 512 1.40
003: 512 1.44
004: 512 1.42
005: 512 1.37
006: 512 1.41
007: 512 1.38
008: 512 1.41
009: 512 1.39
010: 512 1.39
011: 512 1.38
012: 512 1.40
013: 512 1.38
014: 512 1.41
015: 512 1.42
016: 512 1.44
017: 512 1.41
018: 512 1.43
019: 512 1.44
020: 512 1.37
021: 512 1.41
022: 512 1.39
023: 512 1.40
024: 512 0.93
025: 512 0.92
026: 512 0.92
027: 512 0.93
028: 512 0.93
029: 512 0.92
030: 512 0.92
031: 512 0.92
032: 512 0.93
033: 512 0.93
034: 512 0.93
035: 512 0.92
512                     1.27
000: 1024 2.58
001: 1024 1.43
002: 1024 1.44
003: 1024 1.46
004: 1024 1.46
005: 1024 1.42
006: 1024 1.42
007: 1024 1.42
008: 1024 1.44
009: 1024 1.42
010: 1024 1.40
011: 1024 1.38
012: 1024 1.43
013: 1024 1.42
014: 1024 1.46
015: 1024 1.43
016: 1024 1.44
017: 1024 1.45
018: 1024 1.44
019: 1024 1.44
020: 1024 1.43
021: 1024 1.41
022: 1024 1.44
023: 1024 1.44
024: 1024 0.75
025: 1024 0.74
026: 1024 0.76
027: 1024 0.75
028: 1024 0.74
029: 1024 0.73
030: 1024 0.74
031: 1024 0.74
032: 1024 0.75
033: 1024 0.74
034: 1024 0.75
035: 1024 0.74
1024                    1.23
000: 2048 2.85
001: 2048 1.73
002: 2048 1.71
003: 2048 1.69
004: 2048 1.69
005: 2048 1.73
006: 2048 1.74
