
# OSU MPI_Bcast (data-varying) v7.0
# Size       Avg Latency(us)
root = 0
000: 1 2.25
001: 1 0.90
002: 1 0.89
003: 1 0.89
004: 1 0.89
005: 1 0.87
006: 1 0.90
007: 1 0.91
008: 1 0.88
009: 1 0.89
010: 1 0.91
011: 1 0.89
012: 1 0.89
013: 1 0.91
014: 1 0.88
015: 1 0.89
016: 1 0.89
017: 1 0.89
018: 1 0.89
019: 1 0.90
020: 1 0.91
021: 1 0.87
022: 1 0.89
023: 1 0.91
024: 1 0.46
025: 1 0.46
026: 1 0.45
027: 1 0.45
028: 1 0.46
029: 1 0.47
030: 1 0.46
031: 1 0.46
032: 1 0.45
033: 1 0.46
034: 1 0.46
035: 1 0.46
036: 1 0.45
037: 1 0.47
038: 1 0.47
039: 1 0.45
1                       0.75
000: 2 2.23
001: 2 0.88
002: 2 0.89
003: 2 0.87
004: 2 0.85
005: 2 0.88
006: 2 0.87
007: 2 0.87
008: 2 0.86
009: 2 0.86
010: 2 0.87
011: 2 0.86
012: 2 0.87
013: 2 0.87
014: 2 0.86
015: 2 0.88
016: 2 0.88
017: 2 0.86
018: 2 0.88
019: 2 0.87
020: 2 0.86
021: 2 0.86
022: 2 0.86
023: 2 0.86
024: 2 0.44
025: 2 0.44
026: 2 0.43
027: 2 0.43
028: 2 0.44
029: 2 0.43
030: 2 0.44
031: 2 0.43
032: 2 0.44
033: 2 0.43
034: 2 0.43
035: 2 0.43
036: 2 0.43
037: 2 0.43
038: 2 0.44
039: 2 0.43
2                       0.73
000: 4 2.25
001: 4 0.89
002: 4 0.92
003: 4 0.89
004: 4 0.89
005: 4 0.87
006: 4 0.86
007: 4 0.89
008: 4 0.89
009: 4 0.87
010: 4 0.89
011: 4 0.88
012: 4 0.89
013: 4 0.89
014: 4 0.88
015: 4 0.90
016: 4 0.87
017: 4 0.87
018: 4 0.89
019: 4 0.88
020: 4 0.88
021: 4 0.87
022: 4 0.89
023: 4 0.87
024: 4 0.45
025: 4 0.45
026: 4 0.44
027: 4 0.45
028: 4 0.44
029: 4 0.44
030: 4 0.45
031: 4 0.45
032: 4 0.45
033: 4 0.45
034: 4 0.45
035: 4 0.45
036: 4 0.45
037: 4 0.45
038: 4 0.45
039: 4 0.44
4                       0.74
000: 8 2.24
001: 8 0.87
002: 8 0.88
003: 8 0.88
004: 8 0.86
005: 8 0.87
006: 8 0.87
007: 8 0.88
008: 8 0.88
009: 8 0.87
010: 8 0.87
011: 8 0.87
012: 8 0.88
013: 8 0.85
014: 8 0.87
015: 8 0.86
016: 8 0.86
017: 8 0.86
018: 8 0.88
019: 8 0.85
020: 8 0.87
021: 8 0.86
022: 8 0.88
023: 8 0.86
024: 8 0.44
025: 8 0.45
026: 8 0.44
027: 8 0.43
028: 8 0.44
029: 8 0.44
030: 8 0.44
031: 8 0.44
032: 8 0.44
033: 8 0.43
034: 8 0.44
035: 8 0.45
036: 8 0.44
037: 8 0.44
038: 8 0.44
039: 8 0.44
8                       0.73
000: 16 2.26
001: 16 0.92
002: 16 0.92
003: 16 0.91
004: 16 0.93
005: 16 0.91
006: 16 0.92
007: 16 0.92
008: 16 0.91
009: 16 0.93
010: 16 0.94
011: 16 0.93
012: 16 0.94
013: 16 0.92
014: 16 0.92
015: 16 0.93
016: 16 0.91
017: 16 0.91
018: 16 0.95
019: 16 0.94
020: 16 0.91
021: 16 0.90
022: 16 0.92
023: 16 0.93
024: 16 0.48
025: 16 0.47
026: 16 0.46
027: 16 0.47
028: 16 0.47
029: 16 0.46
030: 16 0.46
031: 16 0.47
032: 16 0.47
033: 16 0.47
034: 16 0.46
035: 16 0.47
036: 16 0.47
037: 16 0.47
038: 16 0.46
039: 16 0.47
16                      0.77
000: 32 2.21
001: 32 0.89
002: 32 0.87
003: 32 0.89
004: 32 0.89
005: 32 0.89
006: 32 0.88
007: 32 0.87
008: 32 0.86
009: 32 0.88
010: 32 0.87
011: 32 0.87
012: 32 0.88
013: 32 0.87
014: 32 0.87
015: 32 0.87
016: 32 0.88
017: 32 0.87
018: 32 0.87
019: 32 0.91
020: 32 0.88
021: 32 0.87
022: 32 0.89
023: 32 0.89
024: 32 0.45
025: 32 0.47
026: 32 0.46
027: 32 0.46
028: 32 0.46
029: 32 0.45
030: 32 0.46
031: 32 0.45
032: 32 0.46
033: 32 0.44
034: 32 0.45
035: 32 0.46
036: 32 0.46
037: 32 0.46
038: 32 0.46
039: 32 0.45
32                      0.74
000: 64 2.26
001: 64 0.88
002: 64 0.91
003: 64 0.89
004: 64 0.88
005: 64 0.89
006: 64 0.89
007: 64 0.88
008: 64 0.89
009: 64 0.90
010: 64 0.91
011: 64 0.90
012: 64 0.88
013: 64 0.88
014: 64 0.89
015: 64 0.89
016: 64 0.87
017: 64 0.89
018: 64 0.91
019: 64 0.89
020: 64 0.89
021: 64 0.90
022: 64 0.87
023: 64 0.89
024: 64 0.47
025: 64 0.47
026: 64 0.46
027: 64 0.46
028: 64 0.46
029: 64 0.45
030: 64 0.46
031: 64 0.46
032: 64 0.47
033: 64 0.48
034: 64 0.45
035: 64 0.47
036: 64 0.47
037: 64 0.46
038: 64 0.46
039: 64 0.47
64                      0.75
000: 128 2.35
001: 128 0.94
002: 128 0.93
003: 128 0.96
004: 128 0.94
005: 128 0.96
006: 128 0.94
007: 128 0.95
008: 128 0.95
009: 128 0.95
010: 128 0.94
011: 128 0.97
012: 128 0.96
013: 128 0.94
014: 128 0.95
015: 128 0.95
016: 128 0.95
017: 128 0.94
018: 128 0.96
019: 128 0.96
020: 128 0.96
021: 128 0.96
022: 128 0.94
023: 128 0.95
024: 128 0.50
025: 128 0.51
026: 128 0.50
027: 128 0.50
028: 128 0.50
029: 128 0.51
030: 128 0.49
031: 128 0.51
032: 128 0.50
033: 128 0.51
034: 128 0.50
035: 128 0.50
036: 128 0.50
037: 128 0.50
038: 128 0.50
039: 128 0.51
128                     0.81
000: 256 2.43
001: 256 1.05
002: 256 1.02
003: 256 1.02
004: 256 1.05
005: 256 1.01
006: 256 1.01
007: 256 1.05
008: 256 1.03
009: 256 1.04
010: 256 1.06
011: 256 1.04
012: 256 1.06
013: 256 1.05
014: 256 1.05
015: 256 1.05
016: 256 1.08
017: 256 1.04
018: 256 1.07
019: 256 1.05
020: 256 1.05
021: 256 1.03
022: 256 1.04
023: 256 1.05
024: 256 0.57
025: 256 0.58
026: 256 0.57
027: 256 0.57
028: 256 0.58
029: 256 0.59
030: 256 0.58
031: 256 0.57
032: 256 0.58
033: 256 0.59
034: 256 0.58
035: 256 0.58
036: 256 0.58
037: 256 0.57
038: 256 0.57
039: 256 0.58
256                     0.89
000: 512 2.52
001: 512 1.21
002: 512 1.24
003: 512 1.21
004: 512 1.20
005: 512 1.25
006: 512 1.22
007: 512 1.23
008: 512 1.21
009: 512 1.23
010: 512 1.23
011: 512 1.18
012: 512 1.25
013: 512 1.21
014: 512 1.23
015: 512 1.22
016: 512 1.23
017: 512 1.22
018: 512 1.20
019: 512 1.23
020: 512 1.21
021: 512 1.20
022: 512 1.21
023: 512 1.22
024: 512 0.68
025: 512 0.68
026: 512 0.67
027: 512 0.69
028: 512 0.68
029: 512 0.69
030: 512 0.68
031: 512 0.68
032: 512 0.68
033: 512 0.68
034: 512 0.67
035: 512 0.69
036: 512 0.68
037: 512 0.68
038: 512 0.67
039: 512 0.68
512                     1.04
000: 1024 2.58
001: 1024 1.33
002: 1024 1.35
003: 1024 1.37
004: 1024 1.34
005: 1024 1.35
006: 1024 1.36
007: 1024 1.35
008: 1024 1.33
009: 1024 1.32
010: 1024 1.36
011: 1024 1.34
012: 1024 1.35
013: 1024 1.35
014: 1024 1.36
015: 1024 1.35
016: 1024 1.33
017: 1024 1.36
018: 1024 1.33
019: 1024 1.35
020: 1024 1.34
021: 1024 1.34
022: 1024 1.36
023: 1024 1.36
024: 1024 0.67
025: 1024 0.67
026: 1024 0.67
027: 1024 0.68
028: 1024 0.68
029: 1024 0.68
030: 1024 0.68
031: 1024 0.68
032: 1024 0.67
033: 1024 0.67
034: 1024 0.68
035: 1024 0.69
036: 1024 0.68
037: 1024 0.67
038: 1024 0.67
039: 1024 0.67
1024                    1.11
000: 2048 3.08
001: 2048 1.84
002: 2048 1.84
003: 2048 1.84
004: 2048 1.81
005: 2048 1.82
006: 2048 1.75
007: 2048 1.84
008: 2048 1.82
009: 2048 1.82
010: 2048 1.84
011: 2048 1.81
012: 2048 1.82
013: 2048 1.84
014: 2048 1.85
015: 2048 1.83
016: 2048 1.83
017: 2048 1.81
018: 2048 1.81
019: 2048 1.83
020: 2048 1.80
021: 2048 1.85
022: 2048 1.81
023: 2048 1.82
024: 2048 1.17
025: 2048 1.15
026: 2048 1.15
027: 2048 1.14
028: 2048 1.18
029: 2048 1.14
030: 2048 1.17
031: 2048 1.16
032: 2048 1.12
033: 2048 1.17
034: 2048 1.17
035: 2048 1.18
036: 2048 1.17
037: 2048 1.16
038: 2048 1.17
039: 2048 1.17
2048                    1.59
000: 4096 3.40
001: 4096 2.18
002: 4096 2.20
003: 4096 2.18
004: 4096 2.21
005: 4096 2.19
006: 4096 2.19
007: 4096 2.18
008: 4096 2.18
009: 4096 2.19
010: 4096 2.19
011: 4096 2.19
012: 4096 2.20
013: 4096 2.19
014: 4096 2.20
015: 4096 2.20
016: 4096 2.20
017: 4096 2.20
018: 4096 2.19
019: 4096 2.20
020: 4096 2.18
021: 4096 2.18
022: 4096 2.19
023: 4096 2.19
024: 4096 1.17
025: 4096 1.17
026: 4096 1.17
027: 4096 1.17
028: 4096 1.18
029: 4096 1.19
030: 4096 1.18
031: 4096 1.19
032: 4096 1.19
033: 4096 1.18
034: 4096 1.19
035: 4096 1.19
036: 4096 1.18
037: 4096 1.17
038: 4096 1.18
039: 4096 1.18
4096                    1.82
000: 8192 4.27
001: 8192 3.06
002: 8192 3.06
003: 8192 3.07
004: 8192 3.05
005: 8192 3.06
006: 8192 3.05
007: 8192 3.06
008: 8192 3.04
009: 8192 3.04
010: 8192 3.04
011: 8192 3.06
012: 8192 3.06
013: 8192 3.04
014: 8192 3.02
015: 8192 3.07
016: 8192 3.08
017: 8192 3.07
018: 8192 3.05
019: 8192 3.07
020: 8192 3.05
021: 8192 3.05
022: 8192 3.06
023: 8192 3.06
024: 8192 1.88
025: 8192 1.88
026: 8192 1.88
027: 8192 1.87
028: 8192 1.90
029: 8192 1.89
030: 8192 1.88
031: 8192 1.88
032: 8192 1.88
033: 8192 1.89
034: 8192 1.89
035: 8192 1.86
036: 8192 1.88
037: 8192 1.87
038: 8192 1.88
039: 8192 1.89
8192                    2.62
000: 16384 6.04
001: 16384 4.86
002: 16384 4.88
003: 16384 4.84
004: 16384 4.84
005: 16384 4.87
006: 16384 4.83
007: 16384 4.84
008: 16384 4.83
009: 16384 4.85
010: 16384 4.84
011: 16384 4.86
012: 16384 4.81
013: 16384 4.85
014: 16384 4.81
015: 16384 4.84
016: 16384 4.79
017: 16384 4.86
018: 16384 4.85
019: 16384 4.90
020: 16384 4.84
021: 16384 4.88
022: 16384 4.79
023: 16384 4.84
024: 16384 3.40
025: 16384 3.41
026: 16384 3.40
027: 16384 3.38
028: 16384 3.40
029: 16384 3.43
030: 16384 3.39
031: 16384 3.39
032: 16384 3.38
033: 16384 3.40
034: 16384 3.39
035: 16384 3.36
036: 16384 3.41
037: 16384 3.40
038: 16384 3.40
039: 16384 3.41
16384                   4.29
000: 32768 9.70
001: 32768 8.46
002: 32768 8.52
003: 32768 8.46
004: 32768 8.47
005: 32768 8.44
006: 32768 8.46
007: 32768 8.43
008: 32768 8.44
009: 32768 7.98
010: 32768 8.50
011: 32768 8.42
012: 32768 8.43
013: 32768 8.50
014: 32768 8.43
015: 32768 8.48
016: 32768 8.47
017: 32768 8.47
018: 32768 8.48
019: 32768 8.52
020: 32768 8.49
021: 32768 8.42
022: 32768 8.47
023: 32768 8.39
024: 32768 6.34
025: 32768 6.37
026: 32768 6.40
027: 32768 6.37
028: 32768 6.38
029: 32768 6.41
030: 32768 6.39
031: 32768 6.38
032: 32768 6.39
033: 32768 6.40
034: 32768 6.39
035: 32768 6.24
036: 32768 6.37
037: 32768 6.39
038: 32768 6.40
039: 32768 6.40
32768                   7.65
000: 65536 14.81
001: 65536 13.42
002: 65536 13.33
003: 65536 13.23
004: 65536 13.27
005: 65536 13.46
006: 65536 13.42
007: 65536 13.40
008: 65536 13.39
009: 65536 12.72
010: 65536 13.42
011: 65536 13.43
012: 65536 13.36
013: 65536 13.42
014: 65536 13.34
015: 65536 13.42
016: 65536 13.41
017: 65536 13.44
018: 65536 13.40
019: 65536 13.48
020: 65536 13.25
021: 65536 12.98
022: 65536 13.48
023: 65536 13.38
024: 65536 11.43
025: 65536 11.40
026: 65536 11.43
027: 65536 11.39
028: 65536 11.46
029: 65536 11.41
030: 65536 11.42
031: 65536 11.43
032: 65536 11.40
033: 65536 11.42
034: 65536 11.41
035: 65536 11.13
036: 65536 11.42
037: 65536 11.39
038: 65536 11.44
039: 65536 11.42
65536                  12.60
000: 131072 25.63
001: 131072 24.17
002: 131072 24.21
003: 131072 24.09
004: 131072 24.26
005: 131072 24.11
006: 131072 24.10
007: 131072 24.29
008: 131072 23.99
009: 131072 22.01
010: 131072 24.08
011: 131072 24.28
012: 131072 24.20
013: 131072 24.04
014: 131072 24.25
015: 131072 24.34
016: 131072 24.04
017: 131072 24.47
018: 131072 24.39
019: 131072 24.24
020: 131072 23.93
021: 131072 23.25
022: 131072 24.33
023: 131072 24.30
024: 131072 20.61
025: 131072 20.60
026: 131072 20.61
027: 131072 20.60
028: 131072 20.64
029: 131072 20.63
030: 131072 20.64
031: 131072 20.62
032: 131072 20.64
033: 131072 20.58
034: 131072 20.63
035: 131072 20.35
036: 131072 20.60
037: 131072 20.64
038: 131072 20.64
039: 131072 20.65
131072                 22.72
000: 262144 48.43
001: 262144 46.83
002: 262144 46.88
003: 262144 46.87
004: 262144 46.61
005: 262144 46.69
006: 262144 46.71
007: 262144 46.68
008: 262144 46.60
009: 262144 43.89
010: 262144 46.82
011: 262144 47.17
012: 262144 46.75
013: 262144 46.44
014: 262144 46.50
015: 262144 47.08
016: 262144 46.73
017: 262144 46.58
018: 262144 46.66
019: 262144 46.74
020: 262144 45.82
021: 262144 46.54
022: 262144 47.11
023: 262144 46.75
024: 262144 40.74
025: 262144 40.71
026: 262144 40.76
027: 262144 40.74
028: 262144 40.79
029: 262144 40.76
030: 262144 40.77
031: 262144 40.75
032: 262144 40.74
033: 262144 40.72
034: 262144 40.76
035: 262144 40.61
036: 262144 40.69
037: 262144 40.74
038: 262144 40.75
039: 262144 40.76
262144                 44.29
000: 524288 96.18
001: 524288 90.42
002: 524288 90.70
003: 524288 90.18
004: 524288 90.81
005: 524288 90.59
006: 524288 92.21
007: 524288 92.09
008: 524288 90.66
009: 524288 86.91
010: 524288 90.70
011: 524288 91.75
012: 524288 91.34
013: 524288 90.08
014: 524288 90.91
015: 524288 91.44
016: 524288 90.91
017: 524288 91.30
018: 524288 92.70
019: 524288 90.21
020: 524288 88.51
021: 524288 90.49
022: 524288 91.25
023: 524288 92.68
024: 524288 90.75
025: 524288 90.76
026: 524288 90.74
027: 524288 90.76
028: 524288 90.75
029: 524288 90.77
030: 524288 90.75
031: 524288 90.74
032: 524288 90.74
033: 524288 90.75
034: 524288 90.73
035: 524288 90.76
036: 524288 90.75
037: 524288 90.75
038: 524288 90.69
039: 524288 90.74
524288                 90.92
000: 1048576 224.22
001: 1048576 193.61
002: 1048576 196.41
003: 1048576 194.05
004: 1048576 195.74
005: 1048576 206.36
006: 1048576 204.30
007: 1048576 200.79
008: 1048576 199.01
009: 1048576 199.48
010: 1048576 197.06
011: 1048576 198.16
012: 1048576 197.28
013: 1048576 200.87
014: 1048576 199.97
015: 1048576 198.48
016: 1048576 196.82
017: 1048576 207.48
018: 1048576 201.49
019: 1048576 196.52
020: 1048576 204.51
021: 1048576 200.46
022: 1048576 200.25
023: 1048576 200.15
024: 1048576 209.98
025: 1048576 210.01
026: 1048576 209.98
027: 1048576 210.00
028: 1048576 210.02
029: 1048576 209.97
030: 1048576 209.99
031: 1048576 209.98
032: 1048576 209.98
033: 1048576 209.96
034: 1048576 209.96
035: 1048576 209.97
036: 1048576 209.97
037: 1048576 209.96
038: 1048576 209.99
039: 1048576 209.98
1048576               204.33

# OSU MPI_Bcast (data-varying) v7.0
# Size       Avg Latency(us)
root = 0
000: 1 2.20
001: 1 0.83
002: 1 0.83
003: 1 0.83
004: 1 0.84
005: 1 0.84
006: 1 0.81
007: 1 0.83
008: 1 0.82
009: 1 0.82
010: 1 0.84
011: 1 0.83
012: 1 0.83
013: 1 0.81
014: 1 0.83
015: 1 0.82
016: 1 0.83
017: 1 0.83
018: 1 0.83
019: 1 0.81
020: 1 0.81
021: 1 0.84
022: 1 0.84
023: 1 0.82
024: 1 0.43
025: 1 0.42
026: 1 0.42
027: 1 0.42
028: 1 0.43
029: 1 0.42
030: 1 0.41
031: 1 0.43
032: 1 0.41
033: 1 0.43
034: 1 0.43
035: 1 0.42
036: 1 0.42
037: 1 0.43
038: 1 0.42
039: 1 0.42
1                       0.70
000: 2 2.23
001: 2 0.92
002: 2 0.91
003: 2 0.91
004: 2 0.89
005: 2 0.90
006: 2 0.88
007: 2 0.91
008: 2 0.88
009: 2 0.91
010: 2 0.90
011: 2 0.88
012: 2 0.89
013: 2 0.89
014: 2 0.92
015: 2 0.89
016: 2 0.88
017: 2 0.87
018: 2 0.90
019: 2 0.89
020: 2 0.91
021: 2 0.90
022: 2 0.90
023: 2 0.91
024: 2 0.45
025: 2 0.46
026: 2 0.45
027: 2 0.45
028: 2 0.45
029: 2 0.46
030: 2 0.43
031: 2 0.45
032: 2 0.45
033: 2 0.45
034: 2 0.44
035: 2 0.44
036: 2 0.45
037: 2 0.45
038: 2 0.45
039: 2 0.45
2                       0.75
000: 4 2.25
001: 4 0.94
002: 4 0.94
003: 4 0.91
004: 4 0.92
005: 4 0.92
006: 4 0.91
007: 4 0.91
008: 4 0.92
009: 4 0.91
010: 4 0.94
011: 4 0.93
012: 4 0.93
013: 4 0.93
014: 4 0.92
015: 4 0.92
016: 4 0.93
017: 4 0.91
018: 4 0.94
019: 4 0.92
020: 4 0.93
021: 4 0.90
022: 4 0.92
023: 4 0.92
024: 4 0.48
025: 4 0.49
026: 4 0.49
027: 4 0.49
028: 4 0.49
029: 4 0.47
030: 4 0.47
031: 4 0.49
032: 4 0.48
033: 4 0.49
034: 4 0.49
035: 4 0.49
036: 4 0.50
037: 4 0.48
038: 4 0.49
039: 4 0.48
4                       0.78
000: 8 2.21
001: 8 0.88
002: 8 0.87
003: 8 0.86
004: 8 0.88
005: 8 0.86
006: 8 0.88
007: 8 0.87
008: 8 0.88
009: 8 0.86
010: 8 0.89
011: 8 0.85
012: 8 0.87
013: 8 0.86
014: 8 0.87
015: 8 0.88
016: 8 0.87
017: 8 0.87
018: 8 0.87
019: 8 0.84
020: 8 0.86
021: 8 0.86
022: 8 0.87
023: 8 0.87
024: 8 0.44
025: 8 0.44
026: 8 0.43
027: 8 0.43
028: 8 0.45
029: 8 0.44
030: 8 0.43
031: 8 0.44
032: 8 0.43
033: 8 0.44
034: 8 0.44
035: 8 0.44
036: 8 0.44
037: 8 0.43
038: 8 0.43
039: 8 0.44
8                       0.73
000: 16 2.17
001: 16 0.85
002: 16 0.83
003: 16 0.82
004: 16 0.83
005: 16 0.83
006: 16 0.83
007: 16 0.84
008: 16 0.82
009: 16 0.83
010: 16 0.81
011: 16 0.83
012: 16 0.85
013: 16 0.82
014: 16 0.82
015: 16 0.84
016: 16 0.82
017: 16 0.80
018: 16 0.84
019: 16 0.83
020: 16 0.81
021: 16 0.84
022: 16 0.82
023: 16 0.84
024: 16 0.42
025: 16 0.42
026: 16 0.42
027: 16 0.42
028: 16 0.42
029: 16 0.41
030: 16 0.41
031: 16 0.42
032: 16 0.41
033: 16 0.42
034: 16 0.42
035: 16 0.42
036: 16 0.41
037: 16 0.41
038: 16 0.41
039: 16 0.42
16                      0.70
000: 32 2.22
001: 32 0.89
002: 32 0.88
003: 32 0.90
004: 32 0.89
005: 32 0.89
006: 32 0.90
007: 32 0.88
008: 32 0.89
009: 32 0.91
010: 32 0.89
011: 32 0.91
012: 32 0.91
013: 32 0.90
014: 32 0.88
015: 32 0.90
016: 32 0.90
017: 32 0.89
018: 32 0.90
019: 32 0.87
020: 32 0.90
021: 32 0.89
022: 32 0.89
023: 32 0.87
024: 32 0.48
025: 32 0.48
026: 32 0.48
027: 32 0.47
028: 32 0.47
029: 32 0.48
030: 32 0.48
031: 32 0.48
032: 32 0.48
033: 32 0.48
034: 32 0.48
035: 32 0.49
036: 32 0.47
037: 32 0.48
038: 32 0.48
039: 32 0.48
32                      0.76
000: 64 2.21
001: 64 0.87
002: 64 0.85
003: 64 0.87
004: 64 0.86
005: 64 0.85
006: 64 0.85
007: 64 0.87
008: 64 0.85
009: 64 0.87
010: 64 0.86
011: 64 0.87
012: 64 0.86
013: 64 0.85
014: 64 0.85
015: 64 0.88
016: 64 0.85
017: 64 0.87
018: 64 0.86
019: 64 0.86
020: 64 0.86
021: 64 0.86
022: 64 0.86
023: 64 0.87
024: 64 0.46
025: 64 0.46
026: 64 0.46
027: 64 0.46
028: 64 0.47
029: 64 0.46
030: 64 0.47
031: 64 0.47
032: 64 0.48
033: 64 0.48
034: 64 0.48
035: 64 0.48
036: 64 0.46
037: 64 0.48
038: 64 0.47
039: 64 0.46
64                      0.74
000: 128 2.34
001: 128 1.01
002: 128 1.01
003: 128 1.01
004: 128 0.99
005: 128 1.02
006: 128 0.98
007: 128 0.99
008: 128 0.99
009: 128 1.00
010: 128 0.99
011: 128 1.02
012: 128 0.98
013: 128 1.00
014: 128 1.00
015: 128 1.00
016: 128 0.99
017: 128 0.98
018: 128 1.01
019: 128 0.99
020: 128 1.01
021: 128 1.00
022: 128 0.99
023: 128 1.00
024: 128 0.57
025: 128 0.54
026: 128 0.58
027: 128 0.57
028: 128 0.57
029: 128 0.55
030: 128 0.57
031: 128 0.56
032: 128 0.56
033: 128 0.56
034: 128 0.57
035: 128 0.56
036: 128 0.57
037: 128 0.56
038: 128 0.57
039: 128 0.57
128                     0.86
000: 256 2.36
001: 256 1.03
002: 256 1.05
003: 256 1.05
004: 256 1.06
005: 256 1.06
006: 256 1.06
007: 256 1.06
008: 256 1.05
009: 256 1.04
010: 256 1.04
011: 256 1.04
012: 256 1.06
013: 256 1.05
014: 256 1.07
015: 256 1.04
016: 256 1.05
017: 256 1.03
018: 256 1.06
019: 256 1.05
020: 256 1.05
