
# OSU MPI_Bcast (data-varying) v7.0
# Size       Avg Latency(us)
root = 0
000: 1 0.76
001: 1 0.17
002: 1 0.17
003: 1 0.16
004: 1 0.16
005: 1 0.16
006: 1 0.16
007: 1 0.17
008: 1 0.16
009: 1 0.16
010: 1 0.17
011: 1 0.16
012: 1 0.17
013: 1 0.17
014: 1 0.16
015: 1 0.16
016: 1 0.16
017: 1 0.16
1                       0.20
000: 2 0.81
001: 2 0.18
002: 2 0.18
003: 2 0.17
004: 2 0.17
005: 2 0.17
006: 2 0.17
007: 2 0.18
008: 2 0.18
009: 2 0.17
010: 2 0.18
011: 2 0.17
012: 2 0.18
013: 2 0.18
014: 2 0.17
015: 2 0.17
016: 2 0.17
017: 2 0.17
2                       0.21
000: 4 0.78
001: 4 0.17
002: 4 0.17
003: 4 0.17
004: 4 0.16
005: 4 0.16
006: 4 0.17
007: 4 0.17
008: 4 0.17
009: 4 0.16
010: 4 0.17
011: 4 0.17
012: 4 0.17
013: 4 0.17
014: 4 0.18
015: 4 0.17
016: 4 0.17
017: 4 0.16
4                       0.20
000: 8 0.78
001: 8 0.17
002: 8 0.17
003: 8 0.18
004: 8 0.18
005: 8 0.17
006: 8 0.17
007: 8 0.18
008: 8 0.17
009: 8 0.17
010: 8 0.18
011: 8 0.18
012: 8 0.17
013: 8 0.18
014: 8 0.17
015: 8 0.18
016: 8 0.17
017: 8 0.17
8                       0.21
000: 16 0.78
001: 16 0.18
002: 16 0.18
003: 16 0.18
004: 16 0.17
005: 16 0.17
006: 16 0.18
007: 16 0.18
008: 16 0.18
009: 16 0.17
010: 16 0.18
011: 16 0.17
012: 16 0.18
013: 16 0.18
014: 16 0.17
015: 16 0.18
016: 16 0.17
017: 16 0.17
16                      0.21
000: 32 0.80
001: 32 0.18
002: 32 0.18
003: 32 0.18
004: 32 0.17
005: 32 0.17
006: 32 0.18
007: 32 0.18
008: 32 0.18
009: 32 0.17
010: 32 0.18
011: 32 0.18
012: 32 0.18
013: 32 0.18
014: 32 0.17
015: 32 0.18
016: 32 0.18
017: 32 0.17
32                      0.21
000: 64 0.77
001: 64 0.19
002: 64 0.18
003: 64 0.18
004: 64 0.18
005: 64 0.18
006: 64 0.18
007: 64 0.19
008: 64 0.19
009: 64 0.18
010: 64 0.18
011: 64 0.18
012: 64 0.19
013: 64 0.19
014: 64 0.18
015: 64 0.18
016: 64 0.18
017: 64 0.18
64                      0.22
000: 128 0.81
001: 128 0.21
002: 128 0.21
003: 128 0.21
004: 128 0.21
005: 128 0.20
006: 128 0.20
007: 128 0.21
008: 128 0.21
009: 128 0.22
010: 128 0.20
011: 128 0.21
012: 128 0.22
013: 128 0.21
014: 128 0.22
015: 128 0.21
016: 128 0.21
017: 128 0.21
128                     0.24
000: 256 0.91
001: 256 0.24
002: 256 0.24
003: 256 0.24
004: 256 0.23
005: 256 0.23
006: 256 0.23
007: 256 0.24
008: 256 0.25
009: 256 0.23
010: 256 0.24
011: 256 0.23
012: 256 0.24
013: 256 0.24
014: 256 0.23
015: 256 0.23
016: 256 0.24
017: 256 0.23
256                     0.27
000: 512 0.96
001: 512 0.36
002: 512 0.35
003: 512 0.36
004: 512 0.35
005: 512 0.35
006: 512 0.35
007: 512 0.35
008: 512 0.36
009: 512 0.35
010: 512 0.35
011: 512 0.35
012: 512 0.36
013: 512 0.36
014: 512 0.35
015: 512 0.35
016: 512 0.35
017: 512 0.35
512                     0.39
000: 1024 1.12
001: 1024 0.41
002: 1024 0.41
003: 1024 0.42
004: 1024 0.41
005: 1024 0.42
006: 1024 0.41
007: 1024 0.41
008: 1024 0.42
009: 1024 0.42
010: 1024 0.42
011: 1024 0.41
012: 1024 0.42
013: 1024 0.41
